#	rank	protein_a	protein_b	d_AB	s_AB
1	NA [Flu]	NEF [HEK]	1.06308724832	-0.321123134042
2	IN [HEK]	NA [Flu]	1.07493540052	-0.270629925247
3	GP160 [HEK]	NA [Flu]	1.12939001848	-0.24850507191
4	NA [Flu]	VPU [HEK]	1.14018691589	-0.243577710575
5	NA [Flu]	VIF [HEK]	1.08914728682	-0.234564892088
6	NA [Flu]	POL [HEK]	1.11642743222	-0.227002969647
7	GP160 [HEK]	HA [Flu]	1.11018711019	-0.219074595742
8	M2 [Flu]	NEF [HEK]	1.11440107672	-0.199908315549
9	M2 [Flu]	VIF [HEK]	1.0621761658	-0.191635023008
10	IN [HEK]	M2 [Flu]	1.08678756477	-0.188876770897
11	M2 [Flu]	POL [HEK]	1.1104	-0.163129411765
12	GP41 [HEK]	NA [Flu]	1.25744680851	-0.161036271141
13	M2 [Flu]	Pol [HEK]	1.11048689139	-0.155860414003
14	GP120 [HEK]	NA [Flu]	1.21459227468	-0.155157200269
15	GP120 [HEK]	HA [Flu]	1.16748768473	-0.153628405753
16	M2 [Flu]	VPR [HEK]	1.16607142857	-0.153095238095
17	HA [Flu]	NEF [HEK]	1.18686131387	-0.14871568403
18	NS1 [Flu]	RT [HEK]	1.13226452906	-0.140096904729
19	M2 [Flu]	VPU [HEK]	1.1796875	-0.134176136364
20	NA [Flu]	Pol [HEK]	1.2052238806	-0.131024414891
21	GP41 [HEK]	HA [Flu]	1.23902439024	-0.130825304942
22	HA [Flu]	IN [HEK]	1.17366946779	-0.123262473511
23	HA [Flu]	Pol [HEK]	1.17016806723	-0.117446843796
24	HA [Flu]	VIF [HEK]	1.15826330532	-0.116815489123
25	NA [Flu]	VPR [HEK]	1.2793594306	-0.109708226161
26	GP160 [HEK]	M2 [Flu]	1.20037105751	-0.107623042781
27	M2 [Flu]	PR [HEK]	1.18263473054	-0.103519115615
28	NA [Flu]	RT [HEK]	1.24210526316	-0.0993174660715
29	MA [HEK]	NS1 [Flu]	1.20581113801	-0.0914115353654
30	NS1 [Flu]	VIF [HEK]	1.16358463727	-0.0910662461988
31	NS1 [Flu]	POL [HEK]	1.18525179856	-0.08911730786
32	NS1 [Flu]	Pol [HEK]	1.17849462366	-0.0886923763898
33	NC [HEK]	NS1 [Flu]	1.20652173913	-0.0843179555261
34	HA [Flu]	VPU [HEK]	1.25429553265	-0.0808357093514
35	NA [Flu]	PR [HEK]	1.27611940299	-0.0799354332678
36	HA [Flu]	POL [HEK]	1.21869488536	-0.076102132037
37	NC [HEK]	PB1 [Flu]	1.17073170732	-0.0721254355401
38	GP120 [HEK]	M2 [Flu]	1.23275862069	-0.0670898641588
39	NS1 [Flu]	PR [HEK]	1.2203672788	-0.0666262620123
40	GAG [HEK]	NS1 [Flu]	1.22043010753	-0.0642105659224
41	M2 [Flu]	RT [HEK]	1.21478873239	-0.0567330067361
42	PB1 [Flu]	POL [HEK]	1.17025089606	-0.0561356585645
43	GP41 [HEK]	M2 [Flu]	1.29487179487	-0.0537102946804
44	NC [HEK]	PA [Flu]	1.19230769231	-0.0520222045995
45	NC [HEK]	NEP [Flu]	1.19519094767	-0.0518678758632
46	HA [Flu]	VPR [HEK]	1.29083665339	-0.049597618914
47	NC [HEK]	PB2 [Flu]	1.17069892473	-0.04800611124
48	PB1 [Flu]	RT [HEK]	1.17764471058	-0.0467341714087
49	PB2 [Flu]	VIF [HEK]	1.13924050633	-0.0432757184533
50	PB2 [Flu]	Pol [HEK]	1.15221987315	-0.0428324682103
51	GP160 [HEK]	PB1 [Flu]	1.21822033898	-0.0426309041691
52	PB2 [Flu]	RT [HEK]	1.15779092702	-0.04243584808
53	GAG [HEK]	PB1 [Flu]	1.19436997319	-0.0422881484596
54	NEF [HEK]	NS1 [Flu]	1.27448071217	-0.0406683747555
55	PB1 [Flu]	Pol [HEK]	1.18415417559	-0.0350502726575
56	MA [HEK]	PB1 [Flu]	1.21445783133	-0.0347822902552
57	NEP [Flu]	RT [HEK]	1.19574468085	-0.0328358818088
58	MA [HEK]	PB2 [Flu]	1.19239904988	-0.0326889648134
59	PB2 [Flu]	POL [HEK]	1.17021276596	-0.0320216817785
60	NS1 [Flu]	TAT [HEK]	1.24692622951	-0.0314874296453
61	PB1 [Flu]	VIF [HEK]	1.17588652482	-0.0307818068456
62	NS1 [Flu]	REV [HEK]	1.25950054289	-0.0307062403759
63	PB1 [Flu]	REV [HEK]	1.21451787649	-0.027706354975
64	PB1 [Flu]	PR [HEK]	1.21297836938	-0.0260326196266
65	GP160 [HEK]	NS1 [Flu]	1.2829787234	-0.0258550715472
66	GAG [HEK]	PA [Flu]	1.21408450704	-0.0240463686578
67	NS1 [Flu]	VPU [HEK]	1.29071803853	-0.0239852924912
68	PA [Flu]	RT [HEK]	1.20215053763	-0.0237010984032
69	NA [Flu]	TAT [HEK]	1.32473734479	-0.0227376098014
70	GP160 [HEK]	PB2 [Flu]	1.22175732218	-0.0149418140905
71	MA [HEK]	NEP [Flu]	1.23958333333	-0.0138584689195
72	IN [HEK]	NS1 [Flu]	1.26315789474	-0.013346135584
73	GAG [HEK]	PB2 [Flu]	1.20079787234	-0.0117081424236
74	MA [HEK]	PA [Flu]	1.2401055409	-0.0106073347335
75	GAG [HEK]	NEP [Flu]	1.23216783217	-0.0086919701544
76	HA [Flu]	RT [HEK]	1.2862745098	-0.00651483496032
77	PA [Flu]	POL [HEK]	1.22413793103	-0.00372137763744
78	PB1 [Flu]	VPR [HEK]	1.26977687627	-0.00224693325606
79	PB1 [Flu]	VPU [HEK]	1.2687609075	0.00204012828358
80	PA [Flu]	Pol [HEK]	1.22737819026	0.00670098795878
81	GP120 [HEK]	PB1 [Flu]	1.25944584383	0.00674021612309
82	HA [Flu]	PR [HEK]	1.31475409836	0.00733264657301
83	PB1 [Flu]	TAT [HEK]	1.23926380368	0.0088326963268
84	PB2 [Flu]	REV [HEK]	1.22712594187	0.00905381729416
85	MA [HEK]	NA [Flu]	1.37809917355	0.0118152047313
86	M2 [Flu]	TAT [HEK]	1.28995215311	0.012378188613
87	PA [Flu]	PR [HEK]	1.25309734513	0.0126136020717
88	PB2 [Flu]	PR [HEK]	1.23064250412	0.0157836219935
89	NA [Flu]	REV [HEK]	1.37903225806	0.0197641793579
90	NEP [Flu]	REV [HEK]	1.2668161435	0.0203902313608
91	NA [Flu]	NC [HEK]	1.38042131351	0.0205203234078
92	M2 [Flu]	MA [HEK]	1.31742738589	0.0210444071687
93	PB2 [Flu]	TAT [HEK]	1.22764227642	0.0213632759545
94	NS1 [Flu]	p6 [HEK]	1.39647577093	0.023344409602
95	PA [Flu]	REV [HEK]	1.26832018038	0.0246231948685
96	GP120 [HEK]	NS1 [Flu]	1.32658227848	0.025894098976
97	NS1 [Flu]	VPR [HEK]	1.34623217923	0.0262258179029
98	NS1 [Flu]	P6 [HEK]	1.3253968254	0.0271191142114
99	GAG [HEK]	M2 [Flu]	1.31242312423	0.0286221454384
100	NEP [Flu]	PR [HEK]	1.27192982456	0.0287171548781
101	NEP [Flu]	POL [HEK]	1.25996204934	0.0293738140417
102	PA [Flu]	VPU [HEK]	1.29981378026	0.0316202469899
103	PA [Flu]	VPR [HEK]	1.30634573304	0.0328491694677
104	NEP [Flu]	Pol [HEK]	1.26146788991	0.0380617609896
105	PA [Flu]	VIF [HEK]	1.2466367713	0.038495685582
106	NEP [Flu]	VPR [HEK]	1.31601731602	0.0397918258212
107	NEP [Flu]	VPU [HEK]	1.31365313653	0.0427306766383
108	NEP [Flu]	VIF [HEK]	1.25667655786	0.0458065455229
109	PB2 [Flu]	VPR [HEK]	1.29458917836	0.0467174757188
110	PB2 [Flu]	VPU [HEK]	1.29015544041	0.0475867680796
111	NEP [Flu]	TAT [HEK]	1.28405491024	0.0494221222164
112	IN [HEK]	PB2 [Flu]	1.25738396624	0.0530145946092
113	GP120 [HEK]	PB2 [Flu]	1.28287841191	0.054324891091
114	GAG [HEK]	NA [Flu]	1.40858895706	0.0548869881634
115	M2 [Flu]	NC [HEK]	1.34906832298	0.0590683229814
116	GP41 [HEK]	NS1 [Flu]	1.40852130326	0.0590995190494
117	PA [Flu]	TAT [HEK]	1.29193205945	0.0600281980437
118	P6 [HEK]	PB1 [Flu]	1.31102362205	0.0607284626612
119	M2 [Flu]	REV [HEK]	1.35050505051	0.0611379618975
120	HA [Flu]	MA [HEK]	1.3820754717	0.0644248873409
121	GP160 [HEK]	PA [Flu]	1.33027522936	0.0679512321556
122	GP160 [HEK]	NEP [Flu]	1.33560090703	0.0705479832051
123	NEP [Flu]	P6 [HEK]	1.32735426009	0.0728574200313
124	IN [HEK]	PB1 [Flu]	1.30496453901	0.0764430604856
125	NEF [HEK]	PB2 [Flu]	1.32551319648	0.0824987682445
126	GP120 [HEK]	NEP [Flu]	1.34699453552	0.0900872271412
127	GP120 [HEK]	PA [Flu]	1.34626038781	0.0920820060559
128	CA [HEK]	NS1 [Flu]	1.57978723404	0.0994738551755
129	GP41 [HEK]	PA [Flu]	1.40821917808	0.105307191623
130	GP41 [HEK]	PB1 [Flu]	1.4114713217	0.110032089286
131	IN [HEK]	PA [Flu]	1.34080717489	0.110812942316
132	IN [HEK]	NEP [Flu]	1.34569732938	0.112974170183
133	P6 [HEK]	PA [Flu]	1.36697247706	0.115204563628
134	GP41 [HEK]	PB2 [Flu]	1.39312039312	0.115833267597
135	NEF [HEK]	PB1 [Flu]	1.38461538462	0.117448849493
136	PB1 [Flu]	p6 [HEK]	1.44541484716	0.120266037638
137	GP41 [HEK]	NEP [Flu]	1.42972972973	0.124088816648
138	NEP [Flu]	p6 [HEK]	1.4595959596	0.1302454694
139	PA [Flu]	p6 [HEK]	1.46113989637	0.134518332799
140	P6 [HEK]	PB2 [Flu]	1.36153846154	0.135395409038
141	CA [HEK]	NA [Flu]	1.7027027027	0.153328028393
142	NEF [HEK]	PA [Flu]	1.4296875	0.161048210828
143	HA [Flu]	TAT [HEK]	1.46808510638	0.169243536252
144	NEF [HEK]	NEP [Flu]	1.44341085271	0.172042636919
145	PB2 [Flu]	p6 [HEK]	1.48085106383	0.179854361192
146	CA [HEK]	M2 [Flu]	1.66147859922	0.182004915011
147	NA [Flu]	p6 [HEK]	1.63087248322	0.188679826456
148	GAG [HEK]	HA [Flu]	1.49536423841	0.190295653984
149	CA [HEK]	PA [Flu]	1.62987012987	0.196066548752
150	CA [HEK]	NEP [Flu]	1.63522012579	0.198687618046
151	HA [Flu]	NC [HEK]	1.51539491299	0.204127307351
152	HA [Flu]	REV [HEK]	1.51824034335	0.207605649106
153	CA [HEK]	PB1 [Flu]	1.64736842105	0.215037593985
154	CA [HEK]	PB2 [Flu]	1.62755102041	0.219372300226
155	M2 [Flu]	P6 [HEK]	1.52024922118	0.222811204655
156	NA [Flu]	P6 [HEK]	1.59133126935	0.223992262722
157	HA [Flu]	P6 [HEK]	1.55133079848	0.232625176316
158	CA [HEK]	HA [Flu]	1.73366834171	0.232927051864
159	M2 [Flu]	p6 [HEK]	1.60810810811	0.235816441441
160	HA [Flu]	p6 [HEK]	1.63445378151	0.240894509212
