#	rank	protein_a	protein_b	d_AB	s_AB
1	REV [HEK]	TAT [HEK]	0.28004881025	-0.906892242854
2	NC [HEK]	REV [HEK]	0.355555555556	-0.843811533052
3	GAG [HEK]	NC [HEK]	0.370279146141	-0.823521832652
4	NC [HEK]	TAT [HEK]	0.399310344828	-0.788263619669
5	GP120 [HEK]	GP160 [HEK]	0.442786069652	-0.785056515492
6	GAG [HEK]	REV [HEK]	0.417081850534	-0.776086216867
7	PR [HEK]	RT [HEK]	0.424821002387	-0.752854582898
8	NEP [Flu]	PA [Flu]	0.542713567839	-0.748675152597
9	IN [HEK]	NEF [HEK]	0.472694717995	-0.737279009935
10	IN [HEK]	VIF [HEK]	0.419720767888	-0.729754756587
11	GP160 [HEK]	GP41 [HEK]	0.546952224053	-0.729623965795
12	GAG [HEK]	TAT [HEK]	0.465753424658	-0.715621518632
13	NEP [Flu]	PB1 [Flu]	0.574468085106	-0.71544788128
14	GP120 [HEK]	GP41 [HEK]	0.56015037594	-0.708280198461
15	VIF [HEK]	VPU [HEK]	0.492110453649	-0.695564371526
16	POL [HEK]	VIF [HEK]	0.461461461461	-0.685879139114
17	PB1 [Flu]	PB2 [Flu]	0.577205882353	-0.684356296475
18	PA [Flu]	PB1 [Flu]	0.613043478261	-0.674143561503
19	CA [HEK]	p6 [HEK]	0.81045751634	-0.661307834537
20	NEF [HEK]	VIF [HEK]	0.529991047449	-0.658129533628
21	IN [HEK]	VPU [HEK]	0.563116370809	-0.646411601219
22	VIF [HEK]	VPR [HEK]	0.550321199143	-0.642656656334
23	MA [HEK]	RT [HEK]	0.546012269939	-0.641892447915
24	POL [HEK]	Pol [HEK]	0.523056653491	-0.636820063662
25	P6 [HEK]	p6 [HEK]	0.654377880184	-0.635351803011
26	VPR [HEK]	VPU [HEK]	0.618453865337	-0.634576437694
27	Pol [HEK]	VIF [HEK]	0.506622516556	-0.633535977644
28	IN [HEK]	POL [HEK]	0.541541541542	-0.627652205887
29	GP160 [HEK]	VPR [HEK]	0.623748211731	-0.623412555231
30	PR [HEK]	VIF [HEK]	0.539347408829	-0.620617626136
31	HA [Flu]	NA [Flu]	0.852601156069	-0.618567439663
32	GP41 [HEK]	VPR [HEK]	0.670382165605	-0.617366590614
33	RT [HEK]	VIF [HEK]	0.528662420382	-0.616670507559
34	NEF [HEK]	VPU [HEK]	0.635532994924	-0.612640033705
35	GP120 [HEK]	VPR [HEK]	0.626602564103	-0.612412587413
36	POL [HEK]	PR [HEK]	0.568715083799	-0.61096817412
37	PA [Flu]	PB2 [Flu]	0.656779661017	-0.606255271861
38	Pol [HEK]	VPU [HEK]	0.595607235142	-0.604603706611
39	IN [HEK]	Pol [HEK]	0.567328918322	-0.594682722731
40	NEF [HEK]	POL [HEK]	0.618556701031	-0.589282102999
41	Pol [HEK]	VPR [HEK]	0.618155619597	-0.587358352459
42	POL [HEK]	VPU [HEK]	0.620530565167	-0.586862482961
43	POL [HEK]	VPR [HEK]	0.627700127065	-0.584995951367
44	PR [HEK]	Pol [HEK]	0.589775561097	-0.582725590446
45	GP120 [HEK]	Pol [HEK]	0.603678929766	-0.582516860472
46	GP160 [HEK]	Pol [HEK]	0.615156017831	-0.579185387854
47	POL [HEK]	RT [HEK]	0.594968553459	-0.570082597436
48	IN [HEK]	VPR [HEK]	0.645610278373	-0.569220723958
49	GP160 [HEK]	VPU [HEK]	0.673940949936	-0.567916786723
50	Pol [HEK]	RT [HEK]	0.594017094017	-0.563851950503
51	MA [HEK]	Pol [HEK]	0.621753246753	-0.560977037359
52	NEP [Flu]	PB2 [Flu]	0.705394190871	-0.560369668629
53	PR [HEK]	VPR [HEK]	0.665060240964	-0.560260271857
54	GP160 [HEK]	POL [HEK]	0.649214659686	-0.552308852374
55	GP41 [HEK]	VPU [HEK]	0.733050847458	-0.549394878458
56	NEF [HEK]	VPR [HEK]	0.704972375691	-0.548503683241
57	GP41 [HEK]	Pol [HEK]	0.687707641196	-0.547221753745
58	NS1 [Flu]	PB2 [Flu]	0.766666666667	-0.542878063961
59	RT [HEK]	VPR [HEK]	0.668493150685	-0.542195255112
60	GP160 [HEK]	VIF [HEK]	0.643249176729	-0.538556112377
61	RT [HEK]	VPU [HEK]	0.672839506173	-0.532545869321
62	MA [HEK]	P6 [HEK]	0.684863523573	-0.528957471679
63	IN [HEK]	PR [HEK]	0.654510556622	-0.527307625196
64	GP120 [HEK]	VPU [HEK]	0.707386363636	-0.526325757576
65	NEF [HEK]	PR [HEK]	0.696939782823	-0.523523455596
66	GP160 [HEK]	IN [HEK]	0.689352360044	-0.514306075915
67	GAG [HEK]	VIF [HEK]	0.646166807077	-0.511445360527
68	MA [HEK]	VPU [HEK]	0.720994475138	-0.509252139949
69	PR [HEK]	VPU [HEK]	0.710989010989	-0.509028471528
70	GP41 [HEK]	RT [HEK]	0.738993710692	-0.501110117991
71	MA [HEK]	PR [HEK]	0.702127659574	-0.500409165303
72	GP160 [HEK]	RT [HEK]	0.708628005658	-0.490887833768
73	M2 [Flu]	NA [Flu]	0.962686567164	-0.487214422935
74	TAT [HEK]	VIF [HEK]	0.665961945032	-0.485423208277
75	GP120 [HEK]	VIF [HEK]	0.688995215311	-0.484664458349
76	GAG [HEK]	RT [HEK]	0.692777212614	-0.482545505309
77	GP120 [HEK]	RT [HEK]	0.708860759494	-0.482509464485
78	MA [HEK]	VPR [HEK]	0.753105590062	-0.482444055328
79	GAG [HEK]	MA [HEK]	0.720178372352	-0.480005585164
80	NEF [HEK]	Pol [HEK]	0.721778791334	-0.47887790632
81	GP41 [HEK]	MA [HEK]	0.789090909091	-0.475874159185
82	IN [HEK]	RT [HEK]	0.692144373673	-0.475041701122
83	GP41 [HEK]	VIF [HEK]	0.747619047619	-0.474774230744
84	MA [HEK]	VIF [HEK]	0.696261682243	-0.473932485292
85	GP41 [HEK]	IN [HEK]	0.771428571429	-0.472817853788
86	GP120 [HEK]	POL [HEK]	0.721335268505	-0.472042628108
87	NEP [Flu]	NS1 [Flu]	0.8669527897	-0.470945728486
88	MA [HEK]	POL [HEK]	0.720733427362	-0.469178963126
89	NEF [HEK]	RT [HEK]	0.739320920044	-0.466510211352
90	GP160 [HEK]	NEF [HEK]	0.777777777778	-0.464525714782
91	GP160 [HEK]	MA [HEK]	0.763285024155	-0.461092054864
92	GP160 [HEK]	PR [HEK]	0.753407682776	-0.460740263673
93	GP120 [HEK]	PR [HEK]	0.745901639344	-0.460100691658
94	REV [HEK]	VIF [HEK]	0.708944281525	-0.454233995894
95	GP120 [HEK]	MA [HEK]	0.767399267399	-0.448832196173
96	CA [HEK]	P6 [HEK]	0.949438202247	-0.447473498492
97	REV [HEK]	RT [HEK]	0.735344827586	-0.445544000152
98	GP41 [HEK]	PR [HEK]	0.811141304348	-0.443594631358
99	NS1 [Flu]	PB1 [Flu]	0.890151515152	-0.443545322362
100	GAG [HEK]	PR [HEK]	0.753462603878	-0.436492221069
101	NC [HEK]	RT [HEK]	0.748201438849	-0.433320300282
102	MA [HEK]	p6 [HEK]	0.857142857143	-0.431531788247
103	HA [Flu]	M2 [Flu]	0.970760233918	-0.430507371716
104	GP41 [HEK]	NEF [HEK]	0.854500616523	-0.428390865295
105	RT [HEK]	TAT [HEK]	0.742386831276	-0.426708872352
106	GP120 [HEK]	IN [HEK]	0.769138755981	-0.426374064532
107	GAG [HEK]	VPU [HEK]	0.796208530806	-0.421456084351
108	GP41 [HEK]	POL [HEK]	0.822510822511	-0.419600678806
109	MA [HEK]	NC [HEK]	0.793686583991	-0.412696394732
110	PR [HEK]	TAT [HEK]	0.774904942966	-0.408822867685
111	PR [HEK]	REV [HEK]	0.790476190476	-0.405044744285
112	CA [HEK]	MA [HEK]	1.00589970501	-0.389956957919
113	NEF [HEK]	TAT [HEK]	0.823741007194	-0.388142349568
114	REV [HEK]	VPU [HEK]	0.835227272727	-0.388003452244
