#	rank	protein_a	protein_b	d_AB	s_AB
1	GP160 [Jurkat]	NA [Flu]	1.13204747774	-0.243319614049
2	NA [Flu]	VPU [Jurkat]	1.16483516484	-0.186320578116
3	M2 [Flu]	VPR [Jurkat]	1.09960159363	-0.182622637839
4	GP160 [Jurkat]	HA [Flu]	1.15146579805	-0.175267909283
5	GP160 [Jurkat]	M2 [Flu]	1.13095238095	-0.174513720743
6	M2 [Flu]	POL [Jurkat]	1.0910652921	-0.1709242367
7	M2 [Flu]	VPU [Jurkat]	1.13223140496	-0.149023347893
8	M2 [Flu]	VIF [Jurkat]	1.1010719755	-0.14742692075
9	M2 [Flu]	PR [Jurkat]	1.14310645724	-0.144748770639
10	M2 [Flu]	NEF [Jurkat]	1.14743589744	-0.136903725206
11	NA [Flu]	POL [Jurkat]	1.19863013699	-0.133260381909
12	NA [Flu]	VPR [Jurkat]	1.21986754967	-0.132257671895
13	GP41 [Jurkat]	NA [Flu]	1.26429675425	-0.118076145961
14	HA [Flu]	POL [Jurkat]	1.18702290076	-0.0962342336663
15	GP120 [Jurkat]	NA [Flu]	1.2546875	-0.0942545859894
16	NS1 [Flu]	TAT [Jurkat]	1.19426048565	-0.0912997058997
17	HA [Flu]	VPU [Jurkat]	1.2125748503	-0.0899475081861
18	NS1 [Flu]	REV [Jurkat]	1.21188118812	-0.0792258862168
19	GP120 [Jurkat]	M2 [Flu]	1.20062695925	-0.0784141366428
20	GAG [Jurkat]	M2 [Flu]	1.18453427065	-0.0772814475069
21	NA [Flu]	PR [Jurkat]	1.28347826087	-0.0742779571115
22	NS1 [Flu]	VPR [Jurkat]	1.20906432749	-0.0739995986358
23	GP41 [Jurkat]	HA [Flu]	1.26235093697	-0.0713885787785
24	GAG [Jurkat]	NS1 [Flu]	1.198	-0.0646554128137
25	M2 [Flu]	P6 [Jurkat]	1.23381294964	-0.0643331177754
26	NS1 [Flu]	POL [Jurkat]	1.2007797271	-0.0620494963568
27	HA [Flu]	VPR [Jurkat]	1.24172661871	-0.0617652183935
28	GP41 [Jurkat]	M2 [Flu]	1.25271317829	-0.0597587318178
29	IN [Jurkat]	M2 [Flu]	1.24385245902	-0.0589947632058
30	NEF [Jurkat]	NS1 [Flu]	1.22702702703	-0.058152290271
31	CA [Jurkat]	M2 [Flu]	1.22357019064	-0.0552892258044
32	NS1 [Flu]	VIF [Jurkat]	1.19520547945	-0.0541331114517
33	M2 [Flu]	RT [Jurkat]	1.24416517056	-0.0536779666983
34	PA [Flu]	REV [Jurkat]	1.1932059448	-0.0513913317881
35	NA [Flu]	NEF [Jurkat]	1.303514377	-0.0507262357437
36	IN [Jurkat]	NS1 [Flu]	1.25298329356	-0.0507036233226
37	HA [Flu]	NEF [Jurkat]	1.25795053004	-0.04765669824
38	PB1 [Flu]	TAT [Jurkat]	1.19120879121	-0.0463688485428
39	GP120 [Jurkat]	NS1 [Flu]	1.24077328647	-0.0391075040794
40	PA [Flu]	TAT [Jurkat]	1.20047732697	-0.0385730668327
41	GP120 [Jurkat]	HA [Flu]	1.26206896552	-0.038239736007
42	HA [Flu]	VIF [Jurkat]	1.23193277311	-0.0378337287718
43	NEP [Flu]	TAT [Jurkat]	1.20518867925	-0.0365906411785
44	NA [Flu]	VIF [Jurkat]	1.28244274809	-0.0359571382546
45	NS1 [Flu]	P6 [Jurkat]	1.26488706366	-0.0340986984172
46	NC [Jurkat]	NS1 [Flu]	1.26233766234	-0.0328327409802
47	M2 [Flu]	REV [Jurkat]	1.26132404181	-0.0289433378673
48	PB1 [Flu]	POL [Jurkat]	1.19029126214	-0.024555409517
49	GP160 [Jurkat]	NS1 [Flu]	1.28358208955	-0.0227237067992
50	IN [Jurkat]	PA [Flu]	1.23636363636	-0.0208134827658
51	CA [Jurkat]	NS1 [Flu]	1.25984251969	-0.0198565914171
52	HA [Flu]	PR [Jurkat]	1.28932038835	-0.0198024451663
53	IN [Jurkat]	NEP [Flu]	1.24102564103	-0.018880404726
54	M2 [Flu]	MA [Jurkat]	1.27155963303	-0.0169910916102
55	NCC [Jurkat]	NS1 [Flu]	1.27090301003	-0.0169516099962
56	NEP [Flu]	REV [Jurkat]	1.23319327731	-0.0141329258976
57	NA [Flu]	RT [Jurkat]	1.3542039356	-0.0135401917546
58	NC [Jurkat]	NEP [Flu]	1.23876404494	-0.012625487247
59	PB1 [Flu]	REV [Jurkat]	1.23274161736	-0.0103829051793
60	M2 [Flu]	NC [Jurkat]	1.28414096916	-0.0101897394984
61	NC [Jurkat]	PA [Flu]	1.23931623932	-0.00934436625239
62	IN [Jurkat]	PB1 [Flu]	1.24703087886	-0.00867348621951
63	PB2 [Flu]	POL [Jurkat]	1.18234165067	-0.00835291409525
64	HA [Flu]	RT [Jurkat]	1.3126252505	-0.0064854923877
65	NCC [Jurkat]	PA [Flu]	1.23758865248	-0.00375616979808
66	GAG [Jurkat]	NA [Flu]	1.32984293194	-0.00187377631902
67	PB1 [Flu]	VIF [Jurkat]	1.19965870307	-0.00169733603271
68	NEP [Flu]	P6 [Jurkat]	1.25545851528	0.000253624338701
69	M2 [Flu]	TAT [Jurkat]	1.28544061303	0.00072011613241
70	NS1 [Flu]	PR [Jurkat]	1.28968253968	0.000987617144014
71	NCC [Jurkat]	PB1 [Flu]	1.24166666667	0.00179459843639
72	PB2 [Flu]	VIF [Jurkat]	1.18074324324	0.00353931102478
73	MA [Jurkat]	NS1 [Flu]	1.29411764706	0.00472722776465
74	PA [Flu]	POL [Jurkat]	1.22129436326	0.00497493755376
75	PA [Flu]	VIF [Jurkat]	1.20909090909	0.00626211593645
76	GAG [Jurkat]	HA [Flu]	1.29239766082	0.00931433702773
77	P6 [Jurkat]	PA [Flu]	1.26269315673	0.0102171924099
78	P6 [Jurkat]	PB1 [Flu]	1.26380368098	0.0128004707087
79	PB2 [Flu]	REV [Jurkat]	1.23391812865	0.0149457130046
80	GP120 [Jurkat]	PB1 [Flu]	1.2469352014	0.0150369626535
81	NS1 [Flu]	VPU [Jurkat]	1.299847793	0.0177533454903
82	MA [Jurkat]	NA [Flu]	1.37659963437	0.0181479196326
