#	rank	protein_a	protein_b	d_AB	s_AB
1	NA [Flu]	NA [Flu]	0.0	-1.5198019802
2	HA [Flu]	HA [Flu]	0.0	-1.42253521127
3	NS1 [Flu]	NS1 [Flu]	0.0	-1.38167938931
4	M2 [Flu]	M2 [Flu]	0.0	-1.38
5	NEP [Flu]	NEP [Flu]	0.0	-1.29411764706
6	PA [Flu]	PA [Flu]	0.0	-1.28865979381
7	PB1 [Flu]	PB1 [Flu]	0.0	-1.28571428571
8	GP41 [Jurkat]	GP41 [Jurkat]	0.0	-1.24494382022
9	PB2 [Flu]	PB2 [Flu]	0.0	-1.23741007194
10	GP160 [Jurkat]	GP160 [Jurkat]	0.0	-1.23093220339
11	IN [Jurkat]	IN [Jurkat]	0.0	-1.22569444444
12	P6 [Jurkat]	P6 [Jurkat]	0.0	-1.21629213483
13	RT [Jurkat]	RT [Jurkat]	0.0	-1.21568627451
14	NC [Jurkat]	NC [Jurkat]	0.0	-1.20866141732
15	REV [Jurkat]	REV [Jurkat]	0.0	-1.20053475936
16	MA [Jurkat]	MA [Jurkat]	0.0	-1.19710144928
17	PR [Jurkat]	PR [Jurkat]	0.0	-1.19571045576
18	NCC [Jurkat]	NCC [Jurkat]	0.0	-1.19402985075
19	TAT [Jurkat]	TAT [Jurkat]	0.0	-1.18944099379
20	NEF [Jurkat]	NEF [Jurkat]	0.0	-1.18867924528
21	VPR [Jurkat]	VPR [Jurkat]	0.0	-1.18444846293
22	VPU [Jurkat]	VPU [Jurkat]	0.0	-1.1825095057
23	GP120 [Jurkat]	GP120 [Jurkat]	0.0	-1.17808219178
24	CA [Jurkat]	CA [Jurkat]	0.0	-1.17771883289
25	POL [Jurkat]	POL [Jurkat]	0.0	-1.14397905759
26	GAG [Jurkat]	GAG [Jurkat]	0.0	-1.14363143631
27	VIF [Jurkat]	VIF [Jurkat]	0.0	-1.11699779249
28	CA [Jurkat]	P6 [Jurkat]	0.341064120055	-0.855941363807
29	MA [Jurkat]	P6 [Jurkat]	0.365192582026	-0.841504210028
30	CA [Jurkat]	MA [Jurkat]	0.3891966759	-0.798213465183
31	REV [Jurkat]	TAT [Jurkat]	0.399425287356	-0.795562589217
32	NEF [Jurkat]	VIF [Jurkat]	0.360319270239	-0.792519248649
33	GAG [Jurkat]	P6 [Jurkat]	0.391724137931	-0.788237647642
34	P6 [Jurkat]	RT [Jurkat]	0.431977559607	-0.784011645063
35	NEF [Jurkat]	P6 [Jurkat]	0.423076923077	-0.77940876698
36	VIF [Jurkat]	VPR [Jurkat]	0.375745526839	-0.774977600873
37	NC [Jurkat]	TAT [Jurkat]	0.427083333333	-0.771967872222
38	GAG [Jurkat]	REV [Jurkat]	0.407806191117	-0.764276906719
39	P6 [Jurkat]	REV [Jurkat]	0.446575342466	-0.761838104629
40	P6 [Jurkat]	VIF [Jurkat]	0.412855377009	-0.753789586654
41	NC [Jurkat]	P6 [Jurkat]	0.462295081967	-0.75018169411
42	NEP [Flu]	PA [Flu]	0.542713567839	-0.748675152597
43	GAG [Jurkat]	TAT [Jurkat]	0.419681620839	-0.746854594212
44	CA [Jurkat]	GAG [Jurkat]	0.415549597855	-0.745125536748
45	GAG [Jurkat]	VIF [Jurkat]	0.385644768856	-0.744669845548
46	NEF [Jurkat]	VPR [Jurkat]	0.446264073695	-0.740299780411
47	NC [Jurkat]	REV [Jurkat]	0.468152866242	-0.736445222099
48	CA [Jurkat]	NEF [Jurkat]	0.448189762797	-0.735009276291
49	P6 [Jurkat]	TAT [Jurkat]	0.47197640118	-0.73089016313
50	IN [Jurkat]	P6 [Jurkat]	0.490683229814	-0.730310059824
51	GAG [Jurkat]	NEF [Jurkat]	0.43631778058	-0.729837560219
52	NEF [Jurkat]	RT [Jurkat]	0.475095785441	-0.727086974456
53	GAG [Jurkat]	NC [Jurkat]	0.45264847512	-0.723497951698
54	IN [Jurkat]	NC [Jurkat]	0.494464944649	-0.722712986234
55	GAG [Jurkat]	RT [Jurkat]	0.45867768595	-0.720981169462
56	CA [Jurkat]	VIF [Jurkat]	0.428915662651	-0.718442650042
57	NEP [Flu]	PB1 [Flu]	0.574468085106	-0.71544788128
58	GAG [Jurkat]	IN [Jurkat]	0.471841704718	-0.712821235661
59	IN [Jurkat]	RT [Jurkat]	0.51007751938	-0.710612840097
60	MA [Jurkat]	RT [Jurkat]	0.497150997151	-0.709242864742
61	GAG [Jurkat]	MA [Jurkat]	0.463585434174	-0.706781008621
62	GP160 [Jurkat]	GP41 [Jurkat]	0.539803707743	-0.698134304065
63	REV [Jurkat]	VIF [Jurkat]	0.464328899637	-0.694437376289
64	TAT [Jurkat]	VIF [Jurkat]	0.45935483871	-0.693864554432
65	CA [Jurkat]	RT [Jurkat]	0.50408719346	-0.69261536024
66	CA [Jurkat]	IN [Jurkat]	0.50977443609	-0.691932202578
67	MA [Jurkat]	REV [Jurkat]	0.511821974965	-0.686996129352
68	NCC [Jurkat]	REV [Jurkat]	0.512485136742	-0.68479716831
69	PB1 [Flu]	PB2 [Flu]	0.577205882353	-0.684356296475
70	NEF [Jurkat]	TAT [Jurkat]	0.505361930295	-0.683698189241
71	IN [Jurkat]	TAT [Jurkat]	0.524590163934	-0.682977555182
72	MA [Jurkat]	NC [Jurkat]	0.520868113523	-0.682013319777
73	GP120 [Jurkat]	VIF [Jurkat]	0.465768799102	-0.681771193036
74	IN [Jurkat]	REV [Jurkat]	0.536253776435	-0.676860825466
75	IN [Jurkat]	NEF [Jurkat]	0.532303370787	-0.674883474077
76	PA [Flu]	PB1 [Flu]	0.613043478261	-0.674143561503
77	NC [Jurkat]	NCC [Jurkat]	0.53120665742	-0.670138976614
78	RT [Jurkat]	VIF [Jurkat]	0.496296296296	-0.670045737206
79	MA [Jurkat]	NEF [Jurkat]	0.525357607282	-0.667532739997
80	MA [Jurkat]	TAT [Jurkat]	0.526236881559	-0.667034339973
81	P6 [Jurkat]	VPR [Jurkat]	0.534653465347	-0.665716833534
82	NEF [Jurkat]	REV [Jurkat]	0.53007518797	-0.664531814351
83	REV [Jurkat]	RT [Jurkat]	0.544459644323	-0.663650872611
84	MA [Jurkat]	VIF [Jurkat]	0.494987468672	-0.662062152213
85	GP120 [Jurkat]	P6 [Jurkat]	0.540302267003	-0.656884896304
86	GP120 [Jurkat]	GP160 [Jurkat]	0.550549450549	-0.653957747036
