#	rank	protein_a	protein_b	d_AB	s_AB
1	GAG [HEK]	NCC [Jurkat]	0.517592592593	-0.673223311573
2	REV [Jurkat]	RT [HEK]	0.564690026954	-0.617099091855
3	Pol [HEK]	VIF [Jurkat]	0.533672172808	-0.601174028828
4	NC [HEK]	NCC [Jurkat]	0.596082089552	-0.600932835821
5	VIF [HEK]	VPR [Jurkat]	0.556444444444	-0.599590975831
6	RT [HEK]	TAT [Jurkat]	0.591304347826	-0.584937888199
7	VIF [HEK]	VIF [Jurkat]	0.54243902439	-0.579871060668
8	MA [HEK]	TAT [Jurkat]	0.622516556291	-0.578586919326
9	POL [Jurkat]	Pol [HEK]	0.576815642458	-0.571521191727
10	GP120 [Jurkat]	GP160 [HEK]	0.642213642214	-0.564821553972
11	GP120 [Jurkat]	Pol [HEK]	0.60103626943	-0.56435213185
12	NEF [Jurkat]	Pol [HEK]	0.609498680739	-0.561188247292
13	VPU [HEK]	VPU [Jurkat]	0.655279503106	-0.55983888611
14	NEF [Jurkat]	VIF [HEK]	0.599397590361	-0.558753221091
15	MA [HEK]	MA [Jurkat]	0.647527910686	-0.557405792675
16	GP120 [HEK]	GP120 [Jurkat]	0.64245014245	-0.556439438289
17	NCC [Jurkat]	REV [HEK]	0.64126984127	-0.555112172711
18	GAG [HEK]	REV [Jurkat]	0.639311043566	-0.554757314906
19	GP160 [HEK]	GP160 [Jurkat]	0.681874229346	-0.551585972643
20	MA [HEK]	REV [Jurkat]	0.655487804878	-0.551162553524
21	GP120 [Jurkat]	VPR [HEK]	0.667919799499	-0.550287963058
22	GP120 [Jurkat]	VIF [HEK]	0.606930693069	-0.545921591632
23	VPR [HEK]	VPR [Jurkat]	0.675794085433	-0.545596812699
24	Pol [HEK]	TAT [Jurkat]	0.626524390244	-0.54454341204
25	P6 [Jurkat]	Pol [HEK]	0.653623188406	-0.530870184399
26	Pol [HEK]	VPR [Jurkat]	0.639233370913	-0.529338165941
27	P6 [Jurkat]	RT [HEK]	0.662983425414	-0.526684381132
28	MA [HEK]	NC [Jurkat]	0.684701492537	-0.526012194848
29	IN [Jurkat]	Pol [HEK]	0.663987138264	-0.525207389348
30	IN [HEK]	VPR [Jurkat]	0.653333333333	-0.524555233796
31	VIF [HEK]	VPU [Jurkat]	0.632058287796	-0.523007653867
32	VPR [Jurkat]	VPU [HEK]	0.693856998993	-0.522230868835
33	GAG [HEK]	TAT [Jurkat]	0.668449197861	-0.520072277826
34	PR [HEK]	PR [Jurkat]	0.674197384067	-0.519811689969
35	RT [HEK]	VIF [Jurkat]	0.623629719854	-0.516390915524
36	NC [Jurkat]	Pol [HEK]	0.664965986395	-0.515712027656
37	NEF [Jurkat]	VPU [HEK]	0.702546296296	-0.515656962709
38	NEF [Jurkat]	VPR [HEK]	0.707908163265	-0.515598126043
39	MA [Jurkat]	RT [HEK]	0.667601683029	-0.512470780739
40	VIF [Jurkat]	VPR [HEK]	0.675276752768	-0.512388810146
41	MA [HEK]	P6 [Jurkat]	0.705329153605	-0.509199892534
42	IN [HEK]	VPU [Jurkat]	0.668488160291	-0.508430928225
43	RT [Jurkat]	VPU [HEK]	0.723964868256	-0.507741905363
44	NEF [Jurkat]	PR [HEK]	0.686098654709	-0.504394814087
45	PR [HEK]	VIF [Jurkat]	0.651465798046	-0.503186944355
46	PR [HEK]	REV [Jurkat]	0.694774346793	-0.50164687904
47	NEF [Jurkat]	RT [HEK]	0.674242424242	-0.50161893753
48	GP120 [Jurkat]	GP41 [HEK]	0.747875354108	-0.499747831335
49	Pol [HEK]	RT [Jurkat]	0.685962373372	-0.498228069272
50	VIF [Jurkat]	VPU [HEK]	0.684210526316	-0.498152006295
51	NC [Jurkat]	RT [HEK]	0.688102893891	-0.497749553901
52	Pol [HEK]	REV [Jurkat]	0.679378531073	-0.497236153995
53	GP120 [HEK]	GP160 [Jurkat]	0.728260869565	-0.497053716978
54	REV [Jurkat]	VIF [HEK]	0.668076109937	-0.496002458554
55	GAG [Jurkat]	RT [HEK]	0.658073270014	-0.495264187274
56	NEF [HEK]	VPR [Jurkat]	0.721715328467	-0.494818295263
57	MA [Jurkat]	Pol [HEK]	0.680412371134	-0.494485658893
58	RT [HEK]	RT [Jurkat]	0.696551724138	-0.492813152247
59	GP160 [Jurkat]	NEF [HEK]	0.749262536873	-0.490512957087
60	GP120 [Jurkat]	VPU [HEK]	0.723234624146	-0.489670108108
61	PR [HEK]	TAT [Jurkat]	0.701265822785	-0.489608520263
62	IN [HEK]	NEF [Jurkat]	0.691767068273	-0.488236890033
63	NCC [Jurkat]	TAT [HEK]	0.696577946768	-0.488010943102
64	GP120 [Jurkat]	RT [HEK]	0.683622828784	-0.486940006237
65	GAG [Jurkat]	Pol [HEK]	0.662873399716	-0.485289623831
66	TAT [Jurkat]	VIF [HEK]	0.674496644295	-0.48403504141
67	GP160 [HEK]	VIF [Jurkat]	0.693181818182	-0.48331117836
68	POL [HEK]	VIF [Jurkat]	0.661731207289	-0.480297100723
69	PR [HEK]	VPR [Jurkat]	0.711067580803	-0.477310496815
70	GAG [HEK]	VIF [Jurkat]	0.675422138837	-0.476877736203
71	GP120 [HEK]	NEF [Jurkat]	0.728197674419	-0.475990433071
72	PR [HEK]	RT [Jurkat]	0.729696969697	-0.474300013712
73	RT [Jurkat]	VPR [HEK]	0.76290097629	-0.474108827631
74	NEF [HEK]	VPU [Jurkat]	0.741814780168	-0.473749364949
75	REV [Jurkat]	VPU [HEK]	0.750614250614	-0.473516765429
76	GAG [HEK]	GAG [Jurkat]	0.692464358452	-0.473152338498
77	GAG [HEK]	NC [Jurkat]	0.725490196078	-0.472641491376
78	TAT [Jurkat]	VPR [HEK]	0.75219941349	-0.471687750071
79	PR [Jurkat]	Pol [HEK]	0.70297029703	-0.471232236242
80	GP160 [Jurkat]	Pol [HEK]	0.720843672457	-0.470969734628
81	TAT [Jurkat]	VPU [HEK]	0.748031496063	-0.470552637195
82	Pol [HEK]	VPU [Jurkat]	0.697674418605	-0.469927639636
83	GP160 [Jurkat]	VIF [HEK]	0.709770114943	-0.469507175564
84	P6 [Jurkat]	VIF [HEK]	0.702586206897	-0.46937104933
85	GP120 [HEK]	RT [Jurkat]	0.748792270531	-0.468899351572
86	GP120 [HEK]	VIF [Jurkat]	0.700139470014	-0.468207911082
87	GP160 [HEK]	VPR [Jurkat]	0.742152466368	-0.468065865392
88	NC [HEK]	REV [Jurkat]	0.732379979571	-0.467887400108
89	GP120 [Jurkat]	IN [HEK]	0.706930693069	-0.467774738485
90	IN [HEK]	VIF [Jurkat]	0.677073170732	-0.46709006118
91	RT [Jurkat]	VIF [HEK]	0.705059203445	-0.466595122622
92	P6 [Jurkat]	VPR [HEK]	0.77094972067	-0.466363013412
93	GAG [HEK]	P6 [Jurkat]	0.735810113519	-0.466136932689
94	GAG [Jurkat]	MA [HEK]	0.715821812596	-0.462376884285
95	GP120 [Jurkat]	PR [HEK]	0.724061810155	-0.46113313189
96	GP160 [HEK]	GP41 [Jurkat]	0.779336734694	-0.461129275713
97	GP120 [Jurkat]	POL [HEK]	0.71147161066	-0.461098896995
98	GP160 [HEK]	P6 [Jurkat]	0.765467625899	-0.460672541811
99	POL [HEK]	POL [Jurkat]	0.695167286245	-0.460351654315
100	NEF [HEK]	NEF [Jurkat]	0.759545923633	-0.459103091274
101	GP120 [HEK]	P6 [Jurkat]	0.759677419355	-0.458317132909
102	CA [Jurkat]	Pol [HEK]	0.707454289733	-0.457752432102
103	GAG [HEK]	GP120 [Jurkat]	0.725975261656	-0.456866813028
104	P6 [Jurkat]	PR [HEK]	0.747572815534	-0.456727098036
105	GP160 [HEK]	NEF [Jurkat]	0.75622542595	-0.456108296986
106	P6 [Jurkat]	VPU [HEK]	0.776381909548	-0.455627794232
107	GP160 [Jurkat]	IN [HEK]	0.747126436782	-0.454004000578
108	GP41 [HEK]	NEF [Jurkat]	0.799132947977	-0.453788764217
109	IN [Jurkat]	VPR [HEK]	0.788580246914	-0.453433641975
110	MA [Jurkat]	VPU [HEK]	0.769426751592	-0.452987609409
111	RT [HEK]	VPR [Jurkat]	0.72095548317	-0.452790487425
112	POL [Jurkat]	VIF [HEK]	0.683438155136	-0.452362562471
113	IN [HEK]	POL [Jurkat]	0.705450733753	-0.452203130708
114	MA [HEK]	VIF [Jurkat]	0.712925170068	-0.451956704903
115	POL [Jurkat]	PR [HEK]	0.716470588235	-0.451672786714
116	GP160 [Jurkat]	GP41 [HEK]	0.822972972973	-0.451075218274
117	VPR [HEK]	VPU [Jurkat]	0.769751693002	-0.450669726516
118	GP120 [HEK]	TAT [Jurkat]	0.754266211604	-0.450302770139
119	NEF [Jurkat]	POL [HEK]	0.727915194346	-0.44995384006
120	REV [HEK]	REV [Jurkat]	0.75	-0.449634468287
121	MA [Jurkat]	VIF [HEK]	0.714285714286	-0.448076199163
