#	rank	protein_a	protein_b	d_AB	s_AB
1	REV [HEK]	TAT [HEK]	0.28004881025	-0.906892242854
2	CA [Jurkat]	P6 [Jurkat]	0.341064120055	-0.855941363807
3	NC [HEK]	REV [HEK]	0.355555555556	-0.843811533052
4	MA [Jurkat]	P6 [Jurkat]	0.365192582026	-0.841504210028
5	GAG [HEK]	NC [HEK]	0.370279146141	-0.823521832652
6	CA [Jurkat]	MA [Jurkat]	0.3891966759	-0.798213465183
7	REV [Jurkat]	TAT [Jurkat]	0.399425287356	-0.795562589217
8	NEF [Jurkat]	VIF [Jurkat]	0.360319270239	-0.792519248649
9	NC [HEK]	TAT [HEK]	0.399310344828	-0.788263619669
10	GAG [Jurkat]	P6 [Jurkat]	0.391724137931	-0.788237647642
11	GP120 [HEK]	GP160 [HEK]	0.442786069652	-0.785056515492
12	P6 [Jurkat]	RT [Jurkat]	0.431977559607	-0.784011645063
13	NEF [Jurkat]	P6 [Jurkat]	0.423076923077	-0.77940876698
14	GAG [HEK]	REV [HEK]	0.417081850534	-0.776086216867
15	VIF [Jurkat]	VPR [Jurkat]	0.375745526839	-0.774977600873
16	NC [Jurkat]	TAT [Jurkat]	0.427083333333	-0.771967872222
17	GAG [Jurkat]	REV [Jurkat]	0.407806191117	-0.764276906719
18	P6 [Jurkat]	REV [Jurkat]	0.446575342466	-0.761838104629
19	P6 [Jurkat]	VIF [Jurkat]	0.412855377009	-0.753789586654
20	PR [HEK]	RT [HEK]	0.424821002387	-0.752854582898
21	NC [Jurkat]	P6 [Jurkat]	0.462295081967	-0.75018169411
22	GAG [Jurkat]	TAT [Jurkat]	0.419681620839	-0.746854594212
23	CA [Jurkat]	GAG [Jurkat]	0.415549597855	-0.745125536748
24	GAG [Jurkat]	VIF [Jurkat]	0.385644768856	-0.744669845548
25	NEF [Jurkat]	VPR [Jurkat]	0.446264073695	-0.740299780411
26	IN [HEK]	NEF [HEK]	0.472694717995	-0.737279009935
27	NC [Jurkat]	REV [Jurkat]	0.468152866242	-0.736445222099
28	CA [Jurkat]	NEF [Jurkat]	0.448189762797	-0.735009276291
29	P6 [Jurkat]	TAT [Jurkat]	0.47197640118	-0.73089016313
30	IN [Jurkat]	P6 [Jurkat]	0.490683229814	-0.730310059824
31	GAG [Jurkat]	NEF [Jurkat]	0.43631778058	-0.729837560219
32	IN [HEK]	VIF [HEK]	0.419720767888	-0.729754756587
33	GP160 [HEK]	GP41 [HEK]	0.546952224053	-0.729623965795
34	NEF [Jurkat]	RT [Jurkat]	0.475095785441	-0.727086974456
35	GAG [Jurkat]	NC [Jurkat]	0.45264847512	-0.723497951698
36	IN [Jurkat]	NC [Jurkat]	0.494464944649	-0.722712986234
37	GAG [Jurkat]	RT [Jurkat]	0.45867768595	-0.720981169462
38	CA [Jurkat]	VIF [Jurkat]	0.428915662651	-0.718442650042
39	GAG [HEK]	TAT [HEK]	0.465753424658	-0.715621518632
40	GAG [Jurkat]	IN [Jurkat]	0.471841704718	-0.712821235661
41	IN [Jurkat]	RT [Jurkat]	0.51007751938	-0.710612840097
42	MA [Jurkat]	RT [Jurkat]	0.497150997151	-0.709242864742
43	GP120 [HEK]	GP41 [HEK]	0.56015037594	-0.708280198461
44	GAG [Jurkat]	MA [Jurkat]	0.463585434174	-0.706781008621
45	GP160 [Jurkat]	GP41 [Jurkat]	0.539803707743	-0.698134304065
46	VIF [HEK]	VPU [HEK]	0.492110453649	-0.695564371526
47	REV [Jurkat]	VIF [Jurkat]	0.464328899637	-0.694437376289
48	TAT [Jurkat]	VIF [Jurkat]	0.45935483871	-0.693864554432
49	CA [Jurkat]	RT [Jurkat]	0.50408719346	-0.69261536024
50	CA [Jurkat]	IN [Jurkat]	0.50977443609	-0.691932202578
51	MA [Jurkat]	REV [Jurkat]	0.511821974965	-0.686996129352
52	POL [HEK]	VIF [HEK]	0.461461461461	-0.685879139114
53	NCC [Jurkat]	REV [Jurkat]	0.512485136742	-0.68479716831
54	NEF [Jurkat]	TAT [Jurkat]	0.505361930295	-0.683698189241
55	IN [Jurkat]	TAT [Jurkat]	0.524590163934	-0.682977555182
56	MA [Jurkat]	NC [Jurkat]	0.520868113523	-0.682013319777
57	GP120 [Jurkat]	VIF [Jurkat]	0.465768799102	-0.681771193036
58	IN [Jurkat]	REV [Jurkat]	0.536253776435	-0.676860825466
59	IN [Jurkat]	NEF [Jurkat]	0.532303370787	-0.674883474077
60	GAG [HEK]	NCC [Jurkat]	0.517592592593	-0.673223311573
61	NC [Jurkat]	NCC [Jurkat]	0.53120665742	-0.670138976614
62	RT [Jurkat]	VIF [Jurkat]	0.496296296296	-0.670045737206
63	MA [Jurkat]	NEF [Jurkat]	0.525357607282	-0.667532739997
64	MA [Jurkat]	TAT [Jurkat]	0.526236881559	-0.667034339973
65	P6 [Jurkat]	VPR [Jurkat]	0.534653465347	-0.665716833534
66	NEF [Jurkat]	REV [Jurkat]	0.53007518797	-0.664531814351
67	REV [Jurkat]	RT [Jurkat]	0.544459644323	-0.663650872611
68	MA [Jurkat]	VIF [Jurkat]	0.494987468672	-0.662062152213
69	CA [HEK]	p6 [HEK]	0.81045751634	-0.661307834537
70	NEF [HEK]	VIF [HEK]	0.529991047449	-0.658129533628
71	GP120 [Jurkat]	P6 [Jurkat]	0.540302267003	-0.656884896304
72	GP120 [Jurkat]	GP160 [Jurkat]	0.550549450549	-0.653957747036
73	NCC [Jurkat]	P6 [Jurkat]	0.552855407047	-0.652305585741
74	GP160 [Jurkat]	VPR [Jurkat]	0.558048780488	-0.649641552672
75	IN [Jurkat]	MA [Jurkat]	0.563981042654	-0.647416904206
76	IN [HEK]	VPU [HEK]	0.563116370809	-0.646411601219
77	CA [Jurkat]	REV [Jurkat]	0.544607190413	-0.644519605712
78	GP120 [Jurkat]	NEF [Jurkat]	0.539443155452	-0.643937563079
79	NC [Jurkat]	VIF [Jurkat]	0.51909476662	-0.643734838289
80	IN [Jurkat]	VIF [Jurkat]	0.527665317139	-0.64368080133
81	VIF [HEK]	VPR [HEK]	0.550321199143	-0.642656656334
82	MA [HEK]	RT [HEK]	0.546012269939	-0.641892447915
83	RT [Jurkat]	VPR [Jurkat]	0.561538461538	-0.638528907181
84	CA [Jurkat]	NC [Jurkat]	0.556259904913	-0.636930220194
85	POL [HEK]	Pol [HEK]	0.523056653491	-0.636820063662
86	P6 [HEK]	p6 [HEK]	0.654377880184	-0.635351803011
87	MA [Jurkat]	NCC [Jurkat]	0.560344827586	-0.635220822425
88	VPR [HEK]	VPU [HEK]	0.618453865337	-0.634576437694
89	VPR [Jurkat]	VPU [Jurkat]	0.549582947173	-0.633896037143
90	Pol [HEK]	VIF [HEK]	0.506622516556	-0.633535977644
91	POL [Jurkat]	PR [Jurkat]	0.539072847682	-0.630771908996
