#	rank	protein_a	protein_b	d_AB	s_AB
1	REV	TAT	0.28004881025	-0.906892242854
2	NC	REV	0.355555555556	-0.843811533052
3	GAG	NC	0.370279146141	-0.823521832652
4	NC	TAT	0.399310344828	-0.788263619669
5	GP120	GP160	0.442786069652	-0.785056515492
6	GAG	REV	0.417081850534	-0.776086216867
7	PR	RT	0.424821002387	-0.752854582898
8	IN	NEF	0.472694717995	-0.737279009935
9	IN	VIF	0.419720767888	-0.729754756587
10	GP160	GP41	0.546952224053	-0.729623965795
11	GAG	TAT	0.465753424658	-0.715621518632
12	GP120	GP41	0.56015037594	-0.708280198461
13	VIF	VPU	0.492110453649	-0.695564371526
14	POL	VIF	0.461461461461	-0.685879139114
15	CA	p6	0.81045751634	-0.661307834537
16	NEF	VIF	0.529991047449	-0.658129533628
17	IN	VPU	0.563116370809	-0.646411601219
18	VIF	VPR	0.550321199143	-0.642656656334
19	MA	RT	0.546012269939	-0.641892447915
20	POL	Pol	0.523056653491	-0.636820063662
21	P6	p6	0.654377880184	-0.635351803011
22	VPR	VPU	0.618453865337	-0.634576437694
23	Pol	VIF	0.506622516556	-0.633535977644
24	IN	POL	0.541541541542	-0.627652205887
25	GP160	VPR	0.623748211731	-0.623412555231
26	PR	VIF	0.539347408829	-0.620617626136
27	GP41	VPR	0.670382165605	-0.617366590614
28	RT	VIF	0.528662420382	-0.616670507559
29	NEF	VPU	0.635532994924	-0.612640033705
30	GP120	VPR	0.626602564103	-0.612412587413
31	POL	PR	0.568715083799	-0.61096817412
32	Pol	VPU	0.595607235142	-0.604603706611
33	IN	Pol	0.567328918322	-0.594682722731
34	NEF	POL	0.618556701031	-0.589282102999
35	Pol	VPR	0.618155619597	-0.587358352459
36	POL	VPU	0.620530565167	-0.586862482961
37	POL	VPR	0.627700127065	-0.584995951367
38	PR	Pol	0.589775561097	-0.582725590446
39	GP120	Pol	0.603678929766	-0.582516860472
40	GP160	Pol	0.615156017831	-0.579185387854
41	POL	RT	0.594968553459	-0.570082597436
42	IN	VPR	0.645610278373	-0.569220723958
43	GP160	VPU	0.673940949936	-0.567916786723
44	Pol	RT	0.594017094017	-0.563851950503
45	MA	Pol	0.621753246753	-0.560977037359
46	PR	VPR	0.665060240964	-0.560260271857
47	GP160	POL	0.649214659686	-0.552308852374
48	GP41	VPU	0.733050847458	-0.549394878458
49	NEF	VPR	0.704972375691	-0.548503683241
50	GP41	Pol	0.687707641196	-0.547221753745
51	RT	VPR	0.668493150685	-0.542195255112
52	GP160	VIF	0.643249176729	-0.538556112377
53	RT	VPU	0.672839506173	-0.532545869321
54	MA	P6	0.684863523573	-0.528957471679
55	IN	PR	0.654510556622	-0.527307625196
56	GP120	VPU	0.707386363636	-0.526325757576
57	NEF	PR	0.696939782823	-0.523523455596
58	GP160	IN	0.689352360044	-0.514306075915
59	GAG	VIF	0.646166807077	-0.511445360527
60	MA	VPU	0.720994475138	-0.509252139949
61	PR	VPU	0.710989010989	-0.509028471528
62	GP41	RT	0.738993710692	-0.501110117991
63	MA	PR	0.702127659574	-0.500409165303
64	GP160	RT	0.708628005658	-0.490887833768
65	TAT	VIF	0.665961945032	-0.485423208277
66	GP120	VIF	0.688995215311	-0.484664458349
67	GAG	RT	0.692777212614	-0.482545505309
68	GP120	RT	0.708860759494	-0.482509464485
69	MA	VPR	0.753105590062	-0.482444055328
70	GAG	MA	0.720178372352	-0.480005585164
71	NEF	Pol	0.721778791334	-0.47887790632
72	GP41	MA	0.789090909091	-0.475874159185
73	IN	RT	0.692144373673	-0.475041701122
74	GP41	VIF	0.747619047619	-0.474774230744
75	MA	VIF	0.696261682243	-0.473932485292
76	GP41	IN	0.771428571429	-0.472817853788
77	GP120	POL	0.721335268505	-0.472042628108
78	MA	POL	0.720733427362	-0.469178963126
79	NEF	RT	0.739320920044	-0.466510211352
80	GP160	NEF	0.777777777778	-0.464525714782
81	GP160	MA	0.763285024155	-0.461092054864
82	GP160	PR	0.753407682776	-0.460740263673
83	GP120	PR	0.745901639344	-0.460100691658
84	REV	VIF	0.708944281525	-0.454233995894
85	GP120	MA	0.767399267399	-0.448832196173
86	CA	P6	0.949438202247	-0.447473498492
87	REV	RT	0.735344827586	-0.445544000152
88	GP41	PR	0.811141304348	-0.443594631358
89	GAG	PR	0.753462603878	-0.436492221069
90	NC	RT	0.748201438849	-0.433320300282
91	MA	p6	0.857142857143	-0.431531788247
92	GP41	NEF	0.854500616523	-0.428390865295
93	RT	TAT	0.742386831276	-0.426708872352
94	GP120	IN	0.769138755981	-0.426374064532
95	GAG	VPU	0.796208530806	-0.421456084351
96	GP41	POL	0.822510822511	-0.419600678806
97	MA	NC	0.793686583991	-0.412696394732
98	PR	TAT	0.774904942966	-0.408822867685
99	PR	REV	0.790476190476	-0.405044744285
100	CA	MA	1.00589970501	-0.389956957919
101	NEF	TAT	0.823741007194	-0.388142349568
102	REV	VPU	0.835227272727	-0.388003452244
103	TAT	VPU	0.824397824398	-0.387039776463
104	POL	TAT	0.784591194969	-0.386512181293
105	GAG	POL	0.791346153846	-0.385984236711
106	NC	VIF	0.778249787596	-0.385561401216
107	GAG	Pol	0.786694825766	-0.383453458416
108	IN	TAT	0.789992952784	-0.383245347378
109	P6	RT	0.80572597137	-0.383233784289
110	GAG	VPR	0.847179487179	-0.37578815828
111	GP120	NEF	0.866171003717	-0.367986873396
112	MA	REV	0.838919925512	-0.366830141819
113	POL	REV	0.820049301561	-0.362847198811
114	GAG	IN	0.828138163437	-0.35132715102
115	IN	MA	0.855140186916	-0.336907127472
116	NC	PR	0.85927306617	-0.336880779984
117	GAG	GP160	0.889705882353	-0.322089196735
118	TAT	VPR	0.897265948633	-0.319474682531
119	NEF	REV	0.905617977528	-0.318058503345
120	IN	REV	0.868768328446	-0.316263095826
121	MA	TAT	0.878653675819	-0.315303267401
122	GP160	P6	0.910869565217	-0.314562551607
123	REV	VPR	0.914930555556	-0.313603199719
124	NC	POL	0.870873786408	-0.312655625357
125	P6	VPR	0.925155925156	-0.31144875804
126	P6	Pol	0.872527472527	-0.311257849391
127	MA	NEF	0.926239419589	-0.3044529514
128	GAG	NEF	0.914507772021	-0.303602599037
129	NC	VPU	0.921531100478	-0.302332535885
130	GP120	P6	0.916883116883	-0.300403384494
131	P6	POL	0.893772893773	-0.297194534521
132	Pol	TAT	0.867684478372	-0.296236791515
133	RT	p6	0.978448275862	-0.285365129935
134	Pol	REV	0.89768683274	-0.278027561257
135	GAG	GP41	0.977298524404	-0.275084543941
136	GP41	P6	1.00514138817	-0.260878717906
137	NC	Pol	0.916932907348	-0.259414398041
138	CA	GP120	1.14018691589	-0.259135253171
139	GAG	GP120	0.945267958951	-0.25838150469
140	NC	VPR	0.976165803109	-0.253000863558
141	P6	PR	0.95246179966	-0.251130063022
142	P6	VPU	0.992869875223	-0.23843177767
143	CA	Pol	1.14066496164	-0.225156027963
144	GP120	p6	1.07222222222	-0.219917929293
145	GP160	TAT	0.989864864865	-0.215703199927
146	GP41	p6	1.12637362637	-0.214500129845
147	Pol	p6	1.04418604651	-0.214452925544
148	GP160	REV	1.00885739593	-0.208503792977
149	NC	NEF	1.01829268293	-0.206016709338
150	CA	GP41	1.24307692308	-0.204978850686
151	IN	NC	0.988954970263	-0.196709365401
152	PR	p6	1.08510638298	-0.193339129842
153	CA	GP160	1.21717171717	-0.190296067334
154	GP160	p6	1.11034482759	-0.189940939375
155	P6	VIF	0.982683982684	-0.188565222656
156	GP160	NC	1.03283898305	-0.185155117244
157	CA	RT	1.19058823529	-0.180407188047
158	VPR	p6	1.13157894737	-0.179879385965
159	GAG	P6	1.03678474114	-0.164454254177
160	GP41	REV	1.09451795841	-0.163431219748
161	GP120	REV	1.05123339658	-0.157982176872
162	GP41	TAT	1.09344115004	-0.152714904004
163	CA	VPR	1.26858513189	-0.150055218983
164	GP41	NC	1.12256586483	-0.136016224718
165	GP120	TAT	1.06311992786	-0.134302521483
166	NC	P6	1.09228650138	-0.115151515152
167	VPU	p6	1.20149253731	-0.104662765717
168	GP120	NC	1.10932105869	-0.10052742616
169	POL	p6	1.17466410749	-0.0911569709458
170	CA	PR	1.29714285714	-0.0884846732215
171	VIF	p6	1.15868263473	-0.0874202207473
172	GAG	p6	1.19746121298	-0.0786314324835
173	CA	VPU	1.33802816901	-0.0753091515601
174	P6	REV	1.14709110867	-0.0597139964647
