#PROTEIN	GENE ID
CA	3848
CA	3312
CA	10342
CA	552900;654483
CA	3008
CA	11226
CA	552900;654483
CA	23112
CA	4904
CA	9379
CA	22834
CA	10085
GAG	10419
GAG	5495
GAG	213
GAG	3848
GAG	6181
GAG	4869
GAG	203068
GAG	3303;3304
GAG	3008
GAG	3309
GAG	3312
GAG	6187
GAG	6165
GAG	6129
GAG	6139
GAG	6737
GAG	6188
GAG	6137
GAG	6134
GAG	6136
GAG	3857
GAG	6124
GAG	6122
GAG	23521
GAG	6157
GAG	6125
GAG	6144
GAG	6158
GAG	6159
GAG	6164
GAG	9045
GAG	6224
GAG	6189
GAG	6154
GAG	6138
GAG	6155
GAG	6202
GAG	6210
GAG	6208
GAG	6228
GAG	6235
GAG	6207
GAG	6205
GAG	6130
GAG	6191
GAG	6147
GAG	6194
GAG	101929876;6231
GAG	6160
GAG	6135
GAG	6132
GAG	6233
GAG	4904
GAG	56945
GAG	6152
GAG	6173
GAG	6143
GAG	3192
GAG	6142
GAG	6128
GAG	11329
GAG	8971
GAG	10342
GAG	79084
GAG	552900;654483
GAG	25873
GAG	10419
GAG	6885
GAG	5495
GAG	213
GAG	3848
GAG	6176
GAG	6181
GAG	6175
GAG	4869
GAG	3303;3304
GAG	3309
GAG	3312
GAG	6187
GAG	6192
GAG	1975
GAG	6206
GAG	6137
GAG	6136
GAG	3187
GAG	6133
GAG	3305
GAG	3857
GAG	6124
GAG	3313
GAG	6223
GAG	6125
GAG	6204
GAG	4670
GAG	3185
GAG	3832
GAG	6182
GAG	60
GAG	6224
GAG	6189
GAG	6154
GAG	6202
GAG	6210
GAG	6217
GAG	6208
GAG	6205
GAG	6194
GAG	6234
GAG	6135
GAG	6169
GAG	4904
GAG	117159
GAG	6152
GAG	6143
GAG	8241
GAG	3192
GAG	6141
GAG	1660
GAG	6430
GAG	11329
GAG	10454
GAG	56829
GAG	26292
GAG	79084
GAG	83443
GAG	552900;654483
GAG	54512
GAG	55692
GAG	9188
GAG	10927
GP120	5717
GP120	8471
GP120	10419
GP120	1047
GP120	8974
GP120	9403
GP120	10294
GP120	5495
GP120	11160
GP120	9532
GP120	7037
GP120	3848
GP120	10382
GP120	6184
GP120	476
GP120	292
GP120	5034
GP120	203068
GP120	3303;3304
GP120	1329
GP120	3329
GP120	3309
GP120	3312
GP120	293
GP120	5033
GP120	5589
GP120	7184
GP120	4072
GP120	488
GP120	6950
GP120	1975
GP120	6134
GP120	821
GP120	5686
GP120	3107
GP120	3301
GP120	3305
GP120	3857
GP120	3849
GP120	6124
GP120	3030
GP120	6232
GP120	7917
GP120	6158
GP120	3998
GP120	7203
GP120	10575
GP120	5713
GP120	3832
GP120	3306
GP120	3032
GP120	60
GP120	5705
GP120	6202
GP120	6194
GP120	9349
GP120	7311;7314;6233;7316
GP120	1915
GP120	10376
GP120	10383
GP120	10576
GP120	8241
GP120	3192
GP120	6128
GP120	708
GP120	10970
GP120	5708
GP120	10381
GP120	7280
GP120	5955
GP120	23193
GP120	3837
GP120	5445
GP120	11329
GP120	5954
GP120	92609
GP120	79709
GP120	201595
GP120	54495
GP120	55705
GP120	5707
GP120	6388
GP120	79084
GP120	84790
GP120	347733
GP120	54732
GP120	83443
GP120	552900;654483
GP120	23753
GP120	9524
GP120	51726
GP120	51184
GP120	25994
GP120	10525
GP120	10419
GP120	5495
GP120	3105
GP120	6184
GP120	292
GP120	3303;3304
GP120	3309
GP120	3312
GP120	7184
GP120	6737
GP120	6134
GP120	821
GP120	3301
GP120	6124
GP120	672
GP120	6158
GP120	6159
GP120	7203
GP120	7284
GP120	3832
GP120	60
GP120	6224
GP120	6228
GP120	6194
GP120	7311;7314;6233;7316
GP120	10383
GP120	2079
GP120	6128
GP120	8402
GP120	5708
GP120	113457;7278
GP120	7280
GP120	23193
GP120	3837
GP120	11329
GP120	79776
GP120	3772
GP120	83732
GP120	347733
GP120	552900;654483
GP120	23753
GP120	51726
GP120	5717
GP120	10419
GP120	8974
GP120	10294
GP120	5495
GP120	3848
GP120	476
GP120	351
GP120	292
GP120	6176
GP120	5034
GP120	203068
GP120	3303;3304
GP120	3329
GP120	3309
GP120	3312
GP120	1535
GP120	3858
GP120	5589
GP120	7184
GP120	6134
GP120	821
GP120	3301
GP120	3305
GP120	3857
GP120	3998
GP120	7284
GP120	10575
GP120	3306
GP120	60
GP120	10096
GP120	5700
GP120	6217
GP120	7311;7314;6233;7316
GP120	10376
GP120	10383
GP120	10576
GP120	8241
GP120	3192
GP120	708
GP120	10381
GP120	7280
GP120	23193
GP120	6388
GP120	84617
GP120	347733
GP120	552900;654483
GP120	81027
GP120	23753
GP120	9524
GP120	51726
GP120	10419
GP120	10294
GP120	5495
GP120	9532
GP120	3500
GP120	3105
GP120	292
GP120	203068
GP120	3303;3304
GP120	3309
GP120	3312
GP120	5589
GP120	7184
GP120	1975
GP120	6137
GP120	821
GP120	25824
GP120	3301
GP120	6232
GP120	6158
GP120	6159
GP120	7203
GP120	7284
GP120	3832
GP120	60
GP120	6228
GP120	6169
GP120	10376
GP120	10383
GP120	4925
GP120	54726
GP120	6128
GP120	8402
GP120	5708
GP120	10381
GP120	7280
GP120	23193
GP120	3837
GP120	11329
GP120	6388
GP120	79084
GP120	51150
GP120	347733
GP120	23753
GP120	51726
GP120	10525
GP120	10927
GP160	728378
GP160	5717
GP160	10419
GP160	9403
GP160	10613
GP160	5495
GP160	10211
GP160	23353
GP160	3105
GP160	3861
GP160	3848
GP160	6184
GP160	351
GP160	6176
GP160	5034
GP160	203068
GP160	3303;3304
GP160	3868
GP160	3107
GP160	3309
GP160	3312
GP160	1327
GP160	3858
GP160	3860
GP160	3852
GP160	7184
GP160	4072
GP160	488
GP160	6139
GP160	3866
GP160	7416
GP160	1975
GP160	821
GP160	5245
GP160	3857
GP160	2521
GP160	3849
GP160	6124
GP160	3030
GP160	5704
GP160	7417
GP160	3998
GP160	3832
GP160	1207
GP160	3306
GP160	3032
GP160	5687
GP160	6202
GP160	5706
GP160	7311;7314;6233;7316
GP160	6169
GP160	1915
GP160	10376
GP160	10383
GP160	2079
GP160	6143
GP160	8241
GP160	54726
GP160	6128
GP160	10970
GP160	10381
GP160	7280
GP160	5955
GP160	1825
GP160	23193
GP160	5445
GP160	11329
GP160	5954
GP160	391712
GP160	27248
GP160	5707
GP160	6388
GP160	11331
GP160	79084
GP160	84790
GP160	83732
GP160	23071
GP160	347733
GP160	2530
GP160	552900;654483
GP160	23753
GP160	26270
GP160	51495
GP160	51726
GP160	6400
GP160	10419
GP160	401
GP160	23077
GP160	5495
GP160	8614
GP160	3861
GP160	3853
GP160	3848
GP160	3303;3304
GP160	3008
GP160	3309
GP160	1327
GP160	3858
GP160	5589
GP160	6737
GP160	6137
GP160	821
GP160	3857
GP160	3849
GP160	6124
GP160	7417
GP160	6157
GP160	6159
GP160	3832
GP160	6224
GP160	6130
GP160	10376
GP160	10383
GP160	8241
GP160	6128
GP160	8402
GP160	10970
GP160	11329
GP160	11331
GP160	79084
GP160	347733
GP160	552900;654483
GP160	23753
GP160	51726
GP160	10857
GP160	10419
GP160	10653
GP160	10613
GP160	5495
GP160	5716
GP160	10211
GP160	23353
GP160	11160
GP160	3106
GP160	7037
GP160	3848
GP160	10382
GP160	6184
GP160	476
GP160	351
GP160	292
GP160	5034
GP160	203068
GP160	7388
GP160	3303;3304
GP160	3309
GP160	3312
GP160	1327
GP160	3858
GP160	5589
GP160	1340
GP160	488
GP160	7416
GP160	1975
GP160	5682
GP160	2040
GP160	811
GP160	821
GP160	3187
GP160	5245
GP160	3857
GP160	6124
GP160	6122
GP160	3030
GP160	7417
GP160	3998
GP160	5713
GP160	3832
GP160	1207
GP160	3306
GP160	3032
GP160	60
GP160	6194
GP160	7311;7314;6233;7316
GP160	6169
GP160	1915
GP160	10376
GP160	10383
GP160	8241
GP160	54726
GP160	1824
GP160	6128
GP160	708
GP160	10970
GP160	7280
GP160	5955
GP160	1825
GP160	23193
GP160	5445
GP160	11329
GP160	10454
GP160	10342
GP160	27248
GP160	54495
GP160	55705
GP160	5707
GP160	6388
GP160	11331
GP160	79084
GP160	79188
GP160	347733
GP160	2530
GP160	552900;654483
GP160	23753
GP160	26270
GP160	51726
GP160	6400
GP160	25777
GP160	5719
GP160	7419
GP160	23012
GP160	10419
GP160	5495
GP160	10382
GP160	3303;3304
GP160	3008
GP160	3309
GP160	3312
GP160	5589
GP160	498
GP160	821
GP160	6124
GP160	7417
GP160	6158
GP160	6159
GP160	3832
GP160	6228
GP160	6130
GP160	6194
GP160	10383
GP160	10970
GP160	5708
GP160	3837
GP160	11329
GP160	26292
GP160	11331
GP160	83732
GP160	347733
GP160	23753
GP160	54442
GP160	51726
GP41	10857
GP41	10419
GP41	5359
GP41	10613
GP41	5495
GP41	57827
GP41	4716
