#	rank	protein_a	protein_b	d_AB	s_AB
1	CA	P6	0.341064120055	-0.855941363807
2	MA	P6	0.365192582026	-0.841504210028
3	CA	MA	0.3891966759	-0.798213465183
4	REV	TAT	0.399425287356	-0.795562589217
5	NEF	VIF	0.360319270239	-0.792519248649
6	GAG	P6	0.391724137931	-0.788237647642
7	P6	RT	0.431977559607	-0.784011645063
8	NEF	P6	0.423076923077	-0.77940876698
9	VIF	VPR	0.375745526839	-0.774977600873
10	NC	TAT	0.427083333333	-0.771967872222
11	GAG	REV	0.407806191117	-0.764276906719
12	P6	REV	0.446575342466	-0.761838104629
13	P6	VIF	0.412855377009	-0.753789586654
14	NC	P6	0.462295081967	-0.75018169411
15	GAG	TAT	0.419681620839	-0.746854594212
16	CA	GAG	0.415549597855	-0.745125536748
17	GAG	VIF	0.385644768856	-0.744669845548
18	NEF	VPR	0.446264073695	-0.740299780411
19	NC	REV	0.468152866242	-0.736445222099
20	CA	NEF	0.448189762797	-0.735009276291
21	P6	TAT	0.47197640118	-0.73089016313
22	IN	P6	0.490683229814	-0.730310059824
23	GAG	NEF	0.43631778058	-0.729837560219
24	NEF	RT	0.475095785441	-0.727086974456
25	GAG	NC	0.45264847512	-0.723497951698
26	IN	NC	0.494464944649	-0.722712986234
27	GAG	RT	0.45867768595	-0.720981169462
28	CA	VIF	0.428915662651	-0.718442650042
29	GAG	IN	0.471841704718	-0.712821235661
30	IN	RT	0.51007751938	-0.710612840097
31	MA	RT	0.497150997151	-0.709242864742
32	GAG	MA	0.463585434174	-0.706781008621
33	GP160	GP41	0.539803707743	-0.698134304065
34	REV	VIF	0.464328899637	-0.694437376289
35	TAT	VIF	0.45935483871	-0.693864554432
36	CA	RT	0.50408719346	-0.69261536024
37	CA	IN	0.50977443609	-0.691932202578
38	MA	REV	0.511821974965	-0.686996129352
39	NCC	REV	0.512485136742	-0.68479716831
40	NEF	TAT	0.505361930295	-0.683698189241
41	IN	TAT	0.524590163934	-0.682977555182
42	MA	NC	0.520868113523	-0.682013319777
43	GP120	VIF	0.465768799102	-0.681771193036
44	IN	REV	0.536253776435	-0.676860825466
45	IN	NEF	0.532303370787	-0.674883474077
46	NC	NCC	0.53120665742	-0.670138976614
47	RT	VIF	0.496296296296	-0.670045737206
48	MA	NEF	0.525357607282	-0.667532739997
49	MA	TAT	0.526236881559	-0.667034339973
50	P6	VPR	0.534653465347	-0.665716833534
51	NEF	REV	0.53007518797	-0.664531814351
52	REV	RT	0.544459644323	-0.663650872611
53	MA	VIF	0.494987468672	-0.662062152213
54	GP120	P6	0.540302267003	-0.656884896304
55	GP120	GP160	0.550549450549	-0.653957747036
56	NCC	P6	0.552855407047	-0.652305585741
57	GP160	VPR	0.558048780488	-0.649641552672
58	IN	MA	0.563981042654	-0.647416904206
59	CA	REV	0.544607190413	-0.644519605712
60	GP120	NEF	0.539443155452	-0.643937563079
61	NC	VIF	0.51909476662	-0.643734838289
62	IN	VIF	0.527665317139	-0.64368080133
63	RT	VPR	0.561538461538	-0.638528907181
64	CA	NC	0.556259904913	-0.636930220194
65	MA	NCC	0.560344827586	-0.635220822425
66	VPR	VPU	0.549582947173	-0.633896037143
67	POL	PR	0.539072847682	-0.630771908996
68	GAG	VPR	0.533622559653	-0.630417389969
69	GP120	VPR	0.550958627649	-0.630306699706
70	CA	TAT	0.555078683834	-0.628501229506
71	NC	RT	0.584288052373	-0.627885793543
72	MA	VPU	0.562571756602	-0.627233720888
73	CA	NCC	0.561611374408	-0.624262967411
74	RT	TAT	0.578792341679	-0.62377129247
75	GP41	VPU	0.590113285273	-0.623613377691
76	GAG	GP120	0.541511771995	-0.619345042053
77	NEF	VPU	0.569473684211	-0.616120691283
78	RT	VPU	0.583238958097	-0.615858932009
79	CA	VPR	0.565591397849	-0.615492250061
80	GAG	NCC	0.555023923445	-0.613806720085
81	NCC	TAT	0.580481622307	-0.611253799961
82	GP160	NEF	0.600222717149	-0.609583007187
83	CA	GP120	0.576687116564	-0.601213395772
