#PROTEIN	GENE ID
NEF	3303;3304
NEF	81892
NEF	5093
NEF	5096
NEF	10376
NEF	5095
NEF	3185
NEF	7409
NEF	10005
NEF	51172
NEF	2194
NEF	7280
NEF	1176
NEF	5591
NEF	3187
NEF	5701
NEF	5315
NEF	790
NEF	22948
NEF	3337
NEF	25824
NEF	7535
NEF	10797
NEF	6950
NEF	29899
NEF	3313
NEF	1020
NEF	5708
NEF	2617
NEF	5250
NEF	1984
NEF	1434
NEF	10314
NEF	8607
NEF	80895
NEF	2597
NEF	292
NEF	10381
NEF	4670
NEF	498
NEF	4904
NEF	2316
NEF	5094
NEF	6421
NEF	140609
NEF	6742
NEF	10574
NEF	5903
NEF	5495
NEF	8570
NEF	4172
NEF	3631
NEF	1213
NEF	11273
NEF	57674
NEF	23165
NEF	7534
NEF	5091
NEF	60412
NEF	1915
NEF	10155
NEF	5700
NEF	80273
NEF	2539
NEF	7203
NEF	3312
NEF	56922
NEF	10994
NEF	1267
NEF	6418
NEF	3190
NEF	3329
NEF	26227
NEF	10294
NEF	3141
NEF	10592
NEF	5925
NEF	4841
NEF	10856
NEF	10971
NEF	3837
NEF	57488
NEF	4175
NEF	58
NEF	2222
NEF	70
NEF	2058
NEF	5052
NEF	10657
NEF	3326
NEF	57222
NEF	2618
NEF	1072
NEF	5901
NEF	3192
NEF	2177
NEF	22870
NEF	60
NEF	31
NEF	8402
NEF	64087
NEF	5202
NEF	54039
NEF	4836
NEF	1973
NEF	4174
NEF	4176
NEF	84284
NEF	26528
NEF	6232
NEF	59
NEF	3301
NEF	10382
NEF	4637
NEF	7555
NEF	10575
NEF	10694
NEF	2771
NEF	2317
NEF	80305
NEF	10576
NEF	10128
NEF	1938
NEF	8803
NEF	112939
NEF	4522
NEF	10383
NEF	6774
NEF	4141
NEF	9775
NEF	6187
NEF	92609
NEF	5110
NEF	347733
NEF	6634
NEF	7284
NEF	203068
NEF	52
NEF	3842
NEF	3309
NEF	5111
NEF	72
NEF	23012
NEF	10376
NEF	7280
NEF	6130
NEF	6136
NEF	6135
NEF	156110
NEF	5209
NEF	6132
NEF	3187
NEF	3857
NEF	6194
NEF	3029
NEF	192111
NEF	3192
NEF	64005
NEF	4691
NEF	2079
NEF	1207
NEF	3849
NEF	6176
NEF	6175
NEF	292
NEF	498
NEF	2316
NEF	26986
NEF	57532
NEF	8106
NEF	5495
NEF	3178
NEF	440193
NEF	6189
NEF	10419
NEF	6726
NEF	1915
NEF	55681
NEF	26121
NEF	11329
NEF	6141
NEF	3312
NEF	25777
NEF	9967
NEF	5034
NEF	9119
NEF	6208
NEF	3858
NEF	3326
NEF	347733
NEF	9349
NEF	79084
NEF	3313
NEF	3716
NEF	55704
NEF	144097
NEF	26097
NEF	83732
NEF	552900;654483
NEF	4836
NEF	9045
NEF	5928
NEF	8241
NEF	4282
NEF	5478
NEF	10382
NEF	262
NEF	6711
NEF	6206
NEF	6137
NEF	6202
NEF	60
NEF	2280
NEF	51479
NEF	3848
NEF	10383
NEF	1665
NEF	6144
NEF	6187
NEF	29952
NEF	1174
NEF	10927
NEF	3007
NEF	6633
NEF	6632
NEF	1975
NEF	80321
NEF	203068
NEF	23012
NEF	22948
NEF	6181
NEF	10376
NEF	112714
NEF	3313
NEF	8241
NEF	7846
NEF	10005
NEF	9967
NEF	59
NEF	4282
NEF	6737
NEF	113457;7278
NEF	5208
NEF	10382
NEF	3187
NEF	55681
NEF	4637
NEF	3329
NEF	203068
NEF	10575
NEF	10694
NEF	790
NEF	3190
NEF	58
NEF	2597
NEF	6950
NEF	5209
NEF	10576
NEF	5495
NEF	1938
NEF	70
NEF	498
NEF	5052
NEF	4522
NEF	3301
NEF	10574
NEF	3326
NEF	3312
NEF	11151
NEF	71
NEF	81532
NEF	2950
NEF	2079
NEF	1072
NEF	3837
NEF	79084
NEF	10927
NEF	10419
NEF	3716
NEF	1915
NEF	10625
NEF	6634
NEF	908
NEF	26121
NEF	80321
NEF	3309
NEF	7203
NEF	9535
NEF	11329
NEF	5685
NEF	10383
NEF	5111
NEF	54039
NEF	4836
NEF	72
NEF	57222
NEF	23012
NEF	821
NEF	10376
NEF	3185
NEF	10005
NEF	27101
NEF	10212
NEF	6136
NEF	26986
NEF	6132
NEF	4172
NEF	3857
NEF	9343
NEF	6434
NEF	6147
NEF	790
NEF	6636
NEF	6737
NEF	10189
NEF	10797
NEF	23367
NEF	8148
NEF	11051
NEF	4736
NEF	1476
NEF	6169
NEF	92597
NEF	6143
NEF	4691
NEF	1962;51807
NEF	2079
NEF	5631
NEF	23450
NEF	1984
NEF	1207
NEF	57532
NEF	3059
NEF	84790
NEF	60
NEF	7532
NEF	10627
NEF	10314
NEF	7531
NEF	23112
NEF	8607
NEF	213
NEF	6181
NEF	112714
NEF	2969
NEF	6175
NEF	10454
NEF	4673
NEF	6627
NEF	23753
NEF	113457;7278
NEF	4670
NEF	3320
NEF	4904
NEF	2316
NEF	5685
NEF	5093
NEF	805;808;801
NEF	1665
NEF	3066
NEF	8106
NEF	5495
NEF	1975
NEF	3301
NEF	3187
NEF	10971
NEF	1213
NEF	3276
NEF	5494
NEF	83732
NEF	86
NEF	6625
NEF	11100
NEF	3178
NEF	6626
NEF	10856
NEF	3188
NEF	10419
NEF	6726
NEF	4627
NEF	1915
NEF	55681
NEF	26121
NEF	6427
NEF	6923
NEF	3309
NEF	2539
NEF	7203
NEF	6141
NEF	708
NEF	3312
NEF	3313
NEF	6432
NEF	3190
NEF	3329
NEF	26227
NEF	5634
NEF	8880
NEF	4144
NEF	9967
NEF	5034
NEF	3181
NEF	6234
NEF	58
NEF	4841
NEF	11140
NEF	2597
NEF	8761
NEF	6426
NEF	7001
NEF	3609
NEF	9255
NEF	7150
NEF	11052
NEF	83443
NEF	70
NEF	5052
NEF	6233
NEF	5518
NEF	3858
NEF	3326
NEF	10236
NEF	2547
NEF	1072
NEF	7846
NEF	79084
NEF	6885
NEF	4869
NEF	3192
NEF	1642
NEF	6634
NEF	220988
NEF	6191
NEF	6430
NEF	8683
NEF	8655
NEF	6950
NEF	60673
NEF	552900;654483
NEF	6128
NEF	4836
NEF	830
NEF	10523
NEF	5928
NEF	9774
NEF	55832
NEF	8241
NEF	11329
NEF	59
NEF	6628
NEF	8471
NEF	5478
NEF	6631
NEF	3735
NEF	10382
NEF	6711
NEF	55163
NEF	6206
NEF	498
NEF	6202
NEF	6124
NEF	6210
NEF	10576
NEF	10128
NEF	51479
NEF	6155
NEF	6125
NEF	3848
NEF	10383
NEF	10574
NEF	7112
NEF	29952
NEF	3921
NEF	5208
NEF	5110
NEF	81608
NEF	5636
NEF	4637
NEF	10927
NEF	10625
NEF	3007
NEF	6633
NEF	6632
NEF	84310
NEF	80321
NEF	2521
NEF	203068
NEF	10694
NEF	6709
NEF	3936
NEF	72
NEF	203068
NEF	23012
NEF	6192
NEF	10376
NEF	54583
NEF	3185
NEF	6161
NEF	6135
NEF	26986
NEF	5209
NEF	3187
NEF	790
NEF	6636
NEF	4736
NEF	6188
NEF	4691
NEF	2079
NEF	5250
NEF	23450
NEF	1207
NEF	6230
NEF	5635
NEF	54726
NEF	3849
NEF	6176
NEF	6175
NEF	6223
NEF	292
NEF	4904
NEF	2316
NEF	57532
NEF	5495
NEF	10971
NEF	6122
NEF	85236
NEF	23165
NEF	6128
NEF	6189
NEF	10419
NEF	8335;3012
NEF	60412
NEF	55681
NEF	6134
NEF	11329
NEF	2539
NEF	3312
NEF	3190
NEF	3329
NEF	4144
NEF	9967
NEF	5034
NEF	4841
NEF	11100
NEF	6222
NEF	5052
NEF	3858
NEF	3326
NEF	3306
NEF	79084
NEF	4869
NEF	3192
NEF	3716
NEF	6207
NEF	54039
NEF	4836
NEF	5928
NEF	9774
NEF	6727
NEF	8241
NEF	6737
NEF	3301
NEF	6168
NEF	10992
NEF	3832
NEF	6210
NEF	60
NEF	1025
NEF	54442
NEF	6157
NEF	3848
NEF	10574
NEF	51806
NEF	6144
NEF	84991
NEF	6187
NEF	10927
NEF	10625
NEF	6632
NEF	1975
NEF	80321
NEF	203068
NEF	3309
NEF	3303;3304
NEF	3868
NEF	6139
NEF	5096
NEF	10376
NEF	5095
NEF	25873
NEF	10005
NEF	3008
NEF	4627
NEF	6130
NEF	6132
NEF	3857
NEF	790
NEF	3850
NEF	4736
NEF	3313
NEF	58526
NEF	4691
NEF	23450
NEF	10627
NEF	3849
NEF	213
NEF	3854
NEF	6181
NEF	4628
NEF	4629
NEF	8773
NEF	6142
NEF	4904
NEF	6742
NEF	6339
NEF	11273
NEF	6138
NEF	3178
NEF	85236
NEF	6128
NEF	7534
NEF	3921
NEF	3852
NEF	1915
NEF	2539
NEF	6141
NEF	3312
NEF	56922
