ID	Num Entries
GO:0000027	1674
GO:0000028	1525
GO:0000049	934
GO:0000054	519
GO:0000070	3202
GO:0000075	4121
GO:0000077	2236
GO:0000080	18
GO:0000082	2303
GO:0000086	1628
GO:0000087	79
GO:0000090	18
GO:0000151	7208
GO:0000166	93275
GO:0000184	703
GO:0000209	3531
GO:0000228	13296
GO:0000245	1321
GO:0000275	180
GO:0000276	393
GO:0000278	23528
GO:0000279	105
GO:0000280	15834
GO:0000338	719
GO:0000375	9028
GO:0000377	8332
GO:0000380	610
GO:0000387	1246
GO:0000398	8317
GO:0000462	3065
GO:0000502	7061
GO:0000785	10056
GO:0000790	6149
GO:0000796	319
GO:0000819	3574
GO:0000835	84
GO:0000836	66
GO:0000932	2145
GO:0000956	4661
GO:0001071	48696
GO:0001503	4663
GO:0001649	2041
GO:0001725	977
GO:0001726	1106
GO:0001775	14847
GO:0001882	61845
GO:0001883	61534
GO:0001948	875
GO:0002181	4623
GO:0002199	98
GO:0002218	3841
GO:0002220	186
GO:0002223	161
GO:0002253	6996
GO:0002376	62234
GO:0002429	2253
GO:0002474	1225
GO:0002478	749
GO:0002479	194
GO:0002483	273
GO:0002682	23532
GO:0002684	15418
GO:0002757	5762
GO:0002758	3650
GO:0002764	6332
GO:0002768	2795
GO:0003674	1691091
GO:0003676	146271
GO:0003678	2273
GO:0003697	2458
GO:0003700	48671
GO:0003723	53000
GO:0003724	5284
GO:0003725	1018
GO:0003727	1071
GO:0003729	3909
GO:0003735	18981
GO:0003746	1772
GO:0003823	1348
GO:0003824	609246
GO:0003924	28506
GO:0004004	5132
GO:0004298	870
GO:0004386	12217
GO:0004576	572
GO:0004579	409
GO:0004722	1710
GO:0004812	6716
GO:0004871	82494
GO:0004872	71221
GO:0004888	58511
GO:0004930	28229
GO:0004984	14800
GO:0005198	27438
GO:0005200	1179
GO:0005488	681591
GO:0005515	271241
GO:0005524	43932
GO:0005525	10605
GO:0005575	1545924
GO:0005576	85009
GO:0005615	25495
GO:0005622	893074
GO:0005623	1127216
GO:0005634	220187
GO:0005635	7565
GO:0005643	2421
GO:0005654	44618
GO:0005681	8886
GO:0005683	101
GO:0005685	824
GO:0005687	441
GO:0005689	474
GO:0005694	26656
GO:0005730	16873
GO:0005737	454196
GO:0005739	74038
GO:0005740	15942
GO:0005743	10562
GO:0005746	2050
GO:0005751	284
GO:0005753	874
GO:0005759	6949
GO:0005768	15900
GO:0005783	31905
GO:0005784	102
GO:0005788	1123
GO:0005789	14283
GO:0005791	607
GO:0005793	676
GO:0005798	1465
GO:0005811	1285
GO:0005813	7152
GO:0005815	10867
GO:0005829	66849
GO:0005832	208
GO:0005838	1630
GO:0005839	2607
GO:0005840	21644
GO:0005844	596
GO:0005853	161
GO:0005856	44676
GO:0005868	529
GO:0005874	5270
GO:0005875	6424
GO:0005887	39891
GO:0005912	6110
GO:0005924	3995
GO:0005925	3919
GO:0005938	5520
GO:0005975	50315
GO:0005977	2120
GO:0005996	8739
GO:0006006	3726
GO:0006073	3743
GO:0006090	3783
GO:0006091	13154
GO:0006096	2640
GO:0006112	2315
GO:0006119	2055
GO:0006139	331939
GO:0006163	20329
GO:0006164	12830
GO:0006259	58440
GO:0006281	21729
GO:0006301	1409
GO:0006323	4355
GO:0006334	2567
GO:0006335	148
GO:0006336	262
GO:0006353	928
GO:0006364	13185
GO:0006366	55959
GO:0006369	402
GO:0006396	46668
GO:0006397	13010
GO:0006401	8059
GO:0006402	5387
GO:0006403	3445
GO:0006405	2191
GO:0006406	1554
GO:0006412	50189
GO:0006413	8182
GO:0006414	7827
GO:0006415	2140
GO:0006417	7705
GO:0006418	6353
GO:0006448	1407
GO:0006457	11007
GO:0006458	261
GO:0006461	22853
GO:0006464	237275
GO:0006486	6878
GO:0006487	2539
GO:0006508	112105
GO:0006511	21820
GO:0006521	364
GO:0006605	13210
GO:0006606	3378
GO:0006611	753
GO:0006612	2967
GO:0006613	678
GO:0006614	625
GO:0006637	1620
GO:0006725	351585
GO:0006732	15153
GO:0006733	7278
GO:0006734	406
GO:0006753	34924
GO:0006754	2025
GO:0006757	2650
GO:0006793	224995
GO:0006796	223191
GO:0006807	434782
GO:0006810	354055
GO:0006818	14459
GO:0006839	3780
GO:0006886	26677
GO:0006890	1415
GO:0006900	816
GO:0006901	410
GO:0006903	375
GO:0006913	8193
GO:0006915	39530
GO:0006928	37027
GO:0006950	124539
GO:0006952	30655
GO:0006955	28836
GO:0006974	30164
GO:0006977	136
GO:0006986	1769
GO:0006996	130817
GO:0006997	2033
GO:0006998	727
GO:0007017	21806
GO:0007049	49322
GO:0007059	9016
GO:0007067	7919
GO:0007093	2610
GO:0007154	322873
GO:0007165	280146
GO:0007166	64687
GO:0007264	14431
GO:0007339	337
GO:0007346	10516
GO:0007596	3189
GO:0007599	3287
GO:0007600	49656
GO:0007606	45710
GO:0007608	37769
GO:0007610	14445
GO:0007623	3288
GO:0008026	7990
GO:0008092	16669
GO:0008094	3970
GO:0008104	57448
GO:0008134	8247
GO:0008135	5971
GO:0008143	295
GO:0008150	3056630
GO:0008152	1438931
GO:0008180	813
GO:0008186	5179
GO:0008219	44691
GO:0008250	409
GO:0008379	135
GO:0008380	12082
GO:0008536	614
GO:0008540	1170
GO:0008565	3409
GO:0009056	94942
GO:0009057	50168
GO:0009058	327833
GO:0009059	233104
GO:0009116	13532
GO:0009117	33819
GO:0009119	12467
GO:0009123	10309
GO:0009124	4617
GO:0009126	9164
GO:0009127	3568
GO:0009141	9296
GO:0009142	3300
GO:0009144	7857
GO:0009145	2260
GO:0009150	18902
GO:0009152	12246
GO:0009156	4217
GO:0009161	9809
GO:0009163	5561
GO:0009165	18502
GO:0009167	9147
GO:0009168	3563
GO:0009199	8040
GO:0009201	2710
GO:0009205	7485
GO:0009206	2228
GO:0009259	20309
GO:0009260	13541
GO:0009266	5996
GO:0009295	1075
GO:0009408	3678
GO:0009605	59601
GO:0009611	9398
GO:0009628	28554
GO:0009719	37469
GO:0009889	182870
GO:0009890	31914
GO:0009891	41641
