Sample,UniprotID,MistScore,GeneSymbol,UniprotEntryName
HA,A1L0T0,0.95934,ILVBL,ILVBL_HUMAN
HA,A6NMQ7,0.99039,UBE2G2,UB2G2_HUMAN
HA,B1AHA8,0.98217,HMOX1,B1AHA8_HUMAN
HA,B3KR64,0.9908,SLC25A12,CMC1_HUMAN
HA,B4DLN1,0.99165,SLC25A10,B4DLN1_HUMAN
HA,B4DR63,0.97142,PSMC1,PRS4_HUMAN
HA,B4DZI8,0.99388,COPB2,COPB2_HUMAN
HA,B4E022,0.99403,,B4E022_HUMAN
HA,B4E2W0,0.95953,HADHB,ECHB_HUMAN
HA,B4E363,0.994,FARSA,SYFA_HUMAN
HA,B7Z254,0.94236,PDIA6,PDIA6_HUMAN
HA,B7Z5W8,0.96295,DLST,ODO2_HUMAN
HA,B7Z6A4,0.98627,SURF4,SURF4_HUMAN
HA,B7Z9L0,0.91588,,B7Z9L0_HUMAN
HA,C9JAW5,0.99273,HIGD1A,C9JAW5_HUMAN
HA,CON_00019359.3,0.96589,NA,NA
HA,CON_00220327.3,0.97048,NA,NA
HA,D6RB85,0.96674,CANX,D6RB85_HUMAN
HA,D6RFM5,0.9939,SDHA,D6RFM5_HUMAN
HA,E5RHG8,0.9532,TCEB1,E5RHG8_HUMAN
HA,E7EQY8,0.9269,NA,NA
HA,E7ETU9,0.95288,PLOD2,E7ETU9_HUMAN
HA,E9PIE4,0.94542,MTCH2,E9PIE4_HUMAN
HA,E9PJC4,0.97532,TM9SF1,E9PJC4_HUMAN
HA,E9PNQ1,0.99073,STT3A,STT3A_HUMAN
HA,F5H335,0.94534,EIF3A,EIF3A_HUMAN
HA,F5H5K9,0.99165,PNPLA6,PLPL6_HUMAN
HA,F5H667,0.99288,ASPH,ASPH_HUMAN
HA,F5H6I7,0.99203,ATL3,F5H6I7_HUMAN
HA,F8VPD4,0.95822,CAD,F8VPD4_HUMAN
HA,G8JLH9,0.99396,STAT3,G8JLH9_HUMAN
HA,H0Y6E7,0.9735,RBMX,H0Y6E7_HUMAN
HA,H3BN98,0.92435,,H3BN98_HUMAN
HA,H7BYF7,0.97857,KDELR2,H7BYF7_HUMAN
HA,H7BZJ3,0.94498,PDIA3,H7BZJ3_HUMAN
HA,O00148,0.9932,DDX39A,DX39A_HUMAN
HA,O00231,0.9612,PSMD11,PSD11_HUMAN
HA,O00232,0.98209,PSMD12,PSD12_HUMAN
HA,O00487,0.99005,PSMD14,PSDE_HUMAN
HA,O00743-2,0.99355,PPP6C,PPP6_HUMAN
HA,O00767,0.96396,SCD,ACOD_HUMAN
HA,O14967,0.97998,CLGN,CLGN_HUMAN
HA,O14975-2,0.97631,SLC27A2,S27A2_HUMAN
HA,O15269,0.98501,SPTLC1,SPTC1_HUMAN
HA,O15270,0.99402,SPTLC2,SPTC2_HUMAN
HA,O43570-2,0.9126,CA12,CAH12_HUMAN
HA,O43707,0.99402,ACTN4,ACTN4_HUMAN
HA,O43795-2,0.94635,MYO1B,MYO1B_HUMAN
HA,O43813,0.91306,LANCL1,LANC1_HUMAN
HA,O43852,0.93667,CALU,CALU_HUMAN
HA,O60218,0.95731,AKR1B10,AK1BA_HUMAN
HA,O60613,0.98149,SEP15,SEP15_HUMAN
HA,O60656,0.95287,UGT1A9,UD19_HUMAN
HA,O60762,0.9901,DPM1,DPM1_HUMAN
HA,O94826,0.96094,TOMM70A,TOM70_HUMAN
HA,O95573,0.9885,ACSL3,ACSL3_HUMAN
HA,P00403,0.98743,MT-CO2,COX2_HUMAN
HA,P01130-2,0.98863,LDLR,LDLR_HUMAN
HA,P02786,0.97248,TFRC,TFR1_HUMAN
HA,P04843,0.99349,RPN1,RPN1_HUMAN
HA,P05556-2,0.9889,ITGB1,ITB1_HUMAN
HA,P06703,0.99082,S100A6,S10A6_HUMAN
HA,P07355,0.9882,ANXA2,ANXA2_HUMAN
HA,P07858,0.91913,CTSB,CATB_HUMAN
HA,P08195-3,0.91084,SLC3A2,4F2_HUMAN
HA,P08574,0.98476,CYC1,CY1_HUMAN
HA,P08729,0.92674,KRT7,K2C7_HUMAN
HA,P09382,0.96567,LGALS1,LEG1_HUMAN
HA,P11166,0.99389,SLC2A1,GTR1_HUMAN
HA,P11177-2,0.99137,PDHB,ODPB_HUMAN
HA,P11413,0.98302,G6PD,G6PD_HUMAN
HA,P12235,0.984,SLC25A4,ADT1_HUMAN
HA,P12236,0.99151,SLC25A6,ADT3_HUMAN
HA,P12814-2,0.99098,ACTN1,ACTN1_HUMAN
HA,P14314-2,0.91024,PRKCSH,GLU2B_HUMAN
HA,P14625,0.97956,HSP90B1,ENPL_HUMAN
HA,P17858,0.93139,PFKL,PFKAL_HUMAN
HA,P18085,0.95538,ARF4,ARF4_HUMAN
HA,P19224,0.94257,UGT1A6,UD16_HUMAN
HA,P20618,0.98425,PSMB1,PSB1_HUMAN
HA,P20700,0.9871,LMNB1,LMNB1_HUMAN
HA,P21796,0.94364,VDAC1,VDAC1_HUMAN
HA,P21964-2,0.99054,COMT,COMT_HUMAN
HA,P25787,0.93796,PSMA2,PSA2_HUMAN
HA,P26641,0.97184,EEF1G,EF1G_HUMAN
HA,P27797,0.93603,CALR,CALR_HUMAN
HA,P27824,0.97681,CANX,CALX_HUMAN
HA,P28066,0.93931,PSMA5,PSA5_HUMAN
HA,P30837,0.98771,ALDH1B1,AL1B1_HUMAN
HA,P31327,0.91281,CPS1,CPSM_HUMAN
HA,P33993,0.98099,MCM7,MCM7_HUMAN
HA,P34932,0.9915,HSPA4,HSP74_HUMAN
HA,P35579,0.99071,MYH9,MYH9_HUMAN
HA,P36542,0.97167,ATP5C1,ATPG_HUMAN
