# This file contains a filtered version of the Human Interactome that includes
# only the yeast two-hybrd interactions ("Binary interactions").
# gene_ID_1	 gene_ID_2	data_source(s)
4790	79155	binary;literature;signaling
55890	7920	binary;literature;signaling
56893	6598	binary;literature;signaling
6498	7329	binary;literature;signaling
4607	84676	binary;literature
4678	8357	binary;literature
26191	5170	binary;literature
3911	84280	binary;literature;signaling
79959	8812	binary;literature;signaling
2533	8631	binary;literature;signaling
55763	7204	binary;literature
5159	9368	binary;literature;signaling
1933	1937	binary;literature
220134	26258	binary;literature
28966	6457	binary;literature;signaling
2810	9729	binary;literature;signaling
10254	26994	binary;literature;signaling
22800	5074	binary;literature;signaling
4086	4086	binary;literature
53904	81488	binary;literature;signaling
150094	7534	binary;literature
23392	5108	binary;literature
150684	170622	binary;literature
728239	9796	binary;literature
10140	9869	binary;literature;signaling
27229	5987	binary;literature
10900	8907	binary;literature;signaling
55308	57409	binary;literature;signaling
4093	56652	binary;literature;signaling
1107	56992	binary;literature;signaling
7138	84676	binary;literature
10542	7704	binary;literature;signaling
100131997	83755	binary;literature
55692	65990	binary;literature
10301	5682	binary;literature;signaling
4733	8576	binary;kinase
54941	7321	binary;literature
2130	5359	binary;literature;signaling
1725	60491	binary;literature
2885	9744	binary;literature
10534	10534	binary;literature
4627	54822	binary;literature;kinase
56647	9349	binary;literature
51631	54819	binary;literature
4093	55577	binary;literature;signaling
1936	284004	binary;literature;signaling
1956	5795	binary;literature;signaling
4690	5287	binary;literature
11092	22929	binary;literature
2065	2886	binary;literature;signaling
10474	8669	binary;literature;signaling
57473	9757	binary;literature;signaling
10425	5764	binary;literature;signaling
3028	351	binary;literature;signaling
23462	7805	binary;literature;signaling
1616	2113	binary;literature;signaling
22981	6924	binary;literature;signaling
6311	88	binary;literature;signaling
2151	2534	binary;literature
11186	6789	binary;literature;signaling
4331	7248	binary;literature
113878	113878	binary;literature
3798	7159	binary;literature;signaling
6307	6310	binary;literature
1956	55715	binary;literature
51371	51371	binary;literature
54978	9778	binary;literature
2632	5226	binary;literature
57562	7534	binary;literature;signaling
2810	572	binary;literature;signaling
3735	5048	binary;literature
27185	7204	binary;literature
1759	5303	binary;literature;signaling
4690	6261	binary;literature
10235	79607	binary;literature;signaling
10019	2065	binary;literature
22950	3611	binary;literature
56944	9638	binary;literature
331	7314	binary;literature;signaling
2066	56899	binary;literature
5087	5089	binary;literature;signaling
4103	7709	binary;literature
26191	7535	binary;literature
348487	7447	binary;literature;signaling
10598	3320	binary;literature;signaling
28986	29117	binary;literature
55603	9604	binary;literature;signaling
5047	7324	binary;literature;signaling
4134	4690	binary;literature
23543	473	binary;literature;signaling
1890	1890	binary;literature
64219	84164	binary;literature;signaling
1795	6714	binary;literature
468	57761	binary;literature;signaling
1951	4690	binary;literature
2534	9757	binary;literature
1937	3735	binary;literature;signaling
1822	8440	binary;literature;signaling
727800	9802	binary;literature
2151	4690	binary;literature
2274	3679	binary;literature;signaling
10846	10885	binary;literature
5553	84060	binary;literature;signaling
2885	445815	binary;literature
23265	79036	binary;literature;signaling
6303	8525	binary;literature;signaling
284403	5601	binary;literature;signaling
7337	9522	binary;literature;signaling
2316	9133	binary;literature
7328	9781	binary;literature
10971	5218	binary;literature;signaling
2130	25941	binary;literature
59349	6310	binary;literature;signaling
56852	7251	binary;literature
2134	2885	binary;literature
151648	5525	binary;literature
2274	7988	binary;literature
11269	23039	binary;literature
6601	7251	binary;literature
4688	5879	binary;literature;signaling
54622	6133	binary;literature
839	839	binary;literature
23394	5335	binary;literature
3797	988	binary;literature
4188	51298	binary;literature;signaling
5528	8500	binary;literature;signaling
373156	55081	binary;literature
403	5147	binary;literature;signaling
11338	6310	binary;literature;signaling
80318	9513	binary;literature;signaling
10636	7186	binary;literature;signaling
333	6303	binary;literature;signaling
10193	3093	binary;literature
2534	9784	binary;literature
5873	7704	binary;literature;signaling
25843	55183	binary;literature
1400	55755	binary;literature;signaling
5764	8614	binary;literature;signaling
2534	56955	binary;literature
11165	6176	binary;literature;signaling
5511	9869	binary;literature;signaling
51003	84878	binary;literature;signaling
10127	30008	binary;literature;signaling
1956	2242	binary;literature
10241	10241	binary;literature
11165	64284	binary;literature;signaling
5217	7013	binary;literature;signaling
2534	81875	binary;literature
2321	5228	binary;literature
51421	79571	binary;literature;signaling
28996	861	binary;literature;kinase
196403	3093	binary;literature
51562	9513	binary;literature;signaling
4690	6655	binary;literature
29117	57562	binary;literature;signaling
10293	2885	binary;literature
84970	93487	binary;literature
4356	90933	binary;literature;signaling
25	8529	binary;literature
22827	7431	binary;literature;signaling
635	635	binary;literature
9051	914	binary;literature;signaling
7568	9001	binary;literature;signaling
3189	6191	binary;literature
2534	8482	binary;literature
4801	4802	binary;literature;signaling
4175	4300	binary;literature;signaling
10629	51616	binary;complexes
1385	9400	binary;literature;signaling
112950	5195	binary;literature;signaling
11067	373	binary;literature
153	9863	binary;literature;signaling
1759	92609	binary;literature;signaling
29883	7832	binary;literature;signaling
55183	56144	binary;literature
5058	984	binary;literature;signaling
54820	983	binary;literature;signaling
55145	79169	binary;literature;signaling
25	4036	binary;literature
2969	695	binary;literature;signaling;kinase
648	7329	binary;literature
1937	57761	binary;literature;signaling
55660	8554	binary;literature;signaling
80228	9094	binary;literature;signaling
25	5775	binary;literature
445815	5335	binary;literature
5886	84993	binary;literature
5049	7203	binary;literature;signaling
29911	55388	binary;literature;signaling
2064	640	binary;literature
6457	7013	binary;literature;signaling
2064	5787	binary;literature
55611	7323	binary;literature
2885	3400	binary;literature
26036	9513	binary;literature
10656	10656	binary;literature
10951	55791	binary;literature;signaling
1915	8312	binary;literature;signaling
4087	7311	binary;literature;signaling
5359	92070	binary;literature
226	226	binary;literature
3643	5796	binary;literature
2534	29886	binary;literature
51631	65990	binary;literature;signaling
5050	91782	binary;literature
