	HA [Flu]	M2 [Flu]	NA [Flu]	NEP [Flu]	NS1 [Flu]	PA [Flu]	PB1 [Flu]	PB2 [Flu]
CA [HEK]	-0.163740798835	-0.131887619573	-0.100886846043	-0.153531341217	-0.0719948896576	-0.152147641832	-0.167251461989	-0.177283428671
GAG [HEK]	-0.160235214137	-0.0241007900463	-0.0462166534946	0.00731892541844	0.0540674133383	0.0202478351472	0.0356080151176	0.00985864190335
GP120 [HEK]	0.125956208443	0.0550053544655	0.127209630034	-0.0738603352957	-0.021229944502	-0.0754958062071	-0.00552613992699	-0.0445396622608
GP160 [HEK]	0.177246510636	0.08707449046	0.20105780281	-0.0570782012089	0.0209185423735	-0.0549772498825	0.0344913520604	0.0120889617582
GP41 [HEK]	0.0993234609761	0.0407772208906	0.122259831915	-0.0958868128643	-0.0448687566722	-0.0817183806997	-0.0855805138894	-0.0936094430001
IN [HEK]	0.105233037087	0.161250019333	0.231045249614	-0.0964495900666	0.0113940142598	-0.0946044820965	-0.065261836713	-0.0452602210693
MA [HEK]	-0.0531222755266	-0.017352405911	-0.00974236179596	0.0114271585827	0.0753744238976	0.00874639881532	0.02868013407	0.0269540587057
NC [HEK]	-0.170106089459	-0.0492236024845	-0.0171002695065	0.043223229886	0.0702649629384	0.0433518371663	0.0601045296167	0.0400050927
NEF [HEK]	0.119104154024	0.160103562453	0.257182686998	-0.137786359656	0.0325706895166	-0.128981089203	-0.0940630166294	-0.0666705161977
P6 [HEK]	-0.191480587307	-0.183402420158	-0.184374583601	-0.0599710736311	-0.0223225361876	-0.0948282462515	-0.0499873740272	-0.111447921725
POL [HEK]	0.065208480072	0.139778225807	0.194508592943	-0.025169094693	0.0763605964526	0.0031886804353	0.0481001106651	0.0274379329755
PR [HEK]	-0.00614996164187	0.086822484064	0.0670426214503	-0.0240853557042	0.0558800907199	-0.0105791501246	0.0218338100094	-0.0132378765107
Pol [HEK]	0.101888950202	0.13521396955	0.113667933957	-0.0330198134299	0.0769435161407	-0.00581332461878	0.0304072495262	0.0371585568369
REV [HEK]	-0.173187394713	-0.0510021012659	-0.0164875413861	-0.0170098022967	0.0256155542734	-0.0205409967751	0.0231130099579	-0.00755281484937
RT [HEK]	0.00560154033972	0.0487797814928	0.0853944568092	0.0282327208076	0.12045715173	0.0203785145149	0.0401826520524	0.0364868974146
TAT [HEK]	-0.144018920577	-0.0105333024955	0.0193487213316	-0.0420560858741	0.0267944391242	-0.051081397127	-0.00751624209081	-0.0181792227408
VIF [HEK]	0.103594511284	0.169946097924	0.208017237635	-0.0406222388204	0.080759523761	-0.0341388095395	0.027297974443	0.0383778464424
VPR [HEK]	0.0394153262894	0.121665089877	0.0871853452937	-0.0316226430368	-0.0208417095918	-0.0261053002393	0.0017856423227	-0.0377542390984
VPU [HEK]	0.0647863608644	0.107536429873	0.195217108657	-0.0342468082346	0.0192231852388	-0.0253422744545	-0.00163507549139	-0.0384567486225
p6 [HEK]	-0.176533380797	-0.17281204869	-0.1382691858	-0.100644226354	-0.0171073536015	-0.104386226252	-0.0935402514965	-0.145347419801
