	CA [HEK]	GAG [HEK]	GP120 [HEK]	GP160 [HEK]	GP41 [HEK]	HA [Flu]	IN [HEK]	M2 [Flu]	MA [HEK]	NA [Flu]	NC [HEK]	NEF [HEK]	NEP [Flu]	NS1 [Flu]	P6 [HEK]	PA [Flu]	PB1 [Flu]	PB2 [Flu]	POL [HEK]	PR [HEK]	Pol [HEK]	REV [HEK]	RT [HEK]	TAT [HEK]	VIF [HEK]	VPR [HEK]	VPU [HEK]	p6 [HEK]
CA [HEK]	1.0	0.0336738085166	0.212458716885	0.153962689323	0.155621337065	-0.163740798835	-0.0231256486374	-0.131887619573	0.321543456529	-0.100886846043	-0.0455292309323	-0.0250011644155	-0.153531341217	-0.0719948896576	0.368328525969	-0.152147641832	-0.167251461989	-0.177283428671	0.0422871946967	0.074212951734	0.195330164518	-0.0843588261499	0.155116460751	-0.100853482841	0.0383718659981	0.119249180649	0.0603570613595	0.484622535234
GAG [HEK]	0.0336738085166	1.0	0.21756574502	0.271209721975	0.231630254719	-0.160235214137	0.299939000572	-0.0241007900463	0.404180527067	-0.0462166534946	0.693432532162	0.255643397265	0.00731892541844	0.0540674133383	0.138475903585	0.0202478351472	0.0356080151176	0.00985864190335	0.330732460891	0.367540839992	0.332658324963	0.65349017986	0.414898939144	0.608962923712	0.453560846856	0.316426017891	0.354879917179	0.0662102583959
GP120 [HEK]	0.212458716885	0.21756574502	1.0	0.643648820153	0.580701777619	0.125956208443	0.364008902854	0.0550053544655	0.370089705615	0.127209630034	0.0837728551333	0.301703523529	-0.0738603352957	-0.021229944502	0.247270813086	-0.0754958062071	-0.00552613992699	-0.0445396622608	0.404472009971	0.38589090268	0.505352289344	0.131790833926	0.414867950772	0.114285630064	0.429810961514	0.50210224558	0.43152173913	0.180305383022
GP160 [HEK]	0.153962689323	0.271209721975	0.643648820153	1.0	0.590316287362	0.177246510636	0.439079217049	0.08707449046	0.380198711904	0.20105780281	0.154295931037	0.375833454203	-0.0570782012089	0.0209185423735	0.258925637717	-0.0549772498825	0.0344913520604	0.0120889617582	0.473248512619	0.386427317919	0.502462128683	0.17393663828	0.422071782306	0.183554082517	0.477603250047	0.504383905068	0.459483987349	0.153675366225
GP41 [HEK]	0.155621337065	0.231630254719	0.580701777619	0.590316287362	1.0	0.0993234609761	0.403659421442	0.0407772208906	0.39238746459	0.122259831915	0.113346853932	0.343091799197	-0.0958868128643	-0.0448687566722	0.214736903854	-0.0817183806997	-0.0855805138894	-0.0936094430001	0.359536871961	0.372047110171	0.474732638313	0.136336497994	0.43086103603	0.129953770276	0.421040093002	0.490622456118	0.44031647818	0.162849956937
HA [Flu]	-0.163740798835	-0.160235214137	0.125956208443	0.177246510636	0.0993234609761	1.0	0.105233037087	0.311961863562	-0.0531222755266	0.434834536792	-0.170106089459	0.119104154024	0.00453390986755	0.245958824202	-0.191480587307	-0.0260144970241	0.0604808649881	0.0739758629574	0.065208480072	-0.00614996164187	0.101888950202	-0.173187394713	0.00560154033972	-0.144018920577	0.103594511284	0.0394153262894	0.0647863608644	-0.176533380797
IN [HEK]	-0.0231256486374	0.299939000572	0.364008902854	0.439079217049	0.403659421442	0.105233037087	1.0	0.161250019333	0.287628174498	0.231045249614	0.16793695076	0.629438199526	-0.0964495900666	0.0113940142598	0.0293446188968	-0.0946044820965	-0.065261836713	-0.0452602210693	0.537806829641	0.450179047182	0.515906569849	0.27000371763	0.408447070124	0.327188565224	0.647162357781	0.485961573289	0.551861844622	0.0102174382578
M2 [Flu]	-0.131887619573	-0.0241007900463	0.0550053544655	0.08707449046	0.0407772208906	0.311961863562	0.161250019333	1.0	-0.017352405911	0.353053929663	-0.0492236024845	0.160103562453	0.0199367850692	0.221239850543	-0.183402420158	0.0112245117846	0.0907207207211	0.149353261988	0.139778225807	0.086822484064	0.13521396955	-0.0510021012659	0.0487797814928	-0.0105333024955	0.169946097924	0.121665089877	0.107536429873	-0.17281204869
MA [HEK]	0.321543456529	0.404180527067	0.370089705615	0.380198711904	0.39238746459	-0.0531222755266	0.287628174498	-0.017352405911	1.0	-0.00974236179596	0.343913662277	0.251040152908	0.0114271585827	0.0753744238976	0.436157915243	0.00874639881532	0.02868013407	0.0269540587057	0.402018264775	0.419698009608	0.486665793448	0.306014585043	0.551907525311	0.268309426943	0.420293614864	0.397804747375	0.419909659255	0.355824456975
NA [Flu]	-0.100886846043	-0.0462166534946	0.127209630034	0.20105780281	0.122259831915	0.434834536792	0.231045249614	0.353053929663	-0.00974236179596	1.0	-0.0171002695065	0.257182686998	-0.0134317708086	0.213207586998	-0.184374583601	-0.0314940892084	0.0114321133606	0.0808249851621	0.194508592943	0.0670426214503	0.113667933957	-0.0164875413861	0.0853944568092	0.0193487213316	0.208017237635	0.0871853452937	0.195217108657	-0.1382691858
NC [HEK]	-0.0455292309323	0.693432532162	0.0837728551333	0.154295931037	0.113346853932	-0.170106089459	0.16793695076	-0.0492236024845	0.343913662277	-0.0171002695065	1.0	0.171680591115	0.043223229886	0.0702649629384	0.09595959596	0.0433518371663	0.0601045296167	0.0400050927	0.267900485437	0.282545170309	0.225050412846	0.703918807929	0.372574463794	0.670778206065	0.341924219374	0.210834052965	0.251943779904	0.0283956946426
NEF [HEK]	-0.0250011644155	0.255643397265	0.301703523529	0.375833454203	0.343091799197	0.119104154024	0.629438199526	0.160103562453	0.251040152908	0.257182686998	0.171680591115	1.0	-0.137786359656	0.0325706895166	0.0320825527841	-0.128981089203	-0.0940630166294	-0.0666705161977	0.504929221319	0.439084188564	0.415442131716	0.265328635313	0.401111583593	0.330292331708	0.583643555405	0.439288348083	0.491004762895	-0.00010267789134
NEP [Flu]	-0.153531341217	0.00731892541844	-0.0738603352957	-0.0570782012089	-0.0958868128643	0.00453390986755	-0.0964495900666	0.0199367850692	0.0114271585827	-0.0134317708086	0.043223229886	-0.137786359656	1.0	0.363912608375	-0.0599710736311	0.580971918417	0.55645946322	0.45285688337	-0.025169094693	-0.0240853557042	-0.0330198134299	-0.0170098022967	0.0282327208076	-0.0420560858741	-0.0406222388204	-0.0316226430368	-0.0342468082346	-0.100644226354
