Rank	Flu Protein	Jurkat Protein	s_AB
1	NA	GP160	-0.243319614049
2	NA	VPU	-0.186320578116
3	M2	VPR	-0.182622637839
4	HA	GP160	-0.175267909283
5	M2	GP160	-0.174513720743
6	M2	POL	-0.1709242367
7	M2	VPU	-0.149023347893
8	M2	VIF	-0.14742692075
9	M2	PR	-0.144748770639
10	M2	NEF	-0.136903725206
11	NA	POL	-0.133260381909
12	NA	VPR	-0.132257671895
13	NA	GP41	-0.118076145961
14	HA	POL	-0.0962342336663
15	NA	GP120	-0.0942545859894
16	NS1	TAT	-0.0912997058997
17	HA	VPU	-0.0899475081861
18	NS1	REV	-0.0792258862168
19	M2	GP120	-0.0784141366428
20	M2	GAG	-0.0772814475069
21	NA	PR	-0.0742779571115
22	NS1	VPR	-0.0739995986358
23	HA	GP41	-0.0713885787785
24	NS1	GAG	-0.0646554128137
25	M2	P6	-0.0643331177754
26	NS1	POL	-0.0620494963568
27	HA	VPR	-0.0617652183935
28	M2	GP41	-0.0597587318178
29	M2	IN	-0.0589947632058
30	NS1	NEF	-0.058152290271
31	M2	CA	-0.0552892258044
32	NS1	VIF	-0.0541331114517
33	M2	RT	-0.0536779666983
34	PA	REV	-0.0513913317881
35	NA	NEF	-0.0507262357437
36	NS1	IN	-0.0507036233226
37	HA	NEF	-0.04765669824
38	PB1	TAT	-0.0463688485428
39	NS1	GP120	-0.0391075040794
40	PA	TAT	-0.0385730668327
41	HA	GP120	-0.038239736007
42	HA	VIF	-0.0378337287718
43	NEP	TAT	-0.0365906411785
44	NA	VIF	-0.0359571382546
45	NS1	P6	-0.0340986984172
46	NS1	NC	-0.0328327409802
47	M2	REV	-0.0289433378673
48	PB1	POL	-0.024555409517
49	NS1	GP160	-0.0227237067992
50	PA	IN	-0.0208134827658
51	NS1	CA	-0.0198565914171
52	HA	PR	-0.0198024451663
53	NEP	IN	-0.018880404726
54	M2	MA	-0.0169910916102
55	NS1	NCC	-0.0169516099962
56	NEP	REV	-0.0141329258976
57	NA	RT	-0.0135401917546
58	NEP	NC	-0.012625487247
59	PB1	REV	-0.0103829051793
60	M2	NC	-0.0101897394984
61	PA	NC	-0.00934436625239
62	PB1	IN	-0.00867348621951
63	PB2	POL	-0.00835291409525
64	HA	RT	-0.0064854923877
65	PA	NCC	-0.00375616979808
66	NA	GAG	-0.00187377631902
67	PB1	VIF	-0.00169733603271
68	NEP	P6	0.000253624338701
69	M2	TAT	0.00072011613241
70	NS1	PR	0.000987617144014
71	PB1	NCC	0.00179459843639
72	PB2	VIF	0.00353931102478
73	NS1	MA	0.00472722776465
74	PA	POL	0.00497493755376
75	PA	VIF	0.00626211593645
76	HA	GAG	0.00931433702773
77	PA	P6	0.0102171924099
78	PB1	P6	0.0128004707087
79	PB2	REV	0.0149457130046
80	PB1	GP120	0.0150369626535
81	NS1	VPU	0.0177533454903
82	NA	MA	0.0181479196326
83	NEP	NCC	0.0195466377407
84	HA	P6	0.0199437566693
85	PB2	IN	0.0213751422749
86	HA	IN	0.022396800051
87	NA	P6	0.0226339460695
88	PB2	TAT	0.0230169834033
89	NEP	GAG	0.0231636748739
90	M2	NCC	0.0233299022131
91	PB1	NC	0.0241299779388
92	PB1	VPR	0.024393844337
93	NA	CA	0.0260237039908
94	NA	REV	0.0269844079996
95	HA	MA	0.0289907046361
96	NA	IN	0.0292926040053
97	PB1	NEF	0.0303077228317
98	PA	GAG	0.0306355008154
99	NEP	GP120	0.0324185990987
100	PB2	NCC	0.0367552861804
101	NEP	POL	0.0371499947822
102	NS1	RT	0.039431922187
103	NA	TAT	0.0404166809455
104	HA	CA	0.0409134403483
105	NEP	NEF	0.0418715158063
106	PB2	VPR	0.0434059926796
107	PB2	GP120	0.0435536948281
108	PB2	P6	0.0458761693403
109	PB2	NEF	0.0462803857922
110	PB2	NC	0.0466843571485
111	PA	GP120	0.0470028389781
112	PA	NEF	0.0473189641365
113	NEP	VIF	0.0484963342774
114	NA	NCC	0.0496610650959
115	PA	RT	0.0517917235471
116	PB1	GAG	0.052259409902
117	NA	NC	0.0546279503624
118	PB1	PR	0.0577066015928
119	NEP	CA	0.0584450168099
120	PA	PR	0.0620701943597
121	NS1	GP41	0.0651606174534
122	PA	CA	0.0663887457189
123	PB1	GP160	0.0689494827207
124	HA	NC	0.0707653220684
125	NEP	RT	0.0718954248366
126	PB1	CA	0.0741657936384
127	NEP	MA	0.0743009663743
128	HA	TAT	0.0754774147132
129	PB1	RT	0.0778711484594
130	PB2	GAG	0.0791642852417
131	PB2	GP160	0.0800678148707
132	PB2	PR	0.0822678611467
133	HA	REV	0.0857518363925
134	PB1	MA	0.0870440153504
135	NEP	PR	0.0877175275359
136	PA	VPR	0.0880612562434
137	PA	MA	0.0919610074144
138	PB2	CA	0.0928231444824
139	NEP	VPR	0.095068090044
140	PB1	VPU	0.0982098038359
141	PB2	VPU	0.111844722455
142	PB2	MA	0.11538886749
143	PB2	RT	0.116193762258
144	PA	VPU	0.120755639166
145	NEP	VPU	0.127928461835
146	HA	NCC	0.144919439436
147	PB1	GP41	0.148165756719
148	PB2	GP41	0.150946341588
149	NEP	GP41	0.15277273985
150	NEP	GP160	0.153851381396
151	PA	GP41	0.157552436523
152	PA	GP160	0.16726902776
