	HA [Flu]	M2 [Flu]	NA [Flu]	NEP [Flu]	NS1 [Flu]	PA [Flu]	PB1 [Flu]	PB2 [Flu]
CA [Jurkat]	0.0409134403483	-0.0552892258044	0.0260237039908	0.0584450168099	-0.0198565914171	0.0663887457189	0.0741657936384	0.0928231444824
GAG [Jurkat]	0.00931433702773	-0.0772814475069	-0.00187377631902	0.0231636748739	-0.0646554128137	0.0306355008154	0.052259409902	0.0791642852417
GP120 [Jurkat]	-0.038239736007	-0.0784141366428	-0.0942545859894	0.0324185990987	-0.0391075040794	0.0470028389781	0.0150369626535	0.0435536948281
GP160 [Jurkat]	-0.175267909283	-0.174513720743	-0.243319614049	0.153851381396	-0.0227237067992	0.16726902776	0.0689494827207	0.0800678148707
GP41 [Jurkat]	-0.0713885787785	-0.0597587318178	-0.118076145961	0.15277273985	0.0651606174534	0.157552436523	0.148165756719	0.150946341588
IN [Jurkat]	0.022396800051	-0.0589947632058	0.0292926040053	-0.018880404726	-0.0507036233226	-0.0208134827658	-0.00867348621951	0.0213751422749
MA [Jurkat]	0.0289907046361	-0.0169910916102	0.0181479196326	0.0743009663743	0.00472722776465	0.0919610074144	0.0870440153504	0.11538886749
NC [Jurkat]	0.0707653220684	-0.0101897394984	0.0546279503624	-0.012625487247	-0.0328327409802	-0.00934436625239	0.0241299779388	0.0466843571485
NCC [Jurkat]	0.144919439436	0.0233299022131	0.0496610650959	0.0195466377407	-0.0169516099962	-0.00375616979808	0.00179459843639	0.0367552861804
NEF [Jurkat]	-0.04765669824	-0.136903725206	-0.0507262357437	0.0418715158063	-0.058152290271	0.0473189641365	0.0303077228317	0.0462803857922
P6 [Jurkat]	0.0199437566693	-0.0643331177754	0.0226339460695	0.000253624338701	-0.0340986984172	0.0102171924099	0.0128004707087	0.0458761693403
POL [Jurkat]	-0.0962342336663	-0.1709242367	-0.133260381909	0.0371499947822	-0.0620494963568	0.00497493755376	-0.024555409517	-0.00835291409525
PR [Jurkat]	-0.0198024451663	-0.144748770639	-0.0742779571115	0.0877175275359	0.000987617144014	0.0620701943597	0.0577066015928	0.0822678611467
REV [Jurkat]	0.0857518363925	-0.0289433378673	0.0269844079996	-0.0141329258976	-0.0792258862168	-0.0513913317881	-0.0103829051793	0.0149457130046
RT [Jurkat]	-0.0064854923877	-0.0536779666983	-0.0135401917546	0.0718954248366	0.039431922187	0.0517917235471	0.0778711484594	0.116193762258
TAT [Jurkat]	0.0754774147132	0.00072011613241	0.0404166809455	-0.0365906411785	-0.0912997058997	-0.0385730668327	-0.0463688485428	0.0230169834033
VIF [Jurkat]	-0.0378337287718	-0.14742692075	-0.0359571382546	0.0484963342774	-0.0541331114517	0.00626211593645	-0.00169733603271	0.00353931102478
VPR [Jurkat]	-0.0617652183935	-0.182622637839	-0.132257671895	0.095068090044	-0.0739995986358	0.0880612562434	0.024393844337	0.0434059926796
VPU [Jurkat]	-0.0899475081861	-0.149023347893	-0.186320578116	0.127928461835	0.0177533454903	0.120755639166	0.0982098038359	0.111844722455
