	CA [Jurkat]	GAG [Jurkat]	GP120 [Jurkat]	GP160 [Jurkat]	GP41 [Jurkat]	HA [Flu]	IN [Jurkat]	M2 [Flu]	MA [Jurkat]	NA [Flu]	NC [Jurkat]	NCC [Jurkat]	NEF [Jurkat]	NEP [Flu]	NS1 [Flu]	P6 [Jurkat]	PA [Flu]	PB1 [Flu]	PB2 [Flu]	POL [Jurkat]	PR [Jurkat]	REV [Jurkat]	RT [Jurkat]	TAT [Jurkat]	VIF [Jurkat]	VPR [Jurkat]	VPU [Jurkat]
CA [Jurkat]	-1.17771883289	-0.745125536748	-0.601213395772	-0.49643388092	-0.57751137522	0.0409134403483	-0.691932202578	-0.0552892258044	-0.798213465183	0.0260237039908	-0.636930220194	-0.624262967411	-0.735009276291	0.0584450168099	-0.0198565914171	-0.855941363807	0.0663887457189	0.0741657936384	0.0928231444824	-0.458609156045	-0.458714644328	-0.644519605712	-0.69261536024	-0.628501229506	-0.718442650042	-0.615492250061	-0.589859462764
GAG [Jurkat]	-0.745125536748	-1.14363143631	-0.619345042053	-0.469089192028	-0.458415392397	0.00931433702773	-0.712821235661	-0.0772814475069	-0.706781008621	-0.00187377631902	-0.723497951698	-0.613806720085	-0.729837560219	0.0231636748739	-0.0646554128137	-0.788237647642	0.0306355008154	0.052259409902	0.0791642852417	-0.45006356919	-0.455385231754	-0.764276906719	-0.720981169462	-0.746854594212	-0.744669845548	-0.630417389969	-0.491562091121
GP120 [Jurkat]	-0.601213395772	-0.619345042053	-1.17808219178	-0.653957747036	-0.535408815742	-0.038239736007	-0.573789144559	-0.0784141366428	-0.552853634066	-0.0942545859894	-0.560423827673	-0.49213336933	-0.643937563079	0.0324185990987	-0.0391075040794	-0.656884896304	0.0470028389781	0.0150369626535	0.0435536948281	-0.496396478345	-0.458166360764	-0.562461184929	-0.576758446982	-0.585077382259	-0.681771193036	-0.630306699706	-0.507059334219
GP160 [Jurkat]	-0.49643388092	-0.469089192028	-0.653957747036	-1.23093220339	-0.698134304065	-0.175267909283	-0.484892271286	-0.174513720743	-0.488190632942	-0.243319614049	-0.423653559668	-0.39352469054	-0.609583007187	0.153851381396	-0.0227237067992	-0.511051782637	0.16726902776	0.0689494827207	0.0800678148707	-0.520008323699	-0.442907128394	-0.439137736693	-0.514524642079	-0.421773500353	-0.567478511456	-0.649641552672	-0.549406225288
GP41 [Jurkat]	-0.57751137522	-0.458415392397	-0.535408815742	-0.698134304065	-1.24494382022	-0.0713885787785	-0.422222270124	-0.0597587318178	-0.576718837282	-0.118076145961	-0.404198899174	-0.432206133731	-0.544774708818	0.15277273985	0.0651606174534	-0.512765293383	0.157552436523	0.148165756719	0.150946341588	-0.442345356683	-0.408591196674	-0.393679460732	-0.528320034898	-0.38929149436	-0.459367242885	-0.514295339974	-0.623613377691
HA [Flu]	0.0409134403483	0.00931433702773	-0.038239736007	-0.175267909283	-0.0713885787785	-1.42253521127	0.022396800051	-0.430507371716	0.0289907046361	-0.618567439663	0.0707653220684	0.144919439436	-0.04765669824	-0.00586741276977	-0.339836238019	0.0199437566693	0.0335238363711	-0.0777611121273	-0.091538477904	-0.0962342336663	-0.0198024451663	0.0857518363925	-0.0064854923877	0.0754774147132	-0.0378337287718	-0.0617652183935	-0.0899475081861
IN [Jurkat]	-0.691932202578	-0.712821235661	-0.573789144559	-0.484892271286	-0.422222270124	0.022396800051	-1.22569444444	-0.0589947632058	-0.647416904206	0.0292926040053	-0.722712986234	-0.533040955542	-0.674883474077	-0.018880404726	-0.0507036233226	-0.730310059824	-0.0208134827658	-0.00867348621951	0.0213751422749	-0.492299437585	-0.508735733009	-0.676860825466	-0.710612840097	-0.682977555182	-0.64368080133	-0.557033403746	-0.482971753944
M2 [Flu]	-0.0552892258044	-0.0772814475069	-0.0784141366428	-0.174513720743	-0.0597587318178	-0.430507371716	-0.0589947632058	-1.38	-0.0169910916102	-0.487214422935	-0.0101897394984	0.0233299022131	-0.136903725206	-0.0258005453837	-0.30531099375	-0.0643331177754	-0.0144645770419	-0.116640926641	-0.184811230661	-0.1709242367	-0.144748770639	-0.0289433378673	-0.0536779666983	0.00072011613241	-0.14742692075	-0.182622637839	-0.149023347893
MA [Jurkat]	-0.798213465183	-0.706781008621	-0.552853634066	-0.488190632942	-0.576718837282	0.0289907046361	-0.647416904206	-0.0169910916102	-1.19710144928	0.0181479196326	-0.682013319777	-0.635220822425	-0.667532739997	0.0743009663743	0.00472722776465	-0.841504210028	0.0919610074144	0.0870440153504	0.11538886749	-0.475904765125	-0.497241607116	-0.686996129352	-0.709242864742	-0.667034339973	-0.662062152213	-0.586097895969	-0.627233720888
NA [Flu]	0.0260237039908	-0.00187377631902	-0.0942545859894	-0.243319614049	-0.118076145961	-0.618567439663	0.0292926040053	-0.487214422935	0.0181479196326	-1.5198019802	0.0546279503624	0.0496610650959	-0.0507262357437	0.0173822916347	-0.294584528599	0.0226339460695	0.0405851665055	-0.0146984314636	-0.100013650704	-0.133260381909	-0.0742779571115	0.0269844079996	-0.0135401917546	0.0404166809455	-0.0359571382546	-0.132257671895	-0.186320578116
