	HA [Flu]	M2 [Flu]	NA [Flu]	NEP [Flu]	NS1 [Flu]	PA [Flu]	PB1 [Flu]	PB2 [Flu]
CA [Jurkat]	-0.0347395653408	0.0469460318205	-0.0220967036138	-0.0496256111202	0.0168602138835	-0.0563706241803	-0.0629741085624	-0.0788160483556
GAG [Jurkat]	-0.00814452692712	0.0675754837207	0.00163844422209	-0.0202544929585	0.0565351832425	-0.0267879142202	-0.0456960242984	-0.0692218513135
GP120 [Jurkat]	0.0324593107967	0.0665608369178	0.0800067997352	-0.0275181131885	0.0331959046256	-0.0398977586675	-0.0127639334152	-0.0369699967727
GP160 [Jurkat]	0.142386322171	0.141773625113	0.197671011758	-0.124987697107	0.0184605673136	-0.135888091399	-0.0560140375975	-0.0650464864354
GP41 [Jurkat]	0.0573428114739	0.048001147399	0.0948445576766	-0.122714565403	-0.0523402071604	-0.126553852442	-0.119014010361	-0.121985706284
IN [Jurkat]	-0.0182727433845	0.0481317048253	-0.0238987817381	0.0154038429493	0.0413672620877	0.016980971775	0.00707638535759	-0.0174392095615
MA [Jurkat]	-0.0242174167056	0.0141935268898	-0.0151598844388	-0.062067393218	-0.00394889486392	-0.076819727743	-0.0727123130648	-0.0963902161838
NC [Jurkat]	-0.0585485075095	0.00843059880326	-0.0451970664237	0.0104458428689	0.027164547912	0.00773116947268	-0.0199642162751	-0.0386248427223
NCC [Jurkat]	-0.121370030527	-0.0195387931034	-0.0415911420177	-0.0163703091078	0.0141969733718	0.00314579220588	-0.00150297619047	-0.030782552176
NEF [Jurkat]	0.0400921429639	0.115172975174	0.0426744522924	-0.0352252434562	0.0489217680059	-0.0398080174483	-0.0254969731759	-0.0389342928094
P6 [Jurkat]	-0.016397176384	0.0528928173858	-0.0186089718262	-0.000208522550988	0.0280349575902	-0.00840027828621	-0.0105241745319	-0.0377180514669
POL [Jurkat]	0.084122373594	0.149412032997	0.116488480296	-0.0324743661483	0.054240063177	-0.00434880124837	0.0214649117517	0.00730163200089
PR [Jurkat]	0.0165612377737	0.121056707284	0.0621203542661	-0.0733601743744	-0.000825966804302	-0.0519107230858	-0.0482613506596	-0.0688024937395
REV [Jurkat]	-0.0714280329861	0.0241087045932	-0.0224769901823	0.011772192173	0.0659921635747	0.0428070336052	0.00864856689767	-0.0124492130595
RT [Jurkat]	0.00533484051246	0.0441544564776	0.0111378996691	-0.0591397849462	-0.0324359359925	-0.0426028693694	-0.0640552995392	-0.0955787399219
TAT [Jurkat]	-0.06345620767	-0.000605424006882	-0.0339795594372	0.0307628889281	0.076758499477	0.0324295757705	0.038983731673	-0.0193510930962
VIF [Jurkat]	0.0338709073788	0.131984970553	0.0321908767379	-0.043416678711	0.0484630424658	-0.00560620260716	0.00151955182376	-0.00316859267635
VPR [Jurkat]	0.0521468179719	0.15418369271	0.111661820699	-0.0802635935791	0.0624759970162	-0.0743479003093	-0.0205951082723	-0.036646586186
VPU [Jurkat]	0.0760649345756	0.126022959794	0.157563704324	-0.108183876086	-0.0150132793053	-0.102118112864	-0.0830520206074	-0.0945825144879
