	CA [Jurkat]	GAG [Jurkat]	GP120 [Jurkat]	GP160 [Jurkat]	GP41 [Jurkat]	HA [Flu]	IN [Jurkat]	M2 [Flu]	MA [Jurkat]	NA [Flu]	NC [Jurkat]	NCC [Jurkat]	NEF [Jurkat]	NEP [Flu]	NS1 [Flu]	P6 [Jurkat]	PA [Flu]	PB1 [Flu]	PB2 [Flu]	POL [Jurkat]	PR [Jurkat]	REV [Jurkat]	RT [Jurkat]	TAT [Jurkat]	VIF [Jurkat]	VPR [Jurkat]	VPU [Jurkat]
CA [Jurkat]	1.0	0.651543419576	0.510489752717	0.421521561052	0.490364388419	-0.0347395653408	0.587519009847	0.0469460318205	0.677762334176	-0.0220967036138	0.540816876156	0.53006112323	0.624095714329	-0.0496256111202	0.0168602138835	0.726779040891	-0.0563706241803	-0.0629741085624	-0.0788160483556	0.400889468214	0.389494191243	0.547261016562	0.588099078403	0.533659827757	0.643190751918	0.52261391503	0.500849138429
GAG [Jurkat]	0.651543419576	1.0	0.541560001229	0.410175146585	0.400841895249	-0.00814452692712	0.623296293744	0.0675754837207	0.618014673417	0.00163844422209	0.632632095208	0.536717250503	0.638175496971	-0.0202544929585	0.0565351832425	0.689240976258	-0.0267879142202	-0.0456960242984	-0.0692218513135	0.393538997706	0.398192299805	0.668289522702	0.630431401736	0.653055320534	0.666670830108	0.551241746207	0.429825619963
GP120 [Jurkat]	0.510489752717	0.541560001229	1.0	0.555103668996	0.454474924991	0.0324593107967	0.487053576196	0.0665608369178	0.469282735894	0.0800067997352	0.475708597909	0.417741115827	0.546598164009	-0.0275181131885	0.0331959046256	0.557588342212	-0.0398977586675	-0.0127639334152	-0.0369699967727	0.433920949034	0.388908655067	0.477437982556	0.489574030578	0.496635452383	0.610360376377	0.535027779983	0.430410830209
GP160 [Jurkat]	0.421521561052	0.410175146585	0.555103668996	1.0	0.567159021547	0.142386322171	0.395606159011	0.141773625113	0.407810577153	0.197671011758	0.350514671518	0.329576928326	0.512823799698	-0.124987697107	0.0184605673136	0.420171904432	-0.135888091399	-0.0560140375975	-0.0650464864354	0.454561051838	0.370413360743	0.365785108069	0.423238012033	0.354598086458	0.50803906263	0.548475997905	0.464610409168
GP41 [Jurkat]	0.490364388419	0.400841895249	0.454474924991	0.567159021547	1.0	0.0573428114739	0.344475959762	0.048001147399	0.481762709108	0.0948445576766	0.334418633194	0.361972636999	0.458302532816	-0.122714565403	-0.0523402071604	0.421580703105	-0.126553852442	-0.119014010361	-0.121985706284	0.386672600122	0.341714162242	0.327920085331	0.434585835158	0.327289454788	0.411251701636	0.434206600008	0.527364367631
HA [Flu]	-0.0347395653408	-0.00814452692712	0.0324593107967	0.142386322171	0.0573428114739	1.0	-0.0182727433845	0.311961863562	-0.0242174167056	0.434834536792	-0.0585485075095	-0.121370030527	0.0400921429639	0.00453390986755	0.245958824202	-0.016397176384	-0.0260144970241	0.0604808649881	0.0739758629574	0.084122373594	0.0165612377737	-0.0714280329861	0.00533484051246	-0.06345620767	0.0338709073788	0.0521468179719	0.0760649345756
IN [Jurkat]	0.587519009847	0.623296293744	0.487053576196	0.395606159011	0.344475959762	-0.0182727433845	1.0	0.0481317048253	0.540820416344	-0.0238987817381	0.597944946267	0.446421800265	0.567759113114	0.0154038429493	0.0413672620877	0.600439679671	0.016980971775	0.00707638535759	-0.0174392095615	0.430339554137	0.42546732828	0.563799440365	0.584536368467	0.574200451092	0.576259689731	0.470289270643	0.408429489671
M2 [Flu]	0.0469460318205	0.0675754837207	0.0665608369178	0.141773625113	0.048001147399	0.311961863562	0.0481317048253	1.0	0.0141935268898	0.353053929663	0.00843059880326	-0.0195387931034	0.115172975174	0.0199367850692	0.221239850543	0.0528928173858	0.0112245117846	0.0907207207211	0.149353261988	0.149412032997	0.121056707284	0.0241087045932	0.0441544564776	-0.000605424006882	0.131984970553	0.15418369271	0.126022959794
MA [Jurkat]	0.677762334176	0.618014673417	0.469282735894	0.407810577153	0.481762709108	-0.0242174167056	0.540820416344	0.0141935268898	1.0	-0.0151598844388	0.569720569787	0.531997438779	0.561575162221	-0.062067393218	-0.00394889486392	0.702951458737	-0.076819727743	-0.0727123130648	-0.0963902161838	0.416008284389	0.415854527926	0.573882965195	0.592466799843	0.560796494703	0.592715721252	0.494827689268	0.530425944032
NA [Flu]	-0.0220967036138	0.00163844422209	0.0800067997352	0.197671011758	0.0948445576766	0.434834536792	-0.0238987817381	0.353053929663	-0.0151598844388	1.0	-0.0451970664237	-0.0415911420177	0.0426744522924	-0.0134317708086	0.213207586998	-0.0186089718262	-0.0314940892084	0.0114321133606	0.0808249851621	0.116488480296	0.0621203542661	-0.0224769901823	0.0111378996691	-0.0339795594372	0.0321908767379	0.111661820699	0.157563704324
NC [Jurkat]	0.540816876156	0.632632095208	0.475708597909	0.350514671518	0.334418633194	-0.0585485075095	0.597944946267	0.00843059880326	0.569720569787	-0.0451970664237	1.0	0.561241392912	0.503395132394	0.0104458428689	0.027164547912	0.620671499363	0.00773116947268	-0.0199642162751	-0.0386248427223	0.368541061594	0.358499178112	0.613430986781	0.519488571858	0.649017375601	0.576308066692	0.445278942242	0.361634931054
NCC [Jurkat]	0.53006112323	0.536717250503	0.417741115827	0.329576928326	0.361972636999	-0.121370030527	0.446421800265	-0.0195387931034	0.531997438779	-0.0415911420177	0.561241392912	1.0	0.445180835177	-0.0163703091078	0.0141969733718	0.546305928056	0.00314579220588	-0.00150297619047	-0.030782552176	0.344390052551	0.28882875335	0.573517628458	0.425664501236	0.513900061586	0.506085539396	0.39649788775	0.37807844913
