	CA [Jurkat]	GAG [Jurkat]	GP120 [Jurkat]	GP160 [Jurkat]	GP41 [Jurkat]	IN [Jurkat]	MA [Jurkat]	NC [Jurkat]	NCC [Jurkat]	NEF [Jurkat]	P6 [Jurkat]	POL [Jurkat]	PR [Jurkat]	REV [Jurkat]	RT [Jurkat]	TAT [Jurkat]	VIF [Jurkat]	VPR [Jurkat]	VPU [Jurkat]
CA [HEK]	-0.0834022250801	-0.0983786042456	-0.0633632649494	0.020391026949	0.060165959462	-0.118262935418	-0.166631374022	-0.200878347856	-0.0238931897363	-0.0948320178707	-0.143382463491	0.0052793838046	-0.0594219353484	-0.120599532567	-0.0301670630113	-0.17311238691	-0.0871882667323	-0.0308782435441	0.0189285097645
GAG [HEK]	-0.404882617461	-0.473152338498	-0.456866813028	-0.2618016427	-0.252189713102	-0.378679277597	-0.421996797376	-0.472641491376	-0.673223311573	-0.446578402784	-0.466136932689	-0.302473924674	-0.280905699575	-0.554757314906	-0.363499786151	-0.520072277826	-0.476877736203	-0.422731899794	-0.32201797923
GP120 [HEK]	-0.381235202386	-0.413891691157	-0.556439438289	-0.497053716978	-0.391699802577	-0.409289909969	-0.412011688961	-0.434256413587	-0.24243112568	-0.475990433071	-0.458317132909	-0.308772998164	-0.327012974897	-0.415445018133	-0.468899351572	-0.450302770139	-0.468207911082	-0.434630855848	-0.370723490865
GP160 [HEK]	-0.360484801657	-0.43274767156	-0.564821553972	-0.551585972643	-0.461129275713	-0.404685022677	-0.434381082243	-0.424685685854	-0.277043765122	-0.456108296986	-0.460672541811	-0.317584183876	-0.323995395593	-0.430042686145	-0.4212395364	-0.439643492802	-0.48331117836	-0.468065865392	-0.416185269332
GP41 [HEK]	-0.357519025378	-0.412501418384	-0.499747831335	-0.451075218274	-0.439539273157	-0.348767441271	-0.433315522183	-0.420000920819	-0.255597014925	-0.453788764217	-0.439805080045	-0.316725464502	-0.323520000742	-0.414612709107	-0.445625226807	-0.439743264413	-0.430673218809	-0.390879402625	-0.361927522505
IN [HEK]	-0.344176017653	-0.343452423641	-0.467774738485	-0.454004000578	-0.397910090418	-0.311302255561	-0.381597830204	-0.266266230766	-0.246201878939	-0.488236890033	-0.397474196184	-0.452203130708	-0.388810568837	-0.34977949547	-0.430321251175	-0.335865816899	-0.46709006118	-0.524555233796	-0.508430928225
MA [HEK]	-0.427412349646	-0.462376884285	-0.420424074614	-0.251026799251	-0.270120363389	-0.391160025507	-0.557405792675	-0.526012194848	-0.442383217848	-0.434433649524	-0.509199892534	-0.313914676194	-0.323322176071	-0.551162553524	-0.39106492662	-0.578586919326	-0.451956704903	-0.366271880847	-0.338726840486
NC [HEK]	-0.262179172046	-0.384341385508	-0.316557874414	-0.171826361676	-0.162471910112	-0.24868148874	-0.27644546148	-0.377788217392	-0.600932835821	-0.281803179493	-0.313244922775	-0.196305638218	-0.166157886369	-0.467887400108	-0.224475153887	-0.428808954284	-0.311617988875	-0.282897806594	-0.200980659129
NEF [HEK]	-0.301212286972	-0.281651426212	-0.388681782753	-0.490512957087	-0.376335958248	-0.304545302815	-0.324211468254	-0.222366575205	-0.219344119619	-0.459103091274	-0.334791388491	-0.369271894034	-0.369544532811	-0.296550599643	-0.32971350513	-0.277989426732	-0.40168379052	-0.494818295263	-0.473749364949
P6 [HEK]	-0.176217111689	-0.289457816319	-0.164278754638	-0.0239159226083	-0.0178957923657	-0.256960055377	-0.319722646746	-0.417102058524	-0.173840697004	-0.196273052014	-0.309923706586	-0.121773469778	-0.124321584492	-0.334978123481	-0.152519647508	-0.380488084529	-0.226912522532	-0.10767411743	-0.0765907601071
