	CA [HEK]	CA [Jurkat]	GAG [HEK]	GAG [Jurkat]	GP120 [HEK]	GP120 [Jurkat]	GP160 [HEK]	GP160 [Jurkat]	GP41 [HEK]	GP41 [Jurkat]	IN [HEK]	IN [Jurkat]	MA [HEK]	MA [Jurkat]	NC [HEK]	NC [Jurkat]	NCC [Jurkat]	NEF [HEK]	NEF [Jurkat]	P6 [HEK]	P6 [Jurkat]	POL [HEK]	POL [Jurkat]	PR [HEK]	PR [Jurkat]	Pol [HEK]	REV [HEK]	REV [Jurkat]	RT [HEK]	RT [Jurkat]	TAT [HEK]	TAT [Jurkat]	VIF [HEK]	VIF [Jurkat]	VPR [HEK]	VPR [Jurkat]	VPU [HEK]	VPU [Jurkat]	p6 [HEK]
CA [HEK]	-1.57894736842	-0.0834022250801	-0.0399910809138	-0.0983786042456	-0.259135253171	-0.0633632649494	-0.190296067334	0.020391026949	-0.204978850686	0.060165959462	0.0270877352921	-0.118262935418	-0.389956957919	-0.166631374022	0.0546350771188	-0.200878347856	-0.0238931897363	0.0312169235243	-0.0948320178707	-0.447473498492	-0.143382463491	-0.0493516436931	0.0052793838046	-0.0884846732215	-0.0594219353484	-0.225156027963	0.101123808056	-0.120599532567	-0.180407188047	-0.0301670630113	0.118517761492	-0.17311238691	-0.0432689747705	-0.0871882667323	-0.150055218983	-0.0308782435441	-0.0753091515601	0.0189285097645	-0.661307834537
CA [Jurkat]	-0.0834022250801	-1.17771883289	-0.404882617461	-0.745125536748	-0.381235202386	-0.601213395772	-0.360484801657	-0.49643388092	-0.357519025378	-0.57751137522	-0.344176017653	-0.691932202578	-0.427412349646	-0.798213465183	-0.262179172046	-0.636930220194	-0.624262967411	-0.301212286972	-0.735009276291	-0.176217111689	-0.855941363807	-0.341964888061	-0.458609156045	-0.415782493369	-0.458714644328	-0.457752432102	-0.251636959209	-0.644519605712	-0.432126122019	-0.69261536024	-0.239444837571	-0.628501229506	-0.415052059419	-0.718442650042	-0.42562445489	-0.615492250061	-0.371841779859	-0.589859462764	-0.102017890723
GAG [HEK]	-0.0399910809138	-0.404882617461	-1.18760195759	-0.473152338498	-0.25838150469	-0.456866813028	-0.322089196735	-0.2618016427	-0.275084543941	-0.252189713102	-0.35132715102	-0.378679277597	-0.480005585164	-0.421996797376	-0.823521832652	-0.472641491376	-0.673223311573	-0.303602599037	-0.446578402784	-0.164454254177	-0.466136932689	-0.385984236711	-0.302473924674	-0.436492221069	-0.280905699575	-0.383453458416	-0.776086216867	-0.554757314906	-0.482545505309	-0.363499786151	-0.715621518632	-0.520072277826	-0.511445360527	-0.476877736203	-0.37578815828	-0.422731899794	-0.421456084351	-0.32201797923	-0.0786314324835
GAG [Jurkat]	-0.0983786042456	-0.745125536748	-0.473152338498	-1.14363143631	-0.413891691157	-0.619345042053	-0.43274767156	-0.469089192028	-0.412501418384	-0.458415392397	-0.343452423641	-0.712821235661	-0.462376884285	-0.706781008621	-0.384341385508	-0.723497951698	-0.613806720085	-0.281651426212	-0.729837560219	-0.289457816319	-0.788237647642	-0.368191477529	-0.45006356919	-0.442760484263	-0.455385231754	-0.485289623831	-0.351510675617	-0.764276906719	-0.495264187274	-0.720981169462	-0.330724114285	-0.746854594212	-0.446997789009	-0.744669845548	-0.406743701696	-0.630417389969	-0.423120640059	-0.491562091121	-0.116472976222
GP120 [HEK]	-0.259135253171	-0.381235202386	-0.25838150469	-0.413891691157	-1.2196969697	-0.556439438289	-0.785056515492	-0.497053716978	-0.708280198461	-0.391699802577	-0.426374064532	-0.409289909969	-0.448832196173	-0.412011688961	-0.10052742616	-0.434256413587	-0.24243112568	-0.367986873396	-0.475990433071	-0.300403384494	-0.458317132909	-0.472042628108	-0.308772998164	-0.460100691658	-0.327012974897	-0.582516860472	-0.157982176872	-0.415445018133	-0.482509464485	-0.468899351572	-0.134302521483	-0.450302770139	-0.484664458349	-0.468207911082	-0.612412587413	-0.434630855848	-0.526325757576	-0.370723490865	-0.219917929293
GP120 [Jurkat]	-0.0633632649494	-0.601213395772	-0.456866813028	-0.619345042053	-0.556439438289	-1.17808219178	-0.564821553972	-0.653957747036	-0.499747831335	-0.535408815742	-0.467774738485	-0.573789144559	-0.420424074614	-0.552853634066	-0.316557874414	-0.560423827673	-0.49213336933	-0.388681782753	-0.643937563079	-0.164278754638	-0.656884896304	-0.461098896995	-0.496396478345	-0.46113313189	-0.458166360764	-0.56435213185	-0.333359324563	-0.562461184929	-0.486940006237	-0.576758446982	-0.347308747059	-0.585077382259	-0.545921591632	-0.681771193036	-0.550287963058	-0.630306699706	-0.489670108108	-0.507059334219	-0.0634675940178
GP160 [HEK]	-0.190296067334	-0.360484801657	-0.322089196735	-0.43274767156	-0.785056515492	-0.564821553972	-1.23598820059	-0.551585972643	-0.729623965795	-0.461129275713	-0.514306075915	-0.404685022677	-0.461092054864	-0.434381082243	-0.185155117244	-0.424685685854	-0.277043765122	-0.464525714782	-0.456108296986	-0.314562551607	-0.460672541811	-0.552308852374	-0.317584183876	-0.460740263673	-0.323995395593	-0.579185387854	-0.208503792977	-0.430042686145	-0.490887833768	-0.4212395364	-0.215703199927	-0.439643492802	-0.538556112377	-0.48331117836	-0.623412555231	-0.468065865392	-0.567916786723	-0.416185269332	-0.189940939375
GP160 [Jurkat]	0.020391026949	-0.49643388092	-0.2618016427	-0.469089192028	-0.497053716978	-0.653957747036	-0.551585972643	-1.23093220339	-0.451075218274	-0.698134304065	-0.454004000578	-0.484892271286	-0.251026799251	-0.488190632942	-0.171826361676	-0.423653559668	-0.39352469054	-0.490512957087	-0.609583007187	-0.0239159226083	-0.511051782637	-0.411927509	-0.520008323699	-0.411619947849	-0.442907128394	-0.470969734628	-0.211663618195	-0.439137736693	-0.368416412254	-0.514524642079	-0.247079549867	-0.421773500353	-0.469507175564	-0.567478511456	-0.441748152977	-0.649641552672	-0.436698159111	-0.549406225288	0.0490732175539
GP41 [HEK]	-0.204978850686	-0.357519025378	-0.275084543941	-0.412501418384	-0.708280198461	-0.499747831335	-0.729623965795	-0.451075218274	-1.3171641791	-0.439539273157	-0.472817853788	-0.348767441271	-0.475874159185	-0.433315522183	-0.136016224718	-0.420000920819	-0.255597014925	-0.428390865295	-0.453788764217	-0.260878717906	-0.439805080045	-0.419600678806	-0.316725464502	-0.443594631358	-0.323520000742	-0.547221753745	-0.163431219748	-0.414612709107	-0.501110117991	-0.445625226807	-0.152714904004	-0.439743264413	-0.474774230744	-0.430673218809	-0.617366590614	-0.390879402625	-0.549394878458	-0.361927522505	-0.214500129845
GP41 [Jurkat]	0.060165959462	-0.57751137522	-0.252189713102	-0.458415392397	-0.391699802577	-0.535408815742	-0.461129275713	-0.698134304065	-0.439539273157	-1.24494382022	-0.397910090418	-0.422222270124	-0.270120363389	-0.576718837282	-0.162471910112	-0.404198899174	-0.432206133731	-0.376335958248	-0.544774708818	-0.0178957923657	-0.512765293383	-0.295656494291	-0.442345356683	-0.364299359771	-0.408591196674	-0.392657469674	-0.198357217343	-0.393679460732	-0.338064989956	-0.528320034898	-0.197642773834	-0.38929149436	-0.383923216918	-0.459367242885	-0.398222427711	-0.514295339974	-0.422606732917	-0.623613377691	0.0390441866221
