	CA [Jurkat]	GAG [Jurkat]	GP120 [Jurkat]	GP160 [Jurkat]	GP41 [Jurkat]	IN [Jurkat]	MA [Jurkat]	NC [Jurkat]	NCC [Jurkat]	NEF [Jurkat]	P6 [Jurkat]	POL [Jurkat]	PR [Jurkat]	REV [Jurkat]	RT [Jurkat]	TAT [Jurkat]	VIF [Jurkat]	VPR [Jurkat]	VPU [Jurkat]
CA [HEK]	0.0708167541784	0.0860229975516	0.053785096992	-0.0165655158691	-0.0483282526366	0.0964864742224	0.139195699848	0.166199023959	0.0200105464041	0.0797793166216	0.117884889152	-0.00461493046535	0.049695923509	0.100454844499	0.0248148421545	0.145540962363	0.0780558988733	0.0260697231754	-0.016007067743
GAG [HEK]	0.343785465727	0.413727992669	0.387805550594	0.220445613976	0.212352052378	0.318860435668	0.355335215372	0.397979717325	0.566876222517	0.376033737508	0.392502664474	0.264405124086	0.236531859669	0.467123947852	0.306078803447	0.437918003168	0.426928091899	0.356901894024	0.272317455105
GP120 [HEK]	0.323706466891	0.361910033264	0.472326499943	0.407522302118	0.321145179752	0.335566882707	0.344174413295	0.359287065314	0.203036067756	0.400436396077	0.376815009967	0.269911408006	0.273488429679	0.34604997056	0.385707531132	0.378583529986	0.41916637099	0.366947882876	0.313505717356
GP160 [HEK]	0.306087320326	0.378397845512	0.479441551628	0.448104266932	0.373085499921	0.330167950514	0.362860710347	0.351368613053	0.232024153289	0.383710154608	0.378751558626	0.277613634418	0.270964759096	0.358209275318	0.346503489619	0.36962194434	0.43268767549	0.395176219178	0.351950886928
GP41 [HEK]	0.30356908236	0.360694368209	0.424204554506	0.366450091266	0.353059524469	0.28454680761	0.36197059359	0.347492618529	0.214062499999	0.381758801644	0.36159493879	0.276862991853	0.270567175509	0.345356688654	0.366562686567	0.369705825433	0.385563178105	0.330009633056	0.306067326106
IN [HEK]	0.293833853877	0.300317403611	0.39935395584	0.387597445269	0.339708315998	0.265768492807	0.325782028174	0.227319826863	0.210190260825	0.416823135968	0.339336179428	0.395289693205	0.331939769216	0.29861771852	0.367378739809	0.286739175024	0.418165608133	0.447829244375	0.43406341932
MA [HEK]	0.362915441029	0.404305853796	0.356871598219	0.206987009908	0.222730825952	0.322535459628	0.465629536252	0.43520227196	0.370495944947	0.365475927378	0.419866578053	0.274405964088	0.270401730213	0.459097539015	0.322457044756	0.486436000059	0.404617366249	0.309234122303	0.286447456746
NC [HEK]	0.222616098787	0.336071021927	0.2687061027	0.14318863473	0.135393258427	0.20723457395	0.230929017458	0.314823514493	0.503281249999	0.237072516082	0.261037435646	0.171598978946	0.138961640394	0.389906166757	0.187062628239	0.360513011173	0.278978160002	0.238843491674	0.169961136177
NEF [HEK]	0.255759081506	0.246278142826	0.329927559779	0.398489011609	0.30229151881	0.248467555839	0.270830403262	0.183977557336	0.18370070018	0.386229584724	0.27525573742	0.322796026364	0.309058544258	0.247015421529	0.271215947768	0.233714348323	0.35961019191	0.417762621802	0.400630491903
P6 [HEK]	0.149625790781	0.253104109531	0.139445919635	0.0196858954803	0.0147305501785	0.211511338099	0.267080661324	0.345094211288	0.14559158374	0.165118599314	0.255107268686	0.106447289371	0.10397298434	0.279024093946	0.125543383323	0.319888154617	0.203145005351	0.0909065449447	0.0647696781615
POL [HEK]	0.293014269004	0.321949419926	0.395094821014	0.352962079284	0.253334697729	0.326898581397	0.309582437782	0.306091543102	0.23443005526	0.385545125051	0.324418351748	0.402412658921	0.318630751617	0.33336225588	0.322858228144	0.359205342206	0.429989301637	0.373132301373	0.349787553284
PR [HEK]	0.353040540541	0.387153124867	0.391426960791	0.345229633679	0.305541398517	0.362780551288	0.360340642676	0.335425612679	0.295667857023	0.424332145185	0.383061437062	0.394826097311	0.435971094812	0.420736092097	0.3978000115	0.411629095364	0.450481592478	0.402981228609	0.356711752086
Pol [HEK]	0.39711509694	0.424340927001	0.4895937975	0.408581536014	0.340643103561	0.455634462447	0.428982363818	0.447396927888	0.336683986071	0.486849024923	0.46054712101	0.499590606957	0.408809264687	0.431368507621	0.432229026329	0.472409089925	0.538205207629	0.459218045257	0.407677484775
REV [HEK]	0.213664715365	0.307363600244	0.282967798757	0.176572606519	0.165472229884	0.175484296066	0.216114319252	0.273804548417	0.464906444644	0.264826720212	0.247359587521	0.179624188811	0.159188667917	0.375091055908	0.214313637578	0.320434512686	0.309866510779	0.279312977099	0.224175725682
RT [HEK]	0.371547693699	0.433062760912	0.418677388541	0.316769251658	0.290672701645	0.363724577667	0.440629082505	0.427971579055	0.365629711424	0.431298525727	0.452850122095	0.335826020629	0.358450774972	0.530589873371	0.423727196325	0.502937249667	0.462302538999	0.38931518545	0.356295562447
TAT [HEK]	0.203757188065	0.289187673392	0.295544704195	0.210253997622	0.168185441984	0.172802946173	0.194138533736	0.230666745703	0.415276180184	0.270809654228	0.225358102712	0.21713513676	0.179450388424	0.344835436056	0.200273123244	0.311169879643	0.308720569927	0.310652685301	0.234726363102
VIF [HEK]	0.368077175175	0.396407341572	0.484135116921	0.416369154144	0.340471441981	0.357746179117	0.397363699104	0.339145106862	0.334669212748	0.495514484441	0.416248434445	0.401164939122	0.349825134128	0.439865746191	0.413786682388	0.42925278091	0.519133578031	0.531730291746	0.463814539554
VPR [HEK]	0.361397341202	0.355659777077	0.467104898875	0.358872854054	0.319871805654	0.369940195154	0.372697825973	0.326588699438	0.262341230854	0.433757153656	0.383430098787	0.317209708028	0.306241409672	0.360198918173	0.389992745309	0.396562547057	0.458719626476	0.46063364492	0.381112984161
VPU [HEK]	0.315730520286	0.369979896167	0.415650208045	0.354770277281	0.339458476803	0.34105526202	0.378403693088	0.330666702794	0.293020525332	0.433806651169	0.374603913965	0.363684815382	0.318129233653	0.39442153735	0.417658664089	0.395608222393	0.445974029353	0.440906367123	0.473432884397
p6 [HEK]	0.086623299105	0.101844853616	0.0538736553872	-0.039866710302	-0.0313622076659	0.136685552408	0.14746787032	0.168587521328	0.0286350790038	0.0871171652422	0.155117193621	0.0266017309282	0.0559728135031	0.162698332781	0.0570741428114	0.190655047451	0.0932665594833	0.0275278050593	-0.00795915786991
