	CA [HEK]	CA [Jurkat]	GAG [HEK]	GAG [Jurkat]	GP120 [HEK]	GP120 [Jurkat]	GP160 [HEK]	GP160 [Jurkat]	GP41 [HEK]	GP41 [Jurkat]	IN [HEK]	IN [Jurkat]	MA [HEK]	MA [Jurkat]	NC [HEK]	NC [Jurkat]	NCC [Jurkat]	NEF [HEK]	NEF [Jurkat]	P6 [HEK]	P6 [Jurkat]	POL [HEK]	POL [Jurkat]	PR [HEK]	PR [Jurkat]	Pol [HEK]	REV [HEK]	REV [Jurkat]	RT [HEK]	RT [Jurkat]	TAT [HEK]	TAT [Jurkat]	VIF [HEK]	VIF [Jurkat]	VPR [HEK]	VPR [Jurkat]	VPU [HEK]	VPU [Jurkat]	p6 [HEK]
CA [HEK]	1.0	0.0708167541784	0.0336738085166	0.0860229975516	0.212458716885	0.053785096992	0.153962689323	-0.0165655158691	0.155621337065	-0.0483282526366	-0.0231256486374	0.0964864742224	0.321543456529	0.139195699848	-0.0455292309323	0.166199023959	0.0200105464041	-0.0250011644155	0.0797793166216	0.368328525969	0.117884889152	0.0422871946967	-0.00461493046535	0.074212951734	0.049695923509	0.195330164518	-0.0843588261499	0.100454844499	0.155116460751	0.0248148421545	-0.100853482841	0.145540962363	0.0383718659981	0.0780558988733	0.119249180649	0.0260697231754	0.0603570613595	-0.016007067743	0.484622535234
CA [Jurkat]	0.0708167541784	1.0	0.343785465727	0.651543419576	0.323706466891	0.510489752717	0.306087320326	0.421521561052	0.30356908236	0.490364388419	0.293833853877	0.587519009847	0.362915441029	0.677762334176	0.222616098787	0.540816876156	0.53006112323	0.255759081506	0.624095714329	0.149625790781	0.726779040891	0.293014269004	0.400889468214	0.353040540541	0.389494191243	0.39711509694	0.213664715365	0.547261016562	0.371547693699	0.588099078403	0.203757188065	0.533659827757	0.368077175175	0.643190751918	0.361397341202	0.52261391503	0.315730520286	0.500849138429	0.086623299105
GAG [HEK]	0.0336738085166	0.343785465727	1.0	0.413727992669	0.21756574502	0.387805550594	0.271209721975	0.220445613976	0.231630254719	0.212352052378	0.299939000572	0.318860435668	0.404180527067	0.355335215372	0.693432532162	0.397979717325	0.566876222517	0.255643397265	0.376033737508	0.138475903585	0.392502664474	0.330732460891	0.264405124086	0.367540839992	0.236531859669	0.332658324963	0.65349017986	0.467123947852	0.414898939144	0.306078803447	0.608962923712	0.437918003168	0.453560846856	0.426928091899	0.316426017891	0.356901894024	0.354879917179	0.272317455105	0.0662102583959
GAG [Jurkat]	0.0860229975516	0.651543419576	0.413727992669	1.0	0.361910033264	0.541560001229	0.378397845512	0.410175146585	0.360694368209	0.400841895249	0.300317403611	0.623296293744	0.404305853796	0.618014673417	0.336071021927	0.632632095208	0.536717250503	0.246278142826	0.638175496971	0.253104109531	0.689240976258	0.321949419926	0.393538997706	0.387153124867	0.398192299805	0.424340927001	0.307363600244	0.668289522702	0.433062760912	0.630431401736	0.289187673392	0.653055320534	0.396407341572	0.666670830108	0.355659777077	0.551241746207	0.369979896167	0.429825619963	0.101844853616
GP120 [HEK]	0.212458716885	0.323706466891	0.21756574502	0.361910033264	1.0	0.472326499943	0.643648820153	0.407522302118	0.580701777619	0.321145179752	0.364008902854	0.335566882707	0.370089705615	0.344174413295	0.0837728551333	0.359287065314	0.203036067756	0.301703523529	0.400436396077	0.247270813086	0.376815009967	0.404472009971	0.269911408006	0.38589090268	0.273488429679	0.505352289344	0.131790833926	0.34604997056	0.414867950772	0.385707531132	0.114285630064	0.378583529986	0.429810961514	0.41916637099	0.50210224558	0.366947882876	0.43152173913	0.313505717356	0.180305383022
GP120 [Jurkat]	0.053785096992	0.510489752717	0.387805550594	0.541560001229	0.472326499943	1.0	0.479441551628	0.555103668996	0.424204554506	0.454474924991	0.39935395584	0.487053576196	0.356871598219	0.469282735894	0.2687061027	0.475708597909	0.417741115827	0.329927559779	0.546598164009	0.139445919635	0.557588342212	0.395094821014	0.433920949034	0.391426960791	0.388908655067	0.4895937975	0.282967798757	0.477437982556	0.418677388541	0.489574030578	0.295544704195	0.496635452383	0.484135116921	0.610360376377	0.467104898875	0.535027779983	0.415650208045	0.430410830209	0.0538736553872
GP160 [HEK]	0.153962689323	0.306087320326	0.271209721975	0.378397845512	0.643648820153	0.479441551628	1.0	0.448104266932	0.590316287362	0.373085499921	0.439079217049	0.330167950514	0.380198711904	0.362860710347	0.154295931037	0.351368613053	0.232024153289	0.375833454203	0.383710154608	0.258925637717	0.378751558626	0.473248512619	0.277613634418	0.386427317919	0.270964759096	0.502462128683	0.17393663828	0.358209275318	0.422071782306	0.346503489619	0.183554082517	0.36962194434	0.477603250047	0.43268767549	0.504383905068	0.395176219178	0.459483987349	0.351950886928	0.153675366225
GP160 [Jurkat]	-0.0165655158691	0.421521561052	0.220445613976	0.410175146585	0.407522302118	0.555103668996	0.448104266932	1.0	0.366450091266	0.567159021547	0.387597445269	0.395606159011	0.206987009908	0.407810577153	0.14318863473	0.350514671518	0.329576928326	0.398489011609	0.512823799698	0.0196858954803	0.420171904432	0.352962079284	0.454561051838	0.345229633679	0.370413360743	0.408581536014	0.176572606519	0.365785108069	0.316769251658	0.423238012033	0.210253997622	0.354598086458	0.416369154144	0.50803906263	0.358872854054	0.548475997905	0.354770277281	0.464610409168	-0.039866710302
GP41 [HEK]	0.155621337065	0.30356908236	0.231630254719	0.360694368209	0.580701777619	0.424204554506	0.590316287362	0.366450091266	1.0	0.353059524469	0.403659421442	0.28454680761	0.39238746459	0.36197059359	0.113346853932	0.347492618529	0.214062499999	0.343091799197	0.381758801644	0.214736903854	0.36159493879	0.359536871961	0.276862991853	0.372047110171	0.270567175509	0.474732638313	0.136336497994	0.345356688654	0.43086103603	0.366562686567	0.129953770276	0.369705825433	0.421040093002	0.385563178105	0.490622456118	0.330009633056	0.44031647818	0.306067326106	0.162849956937
GP41 [Jurkat]	-0.0483282526366	0.490364388419	0.212352052378	0.400841895249	0.321145179752	0.454474924991	0.373085499921	0.567159021547	0.353059524469	1.0	0.339708315998	0.344475959762	0.222730825952	0.481762709108	0.135393258427	0.334418633194	0.361972636999	0.30229151881	0.458302532816	0.0147305501785	0.421580703105	0.253334697729	0.386672600122	0.305541398517	0.341714162242	0.340643103561	0.165472229884	0.327920085331	0.290672701645	0.434585835158	0.168185441984	0.327289454788	0.340471441981	0.411251701636	0.319871805654	0.434206600008	0.339458476803	0.527364367631	-0.0313622076659
