M2 (Flu) / VPR (Jurkat) cellular_component Ontology, dist <= 1
Label	REF	ID	URL	p-value
UNCLASSIFIED	3127			0
macromolecular complex	4810	GO:0032991	http://amigo.geneontology.org/amigo/term/GO:0032991	3.98300321866e-127
intracellular organelle part	7672	GO:0044446	http://amigo.geneontology.org/amigo/term/GO:0044446	4.66469424174e-110
organelle part	7880	GO:0044422	http://amigo.geneontology.org/amigo/term/GO:0044422	1.2153794295e-107
ribonucleoprotein complex	687	GO:0030529	http://amigo.geneontology.org/amigo/term/GO:0030529	1.02493143827e-101
cytosol	3086	GO:0005829	http://amigo.geneontology.org/amigo/term/GO:0005829	1.58336477125e-97
extracellular exosome	2710	GO:0070062	http://amigo.geneontology.org/amigo/term/GO:0070062	1.32447781374e-90
extracellular membrane-bounded organelle	2710	GO:0065010	http://amigo.geneontology.org/amigo/term/GO:0065010	1.32447781374e-90
extracellular organelle	2723	GO:0043230	http://amigo.geneontology.org/amigo/term/GO:0043230	3.77047276385e-90
extracellular vesicle	2723	GO:1903561	http://amigo.geneontology.org/amigo/term/GO:1903561	3.77047276385e-90
cytosolic part	203	GO:0044445	http://amigo.geneontology.org/amigo/term/GO:0044445	1.93409351298e-81
intracellular part	13251	GO:0044424	http://amigo.geneontology.org/amigo/term/GO:0044424	1.59497284623e-80
intracellular organelle	11472	GO:0043229	http://amigo.geneontology.org/amigo/term/GO:0043229	1.64144066885e-80
intracellular	13605	GO:0005622	http://amigo.geneontology.org/amigo/term/GO:0005622	2.50419314448e-78
organelle	12514	GO:0043226	http://amigo.geneontology.org/amigo/term/GO:0043226	4.42326478671e-78
cytosolic ribosome	105	GO:0022626	http://amigo.geneontology.org/amigo/term/GO:0022626	6.61272859915e-78
membrane-bounded vesicle	3438	GO:0031988	http://amigo.geneontology.org/amigo/term/GO:0031988	7.505542494e-77
vesicle	3556	GO:0031982	http://amigo.geneontology.org/amigo/term/GO:0031982	1.10283441182e-76
membrane-bounded organelle	11617	GO:0043227	http://amigo.geneontology.org/amigo/term/GO:0043227	5.70998106568e-75
cytoplasm	10314	GO:0005737	http://amigo.geneontology.org/amigo/term/GO:0005737	2.36358642113e-73
nuclear part	3705	GO:0044428	http://amigo.geneontology.org/amigo/term/GO:0044428	5.66224818746e-72
membrane-enclosed lumen	4102	GO:0031974	http://amigo.geneontology.org/amigo/term/GO:0031974	2.61944488721e-67
ribosomal subunit	157	GO:0044391	http://amigo.geneontology.org/amigo/term/GO:0044391	5.71126856962e-67
extracellular region part	3687	GO:0044421	http://amigo.geneontology.org/amigo/term/GO:0044421	1.42394433681e-66
organelle lumen	4049	GO:0043233	http://amigo.geneontology.org/amigo/term/GO:0043233	2.05119829785e-66
intracellular organelle lumen	3994	GO:0070013	http://amigo.geneontology.org/amigo/term/GO:0070013	2.7379437955e-66
nuclear lumen	3361	GO:0031981	http://amigo.geneontology.org/amigo/term/GO:0031981	3.43319039911e-66
cytoplasmic part	7723	GO:0044444	http://amigo.geneontology.org/amigo/term/GO:0044444	5.42604742025e-65
nucleus	6616	GO:0005634	http://amigo.geneontology.org/amigo/term/GO:0005634	4.48075543082e-63
intracellular non-membrane-bounded organelle	3620	GO:0043232	http://amigo.geneontology.org/amigo/term/GO:0043232	3.82799866703e-61
non-membrane-bounded organelle	3620	GO:0043228	http://amigo.geneontology.org/amigo/term/GO:0043228	3.82799866703e-61
intracellular membrane-bounded organelle	10454	GO:0043231	http://amigo.geneontology.org/amigo/term/GO:0043231	2.35198094052e-56
ribosome	229	GO:0005840	http://amigo.geneontology.org/amigo/term/GO:0005840	1.83914436364e-55
cell part	15654	GO:0044464	http://amigo.geneontology.org/amigo/term/GO:0044464	2.74594791207e-54
cell	15700	GO:0005623	http://amigo.geneontology.org/amigo/term/GO:0005623	1.13271997526e-53
protein complex	4152	GO:0043234	http://amigo.geneontology.org/amigo/term/GO:0043234	1.13445238888e-52
extracellular region	4412	GO:0005576	http://amigo.geneontology.org/amigo/term/GO:0005576	3.06370279762e-51
nucleoplasm	2783	GO:0005654	http://amigo.geneontology.org/amigo/term/GO:0005654	2.12148167833e-50
cytosolic large ribosomal subunit	58	GO:0022625	http://amigo.geneontology.org/amigo/term/GO:0022625	2.29537917369e-41
focal adhesion	383	GO:0005925	http://amigo.geneontology.org/amigo/term/GO:0005925	2.68855943459e-39
cell-substrate adherens junction	388	GO:0005924	http://amigo.geneontology.org/amigo/term/GO:0005924	6.26578085348e-39
cell-substrate junction	392	GO:0030055	http://amigo.geneontology.org/amigo/term/GO:0030055	1.22218049779e-38
cytosolic small ribosomal subunit	40	GO:0022627	http://amigo.geneontology.org/amigo/term/GO:0022627	2.81129400528e-36
adherens junction	462	GO:0005912	http://amigo.geneontology.org/amigo/term/GO:0005912	6.15881464719e-35
anchoring junction	480	GO:0070161	http://amigo.geneontology.org/amigo/term/GO:0070161	9.48808723736e-35
large ribosomal subunit	91	GO:0015934	http://amigo.geneontology.org/amigo/term/GO:0015934	7.61480526085e-34
small ribosomal subunit	66	GO:0015935	http://amigo.geneontology.org/amigo/term/GO:0015935	1.03687363123e-30
cellular_component	17687	GO:0005575	http://amigo.geneontology.org/amigo/term/GO:0005575	8.69765809093e-29
spliceosomal complex	158	GO:0005681	http://amigo.geneontology.org/amigo/term/GO:0005681	5.9235045271e-26
proteasome complex	77	GO:0000502	http://amigo.geneontology.org/amigo/term/GO:0000502	6.01283604083e-26
cell junction	1127	GO:0030054	http://amigo.geneontology.org/amigo/term/GO:0030054	8.89151889734e-20
catalytic step 2 spliceosome	82	GO:0071013	http://amigo.geneontology.org/amigo/term/GO:0071013	4.85120598145e-19
ribonucleoprotein granule	131	GO:0035770	http://amigo.geneontology.org/amigo/term/GO:0035770	5.3807574241e-17
myelin sheath	168	GO:0043209	http://amigo.geneontology.org/amigo/term/GO:0043209	6.69245578412e-17
intrinsic component of membrane	5540	GO:0031224	http://amigo.geneontology.org/amigo/term/GO:0031224	1.45940557523e-16
cytoplasmic ribonucleoprotein granule	129	GO:0036464	http://amigo.geneontology.org/amigo/term/GO:0036464	3.69979220565e-16
integral component of membrane	5418	GO:0016021	http://amigo.geneontology.org/amigo/term/GO:0016021	1.6227548148e-15
proteasome accessory complex	25	GO:0022624	http://amigo.geneontology.org/amigo/term/GO:0022624	5.47272006214e-15
SMN-Sm protein complex	16	GO:0034719	http://amigo.geneontology.org/amigo/term/GO:0034719	9.42291996595e-15
proteasome regulatory particle	22	GO:0005838	http://amigo.geneontology.org/amigo/term/GO:0005838	7.15720242807e-13
