NA (Flu) / GP160 (Jurkat) biological_process Ontology, dist <= 1				
Label	REF	ID	URL	p-value
UNCLASSIFIED	4289			0
viral process	673	GO:0016032	http://amigo.geneontology.org/amigo/term/GO:0016032	1.17275198193e-79
multi-organism cellular process	678	GO:0044764	http://amigo.geneontology.org/amigo/term/GO:0044764	2.74497774108e-79
interspecies interaction between organisms	749	GO:0044419	http://amigo.geneontology.org/amigo/term/GO:0044419	1.28071866939e-77
symbiosis, encompassing mutualism through parasitism	749	GO:0044403	http://amigo.geneontology.org/amigo/term/GO:0044403	1.28071866939e-77
protein localization to endoplasmic reticulum	136	GO:0070972	http://amigo.geneontology.org/amigo/term/GO:0070972	2.83501916984e-58
SRP-dependent cotranslational protein targeting to membrane	109	GO:0006614	http://amigo.geneontology.org/amigo/term/GO:0006614	7.37108143141e-58
cotranslational protein targeting to membrane	112	GO:0006613	http://amigo.geneontology.org/amigo/term/GO:0006613	3.30044343205e-57
protein targeting to ER	113	GO:0045047	http://amigo.geneontology.org/amigo/term/GO:0045047	5.39002042202e-57
viral life cycle	241	GO:0019058	http://amigo.geneontology.org/amigo/term/GO:0019058	3.57567848201e-56
establishment of protein localization to endoplasmic reticulum	117	GO:0072599	http://amigo.geneontology.org/amigo/term/GO:0072599	3.66949925211e-56
cellular metabolic process	8461	GO:0044237	http://amigo.geneontology.org/amigo/term/GO:0044237	4.35878189586e-56
single-organism intracellular transport	1159	GO:1902582	http://amigo.geneontology.org/amigo/term/GO:1902582	2.89796736591e-53
viral gene expression	121	GO:0019080	http://amigo.geneontology.org/amigo/term/GO:0019080	1.86265205454e-52
intracellular protein transport	727	GO:0006886	http://amigo.geneontology.org/amigo/term/GO:0006886	6.06711140374e-52
cellular protein metabolic process	3375	GO:0044267	http://amigo.geneontology.org/amigo/term/GO:0044267	1.44816185263e-51
viral transcription	111	GO:0019083	http://amigo.geneontology.org/amigo/term/GO:0019083	1.66252310776e-51
metabolic process	9836	GO:0008152	http://amigo.geneontology.org/amigo/term/GO:0008152	1.99371670079e-51
multi-organism metabolic process	127	GO:0044033	http://amigo.geneontology.org/amigo/term/GO:0044033	2.41961780705e-51
cytoplasmic transport	703	GO:0016482	http://amigo.geneontology.org/amigo/term/GO:0016482	2.70075634451e-51
intracellular transport	1348	GO:0046907	http://amigo.geneontology.org/amigo/term/GO:0046907	2.92369726749e-51
cellular macromolecule catabolic process	761	GO:0044265	http://amigo.geneontology.org/amigo/term/GO:0044265	4.11613435481e-51
mRNA metabolic process	562	GO:0016071	http://amigo.geneontology.org/amigo/term/GO:0016071	1.48552707882e-50
establishment of protein localization to organelle	347	GO:0072594	http://amigo.geneontology.org/amigo/term/GO:0072594	3.72391435109e-50
protein targeting to membrane	186	GO:0006612	http://amigo.geneontology.org/amigo/term/GO:0006612	5.01698060588e-49
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	118	GO:0000184	http://amigo.geneontology.org/amigo/term/GO:0000184	1.01921447366e-48
macromolecule catabolic process	895	GO:0009057	http://amigo.geneontology.org/amigo/term/GO:0009057	2.26009900886e-48
establishment of localization in cell	1808	GO:0051649	http://amigo.geneontology.org/amigo/term/GO:0051649	4.49145362688e-47
primary metabolic process	8563	GO:0044238	http://amigo.geneontology.org/amigo/term/GO:0044238	1.41742206876e-46
protein targeting	422	GO:0006605	http://amigo.geneontology.org/amigo/term/GO:0006605	2.07665432634e-46
protein localization to organelle	524	GO:0033365	http://amigo.geneontology.org/amigo/term/GO:0033365	8.47403171403e-45
organic substance metabolic process	8883	GO:0071704	http://amigo.geneontology.org/amigo/term/GO:0071704	1.07925594199e-44
multi-organism process	2165	GO:0051704	http://amigo.geneontology.org/amigo/term/GO:0051704	2.52001681526e-44
cellular process	14118	GO:0009987	http://amigo.geneontology.org/amigo/term/GO:0009987	3.40350259353e-44
cellular protein localization	1150	GO:0034613	http://amigo.geneontology.org/amigo/term/GO:0034613	3.79191478122e-44
cellular macromolecule localization	1158	GO:0070727	http://amigo.geneontology.org/amigo/term/GO:0070727	7.40030387603e-44
protein metabolic process	4043	GO:0019538	http://amigo.geneontology.org/amigo/term/GO:0019538	1.10342057969e-43
nuclear-transcribed mRNA catabolic process	180	GO:0000956	http://amigo.geneontology.org/amigo/term/GO:0000956	2.18567453001e-43
cellular macromolecule metabolic process	6571	GO:0044260	http://amigo.geneontology.org/amigo/term/GO:0044260	1.40118237653e-42
