Bait,Prey,NumUniquePep,Length,Intensity,Name,IP,Isolation,Tag
NEF,P08107,2,641,25859.8,HSP71_HUMAN Heat shock 70 kDa protein 1,jIP06,elution,Strep
NEF,Q9GZT3,1,109,2263,"SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial precursor",jIP06,elution,Strep
NEF,Q15365,4,356,46306,PCBP1_HUMAN Poly(rC)-binding protein 1,jIP06,elution,Strep
NEF,P05166,13,539,1103516,"PCCB_HUMAN Propionyl-CoA carboxylase beta chain, mitochondrial precursor",jIP06,elution,Strep
NEF,P68363,13,451,2551235,TBA1B_HUMAN Tubulin alpha-1B chain,jIP06,elution,Strep
NEF,P05165,16,703,730026,"PCCA_HUMAN Propionyl-CoA carboxylase alpha chain, mitochondrial precursor",jIP06,elution,Strep
NEF,P52597,1,415,2590,HNRPF_HUMAN Heterogeneous nuclear ribonucleoprotein F,jIP06,elution,Strep
NEF,Q99867,6,434,5374647,TBB4Q_HUMAN Tubulin beta-4q chain,jIP06,elution,Strep
NEF,P15498,1,845,4181,VAV_HUMAN Proto-oncogene vav,jIP06,elution,Strep
NEF,O14734,10,319,832078,ACOT8_HUMAN Acyl-coenzyme A thioesterase 8,jIP06,elution,Strep
NEF,Q9UK23,3,515,21723,NAGPA_HUMAN N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase precursor,jIP06,elution,Strep
NEF,P49327,2,2511,10205,FAS_HUMAN Fatty acid synthase,jIP06,elution,Strep
NEF,Q13885,20,445,8273490,TBB2A_HUMAN Tubulin beta-2A chain,jIP06,elution,Strep
NEF,Q92572,2,193,5044,AP3S1_HUMAN AP-3 complex subunit sigma-1,jIP06,elution,Strep
NEF,P78527,5,4128,22555,PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit,jIP06,elution,Strep
NEF,P31943,3,449,11523,HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H,jIP06,elution,Strep
NEF,P35998,1,433,1689,PRS7_HUMAN 26S protease regulatory subunit 7,jIP06,elution,Strep
NEF,P14618,2,531,21868,KPYM_HUMAN Pyruvate kinase isozymes M1/M2,jIP06,elution,Strep
NEF,P27708,14,2225,118253,PYR1_HUMAN CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase,jIP06,elution,Strep
NEF,P48643,3,541,126715,TCPE_HUMAN T-complex protein 1 subunit epsilon,jIP06,elution,Strep
NEF,P25685,2,340,11231,DNJB1_HUMAN DnaJ homolog subfamily B member 1,jIP06,elution,Strep
NEF,P30044,1,214,3158,"PRDX5_HUMAN Peroxiredoxin-5, mitochondrial precursor",jIP06,elution,Strep
NEF,P43403,1,619,1275,ZAP70_HUMAN Tyrosine-protein kinase ZAP-70,jIP06,elution,Strep
NEF,P13995,1,350,3517,"MTDC_HUMAN Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial precursor [Includes: NAD-dependent methylenetetrahydrofolate dehydrogenase",jIP06,elution,Strep
NEF,P17987,4,556,11773.4,TCPA_HUMAN T-complex protein 1 subunit alpha,jIP06,elution,Strep
NEF,P81274,1,677,2226,GPSM2_HUMAN G-protein-signaling modulator 2,jIP06,elution,Strep
NEF,P38646,7,679,79184,"GRP75_HUMAN Stress-70 protein, mitochondrial precursor",jIP06,elution,Strep
NEF,Q00535,2,292,36642,CDK5_HUMAN Cell division protein kinase 5,jIP06,elution,Strep
NEF,Q13200,1,908,2515,PSMD2_HUMAN 26S proteasome non-ATPase regulatory subunit 2,jIP06,elution,Strep
NEF,P41250,3,739,12523,SYG_HUMAN Glycyl-tRNA synthetase,jIP06,elution,Strep
NEF,Q00325,1,362,8689,"MPCP_HUMAN Phosphate carrier protein, mitochondrial precursor",jIP06,elution,Strep
NEF,P63241,1,154,2643,IF5A1_HUMAN Eukaryotic translation initiation factor 5A-1,jIP06,elution,Strep
NEF,P55060,2,971,7337,XPO2_HUMAN Exportin-2,jIP06,elution,Strep
NEF,O43813,1,399,1639,LANC1_HUMAN LanC-like protein 1,jIP06,elution,Strep
NEF,Q9Y265,2,456,6026,RUVB1_HUMAN RuvB-like 1,jIP06,elution,Strep
NEF,Q9H0C8,2,392,41416,ILKAP_HUMAN Integrin-linked kinase-associated serine/threonine phosphatase 2C,jIP06,elution,Strep
NEF,P04406,5,335,83424,G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase,jIP06,elution,Strep
NEF,P05141,2,298,24990,ADT2_HUMAN ADP/ATP translocase 2,jIP06,elution,Strep
NEF,Q13509,13,450,7053527,TBB3_HUMAN Tubulin beta-3 chain,jIP06,elution,Strep
NEF,P52272,3,730,16786,HNRPM_HUMAN Heterogeneous nuclear ribonucleoprotein M,jIP06,elution,Strep
NEF,P25705,7,553,70003,"ATPA_HUMAN ATP synthase subunit alpha, mitochondrial precursor",jIP06,elution,Strep
NEF,P67809,1,324,1719,YBOX1_HUMAN Nuclease sensitive element-binding protein 1,jIP06,elution,Strep
NEF,P21333,8,2647,22528.1,FLNA_HUMAN Filamin-A,jIP06,elution,Strep
NEF,Q15366,3,365,58113,PCBP2_HUMAN Poly(rC)-binding protein 2,jIP06,elution,Strep
NEF,P23246,2,707,19654,"SFPQ_HUMAN Splicing factor, proline- and glutamine-rich",jIP06,elution,Strep
NEF,Q8TDX7,2,302,6387,NEK7_HUMAN Serine/threonine-protein kinase Nek7,jIP06,elution,Strep
NEF,Q04837,1,148,2205,"SSB_HUMAN Single-stranded DNA-binding protein, mitochondrial precursor",jIP06,elution,Strep
NEF,Q99832,3,543,9255,TCPH_HUMAN T-complex protein 1 subunit eta,jIP06,elution,Strep
NEF,P49792,1,3224,5249,RBP2_HUMAN E3 SUMO-protein ligase RanBP2,jIP06,elution,Strep
NEF,O75688,1,479,3592,PPM1B_HUMAN Protein phosphatase 1B,jIP06,elution,Strep
NEF,Q92945,4,710,42738,FUBP2_HUMAN Far upstream element-binding protein 2,jIP06,elution,Strep
NEF,P25205,1,808,2264,MCM3_HUMAN DNA replication licensing factor MCM3,jIP06,elution,Strep
NEF,Q96PE3,1,977,1266,"INP4A_HUMAN Type I inositol-3,4-bisphosphate 4-phosphatase",jIP06,elution,Strep
NEF,Q00610,2,1675,6920,CLH1_HUMAN Clathrin heavy chain 1,jIP06,elution,Strep
NEF,Q8WWM7,3,1075,1218325,ATX2L_HUMAN Ataxin-2-like protein,jIP06,elution,Strep
NEF,Q63HN8,4,3280,17657.8,RN213_HUMAN RING finger protein 213,jIP06,elution,Strep
NEF,Q92621,1,2012,2256,NU205_HUMAN Nuclear pore complex protein Nup205,jIP06,elution,Strep
NEF,P63104,1,245,3911,1433Z_HUMAN 14-3-3 protein zeta/delta,jIP06,elution,Strep
NEF,P11498,31,1178,3787614,"PYC_HUMAN Pyruvate carboxylase, mitochondrial precursor",jIP06,elution,Strep
NEF,Q96A65,1,974,2516,EXOC4_HUMAN Exocyst complex component 4,jIP06,elution,Strep
NEF,P68104,8,462,938581,EF1A1_HUMAN Elongation factor 1-alpha 1,jIP06,elution,Strep
NEF,Q13263,1,835,11164,TIF1B_HUMAN Transcription intermediary factor 1-beta,jIP06,elution,Strep
NEF,P62191,1,440,1400,PRS4_HUMAN 26S protease regulatory subunit 4,jIP06,elution,Strep
NEF,Q9HAV7,1,217,18276,"GRPE1_HUMAN GrpE protein homolog 1, mitochondrial precursor",jIP06,elution,Strep
NEF,P11413,4,515,22707,G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase,jIP06,elution,Strep
NEF,P49368,8,545,105119,TCPG_HUMAN T-complex protein 1 subunit gamma,jIP06,elution,Strep
NEF,P11142,10,646,280488,HSP7C_HUMAN Heat shock cognate 71 kDa protein,jIP06,elution,Strep
NEF,Q96RQ3,8,725,74726,"MCCA_HUMAN Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial precursor",jIP06,elution,Strep
NEF,A1L0T0,2,632,9943,ILVBL_HUMAN Acetolactate synthase-like protein,jIP06,elution,Strep
NEF,P09543,1,421,1189,"CN37_HUMAN 2',3'-cyclic-nucleotide 3'-phosphodiesterase",jIP06,elution,Strep
NEF,28872818,6,206,11973736,NP_057857 NefFull_HIV-1,jIP06,elution,Strep
