Bait,Prey,NumUniquePep,Length,Intensity,Name,IP,Isolation,Tag
CA,19172948,38,232,327436425,NP_579880 Capsid p24_HIV-1,IP12,Elution,Flag
CA,P04264,2,644,10579,"K2C1_HUMAN Keratin, type II cytoskeletal 1",IP12,Elution,Flag
CA,P11142,1,646,19020,HSP7C_HUMAN Heat shock cognate 71 kDa protein,IP12,Elution,Flag
CA,Q92734,1,400,112128,TFG_HUMAN Protein TFG,IP12,Elution,Flag
CA,Q9H3K6,2,86,146639,BOLA2_HUMAN BolA-like protein 2,IP12,Elution,Flag
CA,19172948,24,232,232399341,NP_579880 Capsid p24_HIV-1,IP12,Bead,Flag
CA,P06310,2,133,26524000,KV206_HUMAN Ig kappa chain V-II region RPMI 6410 precursor,IP12,Bead,Flag
CA,P10412,1,219,19164,H14_HUMAN Histone H1.4,IP12,Bead,Flag
CA,Q8NCL4,1,622,1006000,GALT6_HUMAN Polypeptide N-acetylgalactosaminyltransferase 6,IP12,Bead,Flag
CA,Q9H3K6,2,86,68946,BOLA2_HUMAN BolA-like protein 2,IP12,Bead,Flag
CA,Q9UPQ9,1,1723,26487,TNC6B_HUMAN Trinucleotide repeat-containing gene 6B protein,IP12,Bead,Flag
CA,19172948,14,232,2679752,NP_579880 Capsid p24_HIV-1,IP12,Elution,Flag
CA,P67809,1,324,5714,YBOX1_HUMAN Nuclease sensitive element-binding protein 1,IP12,Elution,Flag
CA,Q9P2S2,1,1712,118705,NRX2A_HUMAN Neurexin-2-alpha precursor,IP12,Elution,Flag
CA,Q9Y2D9,1,606,23599,ZN652_HUMAN Zinc finger protein 652,IP12,Elution,Flag
CA,19172948,23,232,364616285,NP_579880 Capsid p24_HIV-1,IP12,Bead,Flag
CA,O43854,1,480,4322000,EDIL3_HUMAN EGF-like repeat and discoidin I-like domain-containing protein 3 precursor,IP12,Bead,Flag
GAG,19172948,13,232,47068841,NP_579880 Capsid p24_HIV-1,IP12,Elution,Flag
GAG,19172949,2,55,10483,NP_579881 Nucleocapsid p7_HIV-1,IP12,Elution,Flag
GAG,19172951,1,53,18020000,NP_579883 p6_HIV-1,IP12,Elution,Flag
GAG,28876542,10,132,13997867,NP_579876 Matrix p17_HIV-1,IP12,Elution,Flag
GAG,O14744,3,637,306896,ANM5_HUMAN Protein arginine N-methyltransferase 5,IP12,Elution,Flag
GAG,O75688,5,479,972668,PPM1B_HUMAN Protein phosphatase 1B,IP12,Elution,Flag
GAG,P01614,1,115,755465,KV201_HUMAN Ig kappa chain V-II region Cum,IP12,Elution,Flag
GAG,P02768,1,609,242001,ALBU_HUMAN Serum albumin precursor,IP12,Elution,Flag
GAG,P04264,5,644,1814968,"K2C1_HUMAN Keratin, type II cytoskeletal 1",IP12,Elution,Flag
GAG,P05387,2,115,1452369,RLA2_HUMAN 60S acidic ribosomal protein P2,IP12,Elution,Flag
GAG,P06748,2,294,66640,NPM_HUMAN Nucleophosmin,IP12,Elution,Flag
GAG,P07437,2,444,324466,TBB5_HUMAN Tubulin beta chain,IP12,Elution,Flag
GAG,P08107,3,641,782631,HSP71_HUMAN Heat shock 70 kDa protein 1,IP12,Elution,Flag
GAG,P10412,2,219,64523,H14_HUMAN Histone H1.4,IP12,Elution,Flag
GAG,P11021,2,654,176426,GRP78_HUMAN 78 kDa glucose-regulated protein precursor,IP12,Elution,Flag
GAG,P11142,3,646,581166,HSP7C_HUMAN Heat shock cognate 71 kDa protein,IP12,Elution,Flag
GAG,P15880,3,293,1125876,RS2_HUMAN 40S ribosomal protein S2,IP12,Elution,Flag
GAG,P18077,2,110,16425000,RL35A_HUMAN 60S ribosomal protein L35a,IP12,Elution,Flag
GAG,P18124,3,248,359064,RL7_HUMAN 60S ribosomal protein L7,IP12,Elution,Flag
GAG,P18621,9,184,3036720,RL17_HUMAN 60S ribosomal protein L17,IP12,Elution,Flag
GAG,P19474,1,475,315204,RO52_HUMAN 52 kDa Ro protein,IP12,Elution,Flag
GAG,P23396,1,243,94272,RS3_HUMAN 40S ribosomal protein S3,IP12,Elution,Flag
GAG,P26373,4,211,5435251,RL13_HUMAN 60S ribosomal protein L13,IP12,Elution,Flag
GAG,P27635,5,214,3021249,RL10_HUMAN 60S ribosomal protein L10,IP12,Elution,Flag
GAG,P30050,4,165,3235802,RL12_HUMAN 60S ribosomal protein L12,IP12,Elution,Flag
